region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
GitHub	33927398765	362543	741	879
VPN	207165800093	6353	291	834
USA/VA	7603140059	1543	18	13
USA	13029492529	2464	19	6
JPN/13	26441044	108	1	1
USA/MD	116916355	94	21	16
HKG	1187880084	143	2	1
AWS/us-east-2	14035430346	24050	8	17
USA/CA	31462109069	3618	33	11
AWS/us-east-1	55894732078	8300	87	112
USA/RI	519066780	100	1	1
USA/NY	33524111565	4364	54	32
USA/MI	37315372	109	2	1
CHN	52940732027	4114	0	16
USA/MA	77754876738	2252	15	45
CAN/QC	11873736591	688	4	15
AWS/ap-southeast-1	180867588	40	40	0
MEX/CMX	468353016	1780	69	49
JPN/47	29574287383	15	15	0
USA/GA	3371053345	729	2	16
USA/IN	31179297815	21	15	6
IRN	24463298977	14	14	0
GCP/us-central1	1587055684	86	10	6
KOR/41	5279569060	6	6	0
AWS/us-west-2	421186579	1578	28	16
USA/DC	60723173466	29	29	0
GBR/ENG	60443125484	102	36	1
USA/NM	29683186079	14	14	0
CHE/VD	281064691	178	14	14
USA/WA	1347100459	1263	2	17
GCP/asia-south1	100307636	470	7	7
CHN/BJ	1838712	6	1	1
BGD	917112	1	1	0
BRA/PR	3406416	1	1	0
JPN/26	61661635	123	15	14
KOR/11	34012756	127	3	1
FRA/IDF	9872768	28	7	3
CAN/BC	76470464	338	16	14
NOR/50	2532311040	483	0	7
AUS/NSW	13822188	2	2	0
ARG/S	1441176	1	1	0
VNM	1899732	2	2	0
USA/IL	213789468	363	13	66
VNM/HN	33081540	4	4	0
IRQ/BG	917112	1	1	0
IDN/SS	4651068	1	1	0
VEN/E	1899732	1	1	0
NLD	9960510669	466	3	4
BRA/DF	1113636	1	1	0
MAR/06	917112	1	1	0
ARG/B	4454544	3	3	0
PAK/PB	2620320	2	2	0
VNM/SG	14804808	3	3	0
NGA/LA	5633688	1	1	0
UZB/TK	14870316	2	2	0
DEU/NW	2755855276	5	5	0
IDN/JI	917112	1	1	0
ZAF/WC	2161764	2	2	0
PHL/03	917112	1	1	0
JOR/AM	4192512	3	3	0
ZAF/GP	851604	1	1	0
RUS	33476688	32	6	1
SAU/02	2030748	1	1	0
TUR/63	8974596	1	1	0
TWN/NWT	917112	1	1	0
ETH/AA	1113636	1	1	0
FRA/GES	1375668	1	1	0
BRA/RS	1310160	1	1	0
SGP	2947860	1	1	0
COL/DC	5633688	1	1	0
ARE	7664436	1	1	0
IRQ/NA	1113636	1	1	0
BRA/MG	1375668	1	1	0
UKR/51	15132348	1	1	0
TUN/11	1441176	1	1	0
PRT/11	201234782	96	4	1
ECU/P	1113636	1	1	0
ARE/SH	1179144	1	1	0
CHL/RM	1310160	1	1	0
VNM/52	851604	1	1	0
BRA/SP	866883888	3	3	0
VNM/DN	851604	1	1	0
ROU/B	2227272	1	1	0
USA/PA	2206031978	1284	12	8
GCP/us-south1	12742356	15	2	1
GCP/us-east4	14016324	28	2	2
GCP/europe-west4	5355804	12	1	1
GCP/europe-west3	921600	8	0	1
GCP/us-east1	25186488	43	4	3
GCP/us-west3	20161312	29	4	2
SWE/AB	1464758579	306	2	1
GCP/europe-west2	7452060	12	1	1
GCP/us-west1	71439336	103	12	7
USA/NH	51821028	60	8	1
GCP/us-west4	10117548	15	2	1
SWE	614400	5	0	1
IND/HR	13822188	1	1	0
GBR/SCT	790252668	106	3	1
GCP/us-east5	49135200	60	8	4
CAN/ON	3185289167	623	0	1
DEU	15918444	1	1	0
USA/TX	20242084	5	2	2
ITA/62	38711787	7	1	1
ROU/CJ	153949812	123	6	1
CAN	379631204	1	1	0
IND/MH	1356801308	1	1	0
AWS/eu-central-1	20045448	1	1	0
ARG	1637700	1	1	0
PHL/07	1113636	1	1	0
SYC	2096256	1	1	0
VNM/49	851604	1	1	0
