region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
AWS/us-east-1	25980824536	4611	2	1707
USA/NY	76831321184	5022	5022	0
GitHub	160200642024	600143	108074	105482
USA/MA	24018927440	1618	0	1566
AWS/ap-southeast-1	3600036992	2132	2132	0
NOR/50	25957315456	1705	1705	0
AWS/us-east-2	4737216368	315	315	0
AWS/ap-south-1	70249872	4	4	0
VPN	28239028688	4418	2172	428
USA/MD	1037162032	3833	746	746
USA/CT	40017440	4	4	0
CHN/SH	20028392	2	2	0
MEX/CMX	17079416	64	7	8
GCP/us-central1	65131160	5	5	0
USA/IL	4078848	17	2	2
CAN/BC	38798664	170	18	8
CHE/VD	4768820	16	3	2
CAN/ON	55085696	4	4	0
FRA/IDF	9312660	15	3	3
CHN/GS	10013880	1	1	0
AWS/ap-northeast-3	17599896	1	1	0
