region	bytes_sent
AU/South Australia	211396566545
US/California	184849818385
GitHub	174231768894
CA/Ontario	67252515773
CA/Quebec	58695280095
VPN	46162451547
AWS/us-east-1	45153908271
NL/North Holland	41515422716
CN/Shanghai	31763973015
US/New Mexico	26800026646
US/Maryland	18984835586
AWS/us-east-2	11329805199
US/Washington	9428700310
US/Tennessee	9228341579
AWS/ap-southeast-1	3802657870
HK/Hong Kong	984361446
GB/England	456914655
CA/British Columbia	426002194
GCP/us-central1	210269186
PT/Lisbon	158817751
US/Wisconsin	105933279
US/Rhode Island	101973916
ES/Catalonia	63695370
US/Connecticut	61346128
IN/Maharashtra	52409276
US/Massachusetts	51693925
CN/Beijing	46679432
US/Georgia	32647457
US/New York	32647457
US/Virginia	23180213
VN/Ho Chi Minh	21281695
VN/Kiên Giang Province	21281695
BR/Paraná	13471892
