week_start	sub-Plaid-warm-01-nachet/sub-Plaid-warm-01-nachet_ses-20230213T132100_behavior.nwb	sub-Plaid-warm-02-nachet/sub-Plaid-warm-02-nachet_ses-20230214T095800_behavior.nwb	sub-Plaid-warm-03-nachet/sub-Plaid-warm-03-nachet_ses-20230214T115800_behavior.nwb	sub-Plaid-warm-04-nachet/sub-Plaid-warm-04-nachet_ses-20230214T134700_behavior.nwb	sub-Plaid-warm-05-nachet/sub-Plaid-warm-05-nachet_ses-20230228T090700_behavior.nwb	sub-Plaid-warm-06-nachet/sub-Plaid-warm-06-nachet_ses-20230228T111400_behavior.nwb	sub-Plaid-warm-07-nachet/sub-Plaid-warm-07-nachet_ses-20230228T135900_behavior.nwb	sub-Plaid-warm-08-nachet/sub-Plaid-warm-08-nachet_ses-20230228T154800_behavior.nwb	sub-Plaid-warm-09-nachet/sub-Plaid-warm-09-nachet_ses-20230301T110200_behavior.nwb	sub-Plaid-warm-10-nachet/sub-Plaid-warm-10-nachet_ses-20230301T161300_behavior.nwb	sub-Plaid-warm-11-nachet/sub-Plaid-warm-11-nachet_ses-20230307T114100_behavior.nwb	sub-Plaid-warm-12-nachet/sub-Plaid-warm-12-nachet_ses-20230307T134300_behavior.nwb	sub-Plaid-warm-13-nachet/sub-Plaid-warm-13-nachet_ses-20230307T161800_behavior.nwb	sub-Plaid-warm-14-nachet/sub-Plaid-warm-14-nachet_ses-20230308T093400_behavior.nwb	sub-Plaid-warm-15-nachet/sub-Plaid-warm-15-nachet_ses-20230308T124200_behavior.nwb	sub-Plaid-warm-16-nachet/sub-Plaid-warm-16-nachet_ses-20230308T153300_behavior.nwb	sub-Plaid-warm-17-nachet/sub-Plaid-warm-17-nachet_ses-20230314T092000_behavior.nwb	sub-Plaid-warm-18-nachet/sub-Plaid-warm-18-nachet_ses-20230314T120400_behavior.nwb	sub-Plaid-warm-19-nachet/sub-Plaid-warm-19-nachet_ses-20230314T155900_behavior.nwb	sub-Plaid-warm-20-nachet/sub-Plaid-warm-20-nachet_ses-20230315T114600_behavior.nwb	sub-Plaid-warm-21-nachet/sub-Plaid-warm-21-nachet_ses-20230315T133600_behavior.nwb	sub-Plaid-warm-22-nachet/sub-Plaid-warm-22-nachet_ses-20230315T161000_behavior.nwb	sub-Plaid-warm-23-nachet/sub-Plaid-warm-23-nachet_ses-20230327T121900_behavior.nwb	sub-Plaid-warm-24-nachet/sub-Plaid-warm-24-nachet_ses-20230327T141000_behavior.nwb	sub-Plaid-warm-25-nachet/sub-Plaid-warm-25-nachet_ses-20230327T155800_behavior.nwb	sub-Plaid-warm-26-nachet/sub-Plaid-warm-26-nachet_ses-20230328T092200_behavior.nwb	sub-Plaid-warm-27-nachet/sub-Plaid-warm-27-nachet_ses-20230328T113900_behavior.nwb	sub-Plaid-warm-28-nachet/sub-Plaid-warm-28-nachet_ses-20230328T140700_behavior.nwb	sub-Plaid-warm-29-nachet/sub-Plaid-warm-29-nachet_ses-20230404T120200_behavior.nwb	sub-Plaid-warm-30-nachet/sub-Plaid-warm-30-nachet_ses-20230404T140600_behavior.nwb	sub-Plaid-warm-31-nachet/sub-Plaid-warm-31-nachet_ses-20230404T160900_behavior.nwb	sub-Plaid-warm-32-nachet/sub-Plaid-warm-32-nachet_ses-20230411T111900_behavior.nwb	sub-Plaid-warm-33-nachet/sub-Plaid-warm-33-nachet_ses-20230411T141400_behavior.nwb	sub-Plaid-warm-34-nachet/sub-Plaid-warm-34-nachet_ses-20230411T160300_behavior.nwb	sub-Plaid-warm-35-nachet/sub-Plaid-warm-35-nachet_ses-20230412T105400_behavior.nwb	sub-Plaid-warm-36-nachet/sub-Plaid-warm-36-nachet_ses-20230412T124500_behavior.nwb	sub-Plaid-warm-37-nachet/sub-Plaid-warm-37-nachet_ses-20230412T143600_behavior.nwb
2024-10-14	73070485	12611267	31755253	12265023	12336897	6812832	0	6878340	0	10968677	12816657	7205880	6747324	5131997	6747324	17915930	5993967	6812832	6756964	7271388	7739812	5697159	5946250	7772165	12957428	0	0	0	7011404	6354276	6485292	13639230	0	8418715	0	0	7286261
2024-10-21	11201868	0	7860960	0	13036092	0	10546788	0	8843580	0	13953204	0	10219248	10088232	10284756	6419784	0	0	10612296	11725932	0	0	0	0	10088232	0	0	0	0	0	10153740	10022724	0	0	10088232	0	10022724
2024-10-28	0	0	0	0	0	0	0	10350264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-11-11	35247182	0	35465325	47717507	0	0	0	0	0	0	35167653	0	0	35016413	0	0	0	0	69612744	0	0	0	0	0	0	0	0	0	35322956	33975546	0	0	0	35158803	0	0	0
2024-11-18	0	0	8319516	10153740	0	0	7860960	10153740	6878340	0	0	8843580	4258020	0	0	0	10219248	0	16966572	0	7598928	8843580	0	0	0	4716576	7860960	0	9826200	0	10022724	10153740	0	8188500	8516040	0	0
2024-11-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8319516	0	0	0	0	0
2024-12-02	0	0	0	18297247	0	0	0	17932252	0	0	0	0	0	0	0	0	0	0	0	37022772	0	18542215	0	8388608	0	25165824	0	0	0	0	0	0	0	0	0	0	0
2025-02-10	924486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-10	0	0	4127004	0	4061496	0	0	0	0	0	0	0	0	4127004	5306148	0	0	0	409600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-06-23	48123086	54146474	36093156	42120090	18040981	36041321	24046218	12060080	24068197	18041581	12037837	12018353	24042574	12028416	24043064	30062831	24040040	18032745	24036598	30037002	6036003	24033277	42765	41298	24031464	24053719	12037779	12050612	24043916	6048498	30064556	24042597	24039009	18030978	18031582	12020743	18018607
2025-07-14	18048693	12061609	30071408	30080510	6022431	24045214	30032001	18053147	12065093	18062458	18030676	30055620	18060367	30061773	18045269	6032028	30056354	12036714	42042982	12062322	18044656	18065024	18047931	18050526	24035981	30028507	18060307	30056440	30082135	12054554	18055468	12029037	24062189	18044234	12034078	30058565	24043297
2025-07-21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34915734	0	0	0	0	0	0	0	0	0	0	0
2025-07-28	0	0	0	35074463	0	0	0	0	0	0	0	34973225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35280161	0	0	0	0	0	35073525
2025-08-04	0	0	0	0	34884081	0	0	0	0	35088669	0	0	0	0	0	0	0	0	0	0	0	0	0	35166213	0	0	0	35114551	0	0	0	0	0	35158803	34998858	35493041	0
2025-08-11	0	35158899	0	0	0	0	0	0	0	0	0	0	0	0	0	35337143	34960879	0	0	0	35527076	0	0	0	0	0	0	0	35322956	0	0	70668724	0	0	0	0	0
2025-08-18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34806372	35226312	0	35319431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-08-25	0	0	0	0	0	0	0	0	0	0	35167653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33975546	0	0	0	0	0	0	0
2025-09-01	0	0	35465325	0	0	0	35363130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35322956	0	0	35334362	0	0	0	0	0
2025-09-08	0	0	0	0	0	0	0	0	0	0	0	34973225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
