week_start	j1620210706_epoch_4.zarr	j1620210707_epoch_10.zarr	j1620210707_epoch_12.zarr	j1620210707_epoch_2.zarr	j1620210707_epoch_4.zarr	j1620210707_epoch_6.zarr	j1620210708_epoch_2.zarr	j16_fig_data_zarr.zarr
2026-04-13	0	0	0	0	0	0	0	358
2026-05-04	0	0	0	0	0	0	0	98341112
2026-05-11	0	0	0	0	0	0	0	150360856
2026-05-18	0	0	0	0	0	0	0	11753648
2026-05-25	0	0	0	0	0	0	0	1302237
2026-06-08	0	0	0	0	0	0	0	105947144
2026-06-15	118607789	0	0	99083505	92449254	101554942	606713627	101711328
2026-06-22	0	0	0	0	0	0	0	1302058
2026-07-06	379841	0	0	379839	379839	379839	384835	1676498
2026-07-27	179	0	0	0	0	0	179	0
2026-08-03	1519364	0	0	1519356	5261364	1519356	1519356	8678520
2026-08-10	125084607	93311014	109227087	106641165	95696019	101160256	607653743	119265041
2026-08-17	13139862	1447549	2329772	22891980	9383654	3044198	4566543	0
