region	bytes_sent	number_of_requests	number_of_downloads
missing	17727057895	9160	1260
GitHub	6727060878	19220	880
AWS/us-east-1	22308074748	2740	320
US/California	25850323871	1400	80
CN/Shanxi	3698065584	440	<50
US/Massachusetts	18015169076	380	<50
undetermined	43585822670	1460	380
CN/Shanghai	30124522152	2280	<50
CA/Ontario	17585558608	80	80
VPN	34737817712	400	380
AWS/ap-southeast-1	1076951520	100	100
US/Illinois	536409252	400	<50
GCP/us-east1	10153740	<50	<50
US/New York	71882015	160	<50
SG/Singapore	27775392	<50	<50
MX/Mexico City	71362120	260	60
US/Virginia	87638769	1300	<50
US/South Carolina	324874680	<50	<50
NZ/Waikato Region	8319516	<50	<50
AWS/us-east-2	85613142	1040	<50
US/New Jersey	354125306	140	<50
JP/Tokyo	4755022	<50	<50
AR/Buenos Aires F.D.	191012895	<50	<50
AWS/us-west-2	16975641	<50	<50
CN/Jiangsu	8516040	<50	<50
AU/Queensland	10284756	<50	<50
CH/Vaud	2519690	<50	<50
