week_start	sub-ALC4/sub-ALC4_ses-ALC4-day3_ecephys.nwb	sub-ALC4/sub-ALC4_ses-ALC4-day4_ecephys.nwb	sub-ALC6/sub-ALC6_ses-ALC6-day1_ecephys.nwb	sub-ALC6/sub-ALC6_ses-ALC6-day2_ecephys.nwb	sub-ALC6/sub-ALC6_ses-ALC6-day3_ecephys.nwb	sub-ALC6/sub-ALC6_ses-ALC6-day4_ecephys.nwb	sub-BPO5/sub-BPO5_ses-250825-BPO5-day2_ecephys.nwb	sub-BPP1/sub-BPP1_ses-250823-BPP1-day2_ecephys.nwb	sub-BPU4/sub-BPU4_ses-250824-BPU4-day1_ecephys.nwb	sub-BPU4/sub-BPU4_ses-250825-BPU4-day2_ecephys.nwb	sub-BPV4/sub-BPV4_ses-250912-BPV4-day1_ecephys.nwb	sub-BPV4/sub-BPV4_ses-250913-BPV4-day2_ecephys.nwb	sub-BPV5/sub-BPV5_ses-250915-BPV5-day2_ecephys.nwb	sub-BQD3/sub-BQD3_ses-250914-BQD3-day2_ecephys.nwb	sub-BQE3/sub-BQE3_ses-250912-BQE3-day1_ecephys.nwb	sub-BQE3/sub-BQE3_ses-250914-BQE3-day3_ecephys.nwb	sub-BQQ4/sub-BQQ4_ses-251005-BQQ4-day1_ecephys.nwb	sub-BQQ4/sub-BQQ4_ses-251006-BQQ4-day2_ecephys.nwb	sub-BQQ4/sub-BQQ4_ses-251007-BQQ4-day3_ecephys.nwb	sub-BRC2/sub-BRC2_ses-251012-BRC2-day1_ecephys.nwb	sub-BRC2/sub-BRC2_ses-251013-BRC2-day2_ecephys.nwb	sub-BRC5/sub-BRC5_ses-251013-BRC5-day2_ecephys.nwb	sub-BRD2/sub-BRD2_ses-251012-BRD2-day1_ecephys.nwb	sub-BRD2/sub-BRD2_ses-251013-BRD2-day2_ecephys.nwb	sub-BRN5/sub-BRN5_ses-251027-BRN5-day1_ecephys.nwb	sub-BRO3/sub-BRO3_ses-260228-BRO3-day3_ecephys.nwb	sub-BRO3/sub-BRO3_ses-260304-BRO3-day7_ecephys.nwb	sub-BRO4/sub-BRO4_ses-251027-BRO4-day1_ecephys.nwb	sub-BRO4/sub-BRO4_ses-251028-BRO4-day2_ecephys.nwb	sub-BTK4/sub-BTK4_ses-260221-BTK4-day2_ecephys.nwb	sub-BTM2/sub-BTM2_ses-260218-BTM2-day1_ecephys.nwb	sub-BTM3/sub-BTM3_ses-260226-BTM3-day1_ecephys.nwb	sub-BTN4/sub-BTN4_ses-260220-BTN4-day1_ecephys.nwb	sub-BTR5/sub-BTR5_ses-260218-BTR5-day1_ecephys.nwb	sub-BTT1/sub-BTT1_ses-260216-BTT1-day3_ecephys.nwb	sub-BTT3/sub-BTT3_ses-260227-BTT3-day2_ecephys.nwb	sub-BTT3/sub-BTT3_ses-260304-BTT3-day7_ecephys.nwb	sub-BUF4/sub-BUF4_ses-260221-BUF4-day2_ecephys.nwb
2026-04-20	18966528	19294716	25271956	21374340	21203504	37476384	31616012475	21816872832	21457449424	21567194716	21729225604	21202234868	20962323160	21350540964	20786051788	21269940380	21371844770	20381499738	20949893094	21910940415	22049114014	45219786368	21590099302	22457748524	21735735064	21608351713	0	22008582982	21866079684	20845744985	21249755797	21221013084	21662902702	21165691223	21703182737	21831049813	0	21614217267
2026-04-27	0	0	0	0	0	0	47100252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-05-11	8364864	0	18161832	11586592	0	9434012	0	0	0	0	0	11232503	0	0	0	0	0	6421998	0	0	9243646	353882584	8803058	0	0	14411809	21805249528	0	0	0	40156404	0	8417386	10575764870	13656785	0	22014959290	0
2026-05-18	7869356	13393472	4323528	0	5748848	0	0	0	7620192	0	6926988	0	10316545	19633974	0	9965245	27858642	0	6902054	0	16049460	10626188	0	16292210	9731975	0	0	14089802	9066316	10556089	9190081	8616276	0	0	0	31169893	10350264	0
2026-05-25	3234720	2972688	2907180	0	0	0	10552391	14939469	4844504	0	0	0	3857396	0	4685569	0	4844504	4647980	4910012	0	0	0	0	0	0	0	4516964	4955180	0	3951520	4910012	4582472	0	4119428	5151704	4975520	0	13516031
2026-06-01	3514004	0	0	4462036	0	17520112	1363604	0	0	8226620	0	0	0	26923788	6523487	0	0	0	0	9311573	0	27185820	14739300	0	19914432	0	20663040	0	0	0	0	0	0	0	0	0	0	30068172
2026-06-08	0	5037296	6496928	11286268	13326732	0	11689170	1437388	1437388	1502896	1568404	0	11276110	0	2017887	11470282	13773512	0	0	26181904	0	11457180	0	0	0	0	25146180	10127312	0	0	0	0	0	11782634	14642898	0	0	0
2026-06-15	0	5430344	0	0	0	10704640	0	13402214	10664788	0	0	0	0	0	0	0	0	0	19833392	0	11954032	0	0	0	0	13953590	23643284	0	8632572	0	0	0	0	0	0	0	0	0
2026-06-22	5932672	6099704	11306220	3741448	7700972	0	0	0	10468264	0	0	10626298	0	14936852	10223445	0	3209892	12707792	0	12372258	15753496	0	0	0	0	13822574	0	3144384	0	11837258	0	0	0	0	13140002	2423796	32971982	12369922
2026-06-29	5576576	3348368	4612768	3741448	7569956	8676532	10420127909	10765842963	10613646084	10635616312	10664228688	10581756975	10466665017	10642049430	10390239640	10620732917	10690573410	10253297950	10457813650	10938050185	22025000984	10947128260	10793126570	11305797798	10867920861	10791849789	10893863960	11003586906	10926112388	10425958963	10623693027	10611645352	10820829598	10578574017	10842909165	10906157605	10987109147	10799952447
2026-07-06	3967433	11137001	4612769	3741449	0	10639132	41485536	46169696	43272700	43754968	42312784	42829952	52743014	48017036	41938824	42057144	47316748	41811584	51980984	44991712	47163828	42418160	40995248	0	41578824	0	0	42734592	50016900	2423796	0	0	0	0	13205510	15232246	2620320	0
