region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
GitHub	4825649000	24029	718	561
VPN	1217318128	3177	163	91
AWS/us-east-1	4836144444	651	194	84
AWS/ap-southeast-1	886191384	171	171	0
USA/MA	4315774224	263	0	95
AWS/us-east-2	804301720	19	19	0
MEX/CMX	1199350904	1902	59	60
USA/IL	20900288	65	2	2
MYS/10	1375668	1	1	0
VNM/HN	20176464	1	1	0
BRA/SP	24434484	2	2	0
CHL/RM	17294112	2	2	0
VNM/49	6550800	1	1	0
USA/PA	22010688	1	1	0
IRQ/KA	7533420	1	1	0
COL/CUN	4782084	1	1	0
BRA/SC	5764704	1	1	0
IDN/SN	14673792	1	1	0
ARG/Z	8909088	1	1	0
UKR/51	4192512	1	1	0
ECU/P	1703208	1	1	0
MAR/06	5109624	1	1	0
IDN/YO	25548120	4	4	0
UKR/63	10546788	1	1	0
PAK	1506684	1	1	0
BRA/AP	4978608	1	1	0
USA/CA	1056404	3	1	1
USA/VT	94757992	140	0	3
GCP/us-central1	197365480	5	5	0
GBR/SCT	35138400	44	0	1
GBR/ENG	38404048	49	0	1
FRA/IDF	7099692	9	3	3
VNM/43	10714696	1	1	0
VNM/SG	29544108	5	5	0
ARE/AZ	1113636	1	1	0
KEN/44	9040104	1	1	0
IRQ/AR	20372988	1	1	0
ALB/11	11267376	1	1	0
PAK/PB	15459888	1	1	0
HKG	7533420	1	1	0
UZB/SA	16966572	1	1	0
SGP	21631476	2	2	0
BRA/RS	5633688	1	1	0
COL/DC	5895720	1	1	0
IRQ/BG	8581548	1	1	0
VNM	10350264	1	1	0
USA/MD	18276732	1	1	0
JOR/AM	5633688	1	1	0
EST/37	6244296	1	1	0
CHE/VD	11185308	44	2	1
