week_start	Microscopy	Miscellaneous
2025-03-03	9647761167	13062
2025-05-26	0	443
2025-07-21	321859986	425
2025-07-28	3081275194	927
2025-08-04	2471460153	647
2025-08-11	1960693340	10264
2025-08-18	1083875644	0
2025-08-25	1040865396	0
2025-09-01	1493841274	888
2025-09-08	816346718	0
2025-12-08	39810452	425
2025-12-15	14436066363	335313
2025-12-22	998784371	425
2025-12-29	10577494571	108982
2026-01-05	477329212	1117
2026-01-12	9705698562	41736
2026-01-19	1846219558	865
2026-01-26	3268686649	391
2026-02-02	1618964860	0
2026-02-23	3224555	0
2026-03-09	0	408
2026-03-16	1437398228	21378
2026-03-23	520434368	10597
2026-03-30	1983952507	20865
2026-04-06	3021885536	62275
2026-04-13	4033980024	95815
2026-04-20	5292437792	98485
2026-04-27	2792879326	10727
2026-05-04	13822190	0
2026-05-11	681608938	368
2026-05-18	3463648326	38380
2026-05-25	977935955	35333
2026-06-01	1179144	1765
2026-06-08	51669720	279
2026-06-15	756123456	16813
2026-06-22	266870693	21010
2026-06-29	2395705615	11471
2026-07-06	1335751927	25333
2026-07-13	317055512	3213
2026-07-20	642164891	0
