region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
VPN	33692963655	3397	3345	49
AWS/ap-southeast-1	1882565544	519	519	0
USA	15418623531	1776	1073	55
CHN	16678352436	1757	256	173
AWS/us-east-1	11873883059	1367	142	181
USA/MA	12966085611	580	0	390
AWS/us-east-2	2226108830	52	52	0
USA/IL	1201334714	261	261	0
BRA/SE	425	1	1	0
BGD/C	425	1	1	0
IND/UK	816	2	2	0
MEX/VER	425	1	1	0
BRA/MG	1241	3	3	0
USA/VA	66269153	24	24	0
IRQ	1	1	0	1
PRT/11	16235063	1	1	0
GCP/us-east1	8385024	1	1	0
ARG/B	1967574	2	2	0
TUR/35	9471	1	1	0
BRA/SP	11858642	3	3	0
USA/CA	22888411	1	1	0
TUR/34	72927991	2	1	1
PHL/00	24229686	2	1	1
USA/FL	1	1	0	1
DEU/NW	31771380	1	1	0
ZAF/KZN	37994640	1	1	0
HKG	279	1	1	0
BGD	279	1	1	0
COL/DC	279	1	1	0
RUS/ULY	1703208	1	1	0
ARG/H	1	1	0	1
USA/GA	443	1	1	0
PHL/03	443	1	1	0
SAU/02	52406768	2	2	0
IND/UP	368	1	1	0
USA/MD	368	1	1	0
USA/OH	289048	2	2	0
MEX/MEX	368	1	1	0
NGA/LA	408	1	1	0
DOM/01	8299492	1	1	0
EGY/C	3144384	1	1	0
SAU/10	11401887	1	1	0
BRA/AL	16219015	1	1	0
USA/NC	391	1	1	0
BRA/SC	391	1	1	0
MYS/10	391	1	1	0
KAZ/31	391	1	1	0
IND/SK	391	1	1	0
BRA/BA	61614150	2	2	0
BOL/C	391	1	1	0
FRA/GES	391	1	1	0
TUR/55	20045448	1	1	0
BRA/RJ	5830212	1	1	0
USA/IN	61613759	1	1	0
BRA/PE	61613759	1	1	0
PAN/8	1	1	0	1
UZB/TK	24696516	1	1	0
USA/NJ	61613759	1	1	0
SAU/01	1892291	1	1	0
