region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
USA/NH	49997998167	188443	1466	1458
AWS/us-east-1	8066928436	1000	245	112
GitHub	41834507487	168519	9249	9048
AWS/ap-southeast-1	1159622616	226	226	0
CAN/ON	5877679819	112	112	0
VPN	6084739254	12055	332	122
USA/MA	7055190563	460	7	131
CHN	6344716923	1830	112	1402
HKG	56926452	10	10	0
VNM/HN	69849307	4	4	0
AWS/us-east-2	1270760949	21	21	0
MEX/CMX	301791919	1179	80	58
VNM/DN	11463900	1	1	0
USA/NY	39566832	3	3	0
USA/CA	332832955	207	8	6
CHN/SH	81376708	2	2	0
CHE/VD	9824861	52	2	2
KEN/30	25941168	5	5	0
SGP	33474588	5	5	0
ARE/DU	4978608	1	1	0
IDN	917112	1	1	0
PHL/40	1703208	1	1	0
CHL/ML	11398392	1	1	0
GCP/us-central1	210197565	5	5	0
FRA/IDF	12919875	18	3	3
USA/WA	46144820	5	3	2
AWS/us-west-2	132463600	410	6	2
DEU/BY	18669780	1	1	0
GBR/ENG	30657744	2	2	0
BRA/SP	36160416	5	5	0
CHL/VS	9564168	1	1	0
ARG/T	5240640	1	1	0
VEN/A	27120312	4	4	0
BGD/C	15656412	1	1	0
MLI/BKO	6747324	1	1	0
NGA/EN	11398392	1	1	0
BRA/SC	12184488	2	2	0
IRQ/NI	9433152	1	1	0
IDN/YO	44414424	6	6	0
COL/DC	18866304	3	3	0
VNM	14280744	1	1	0
VNM/SG	129312792	11	11	0
KAZ/10	1113636	1	1	0
VEN/I	8122992	1	1	0
COL/ATL	8647056	2	2	0
BGD	3602940	1	1	0
ZAF/WC	4978608	1	1	0
USA/MD	108709146	79	6	1
ARE/AZ	10088232	2	2	0
UKR/51	12184488	1	1	0
BHR/13	21945180	1	1	0
DZA/25	13363632	1	1	0
OMN/MA	20831544	1	1	0
PAK/PB	17490636	4	4	0
MAR/07	16639032	2	2	0
PAK/KP	1113636	1	1	0
IND/KL	7336896	1	1	0
DEU/NW	58152238	212	3	3
BIH/SRP	11070852	1	1	0
USA/IL	43252367	125	3	2
VNM/CT	9826200	1	1	0
IRQ/BG	8712564	1	1	0
PRY/ASU	4061496	1	1	0
IND/UP	1703208	1	1	0
MAR/06	4389036	1	1	0
USA/MI	16180476	1	1	0
BRA/RJ	5371656	1	1	0
EGY/C	7533420	1	1	0
IRQ	5699196	1	1	0
DZA/16	3668448	1	1	0
ISR/M	11922456	1	1	0
DEU/NI	3864972	1	1	0
CRI/SJ	5830212	1	1	0
PAN/4	6878340	1	1	0
COL/CAQ	1441176	1	1	0
VEN/K	2423796	1	1	0
ARG	15590904	1	1	0
IDN/BA	10481280	1	1	0
UZB/TK	6419784	1	1	0
VEN/L	1375668	1	1	0
URY/MO	19717908	2	2	0
PRY/14	10612296	1	1	0
ARG/B	14608284	1	1	0
PAK	5830212	1	1	0
USA/MO	57738424	137	3	2
COL/NSA	16180476	1	1	0
VNM/51	14084220	1	1	0
HND	7991976	1	1	0
TUN/51	11136360	1	1	0
TTO/SFO	8974596	1	1	0
VNM/22	4585560	1	1	0
MAR/01	10350264	1	1	0
MEX	9040104	1	1	0
MEX/VER	8647056	1	1	0
NPL	24696516	2	2	0
FRA/ARA	4258020	1	1	0
PRT/11	14673792	1	1	0
VNM/HP	1703208	1	1	0
MYS/10	6943848	1	1	0
TWN/TPE	16114968	1	1	0
USA/FL	15787428	1	1	0
MEX/YUC	41466564	1	1	0
KEN	7009356	1	1	0
IDN/JB	2685828	1	1	0
IDN/SU	3995988	1	1	0
BRA/AC	11070852	1	1	0
MEX/COA	15001332	1	1	0
EST/37	21574999	1	1	0
