region	bytes_sent
US/California	266442330456
GCP/us-east1	144427698654
GCP/us-east4	98416013888
GCP/europe-west4	96285132436
US/North Carolina	86670680821
US/Massachusetts	78858130419
GB/England	78729432064
GCP/us-west1	72213849327
KR/Seoul	58136700052
US/New York	50380645286
GCP/us-central1	49989349630
GCP/asia-east1	48142566218
AWS/us-east-1	39403496768
US/Oregon	39371198472
US/Washington	33371383180
US/New Hampshire	32622234539
AWS/us-east-2	30723002910
US/Arizona	24270383355
NL/South Holland	24071283109
VPN	18155192686
ES/Madrid	15344320575
SE/Stockholm	12614896019
GitHub	9869225083
US/Maryland	9647128893
US/Virginia	9043528349
US/Connecticut	9026281438
CA/British Columbia	9005377211
US/Illinois	9005377211
NO/Trøndelag	9005377211
IN/Kerala	9005377211
FR/Hauts-de-France	8868607438
CN/Beijing	8777850186
IT/Lazio	4876813532
PT/Braga	2123610064
US/Pennsylvania	101411432
CA/Quebec	78299729
IR/Tehran	77599350
SG/Singapore	50048112
US/New Jersey	41155716
PT/Porto	40537388
HU/Budapest	38892112
US/Rhode Island	36985056
NL/North Holland	24827532
NO/Oslo	22993308
IT/Veneto	21748656
US/Indiana	12839568
FR/Nouvelle-Aquitaine	12774060
