week_start	sub-Pt01/sub-Pt01_ecephys.nwb	sub-Pt02/sub-Pt02_ecephys.nwb	sub-Pt03/sub-Pt03_ecephys.nwb
2022-11-28	5494538240	6110272842	3133939104
2022-12-05	90757252	0	0
2022-12-19	247161136	227246704	56158276
2023-01-02	0	8777850186	6288055712
2023-01-09	78740616	42449184	78020028
2023-01-30	9032497523	0	0
2023-02-06	9005377211	8777850186	6288055712
2023-02-13	9005377211	0	3674712864
2023-02-20	40558319592	18490523224	21038705588
2023-02-27	9606849315	164024764	61708536
2023-03-13	5142853864	8803991462	0
2023-03-20	18010754422	17555700372	6288055712
2023-03-27	9005377211	0	12576920
2023-04-03	245539807	248406336	19007957196
2023-04-10	9071736815	106450500	18907664448
2023-04-17	45381742891	35467240200	31507555276
2023-04-24	27373739805	17860574604	12706996408
2023-05-01	444078732	470937012	182832828
2023-05-08	16683463786	450629532	622391508
2023-05-15	20192822114	9959602358	1026993604
2023-05-22	544109448	132850224	6633323500
2023-05-29	9231903875	9378493038	12854964384
2023-06-05	13453174671	9315474342	17960491588
2023-06-12	316862196	170582832	352196656
2023-06-19	0	8777850186	6301089752
2023-06-26	235370244	153681768	407140608
2023-07-03	393310032	454560012	283296156
2023-07-10	324437276	135143004	389556392
2023-07-17	9392636731	9219636138	248502808
2023-07-24	9403403819	258429060	307689700
2023-07-31	9139013531	8878863522	6380079076
2023-08-07	247947780	288890280	214597988
2023-08-14	363307368	672701652	184778460
2023-08-21	374267712	403492444	428106272
2023-08-28	364224480	422592108	155443316
2023-09-04	9112286267	339334456	6927767312
2023-09-11	83653716	432811356	259534276
2023-09-18	201437100	164294064	217097780
2023-09-25	267665688	163114920	94939724
2023-10-02	40876992	246899652	487061276
2023-10-09	371299344	240283344	426247320
2023-10-16	71927784	181326144	180669628
2023-10-23	74220564	0	24298684
2023-10-30	135863592	59808804	423888804
2023-11-06	239955804	216504640	266387564
2023-11-13	24893040	104157720	131121752
2023-11-20	0	0	120854944
2023-11-27	9005377211	0	187248
2023-12-04	0	0	12822368
2023-12-11	0	8777850186	228560
2024-01-22	10624466	1268372	13047312
2024-02-05	26465232	18931812	33998652
2024-02-26	9005377211	8777850186	6288055712
2024-03-04	34064160	59939820	183765028
2024-03-11	252441163	253822606	116345948
2024-03-18	9235179275	124530708	7540900
2024-03-25	31652534	21159084	642437284
2024-04-01	748943915	6419784	593312
2024-04-08	10373146259	711958182	1693055816
2024-04-15	1106853254	621456336	333112228
2024-04-22	1068843972	9003462872	6846473696
2024-04-29	13781012087	8823032266	2055829516
2024-05-06	232612218	1991099520	4840724312
2024-05-13	55779629	504151300	158549644
2024-05-20	295886471	8878894410	851496992
2024-05-27	788542527	588646628	650934432
2024-06-03	748867759	382803612	184790656
2024-06-10	44545440	0	6365784484
2024-06-17	39390816	0	0
2024-06-24	18010754422	0	0
2024-07-08	6754707618	17569510696	3153312
2024-07-15	17818176	0	0
2024-07-22	20569512	0	0
2024-07-29	11856948	0	92809832
2024-08-05	513976443	0	0
2024-08-26	3438174223	0	0
2024-09-09	7313153286	6856524916	126968704
2024-09-16	10219248	0	12520956
2024-09-23	27676022	23509652	28849216
2024-10-07	958097	0	0
2024-10-21	38075971	11754826	22351076
2024-10-28	231313211	0	0
2024-11-04	5719642	0	6682432
2024-11-18	26531556	0	0
2024-12-09	30827709	0	0
2025-01-13	9005377211	8777850186	6288055712
2025-01-27	0	0	6288055712
2025-02-10	9031059931	900947274	16770048
2025-02-24	0	8777850186	6288055712
2025-03-03	9005377211	0	0
2025-03-10	0	4127004	4127004
2025-03-17	9005377211	0	0
2025-04-14	89731940423	128160030348	57812055876
2025-04-28	9826200	0	0
2025-07-07	441696451	0	211611348
2025-07-14	0	8783789386	0
2025-07-28	0	0	2408324512
2025-08-04	0	5557452800	0
2025-08-11	4653786811	634186	4127004
2025-08-18	9005377211	17570046624	6288055712
2025-08-25	4077070011	0	4141875200
2025-09-01	0	3879731200	0
2025-09-08	9891708	0	0
2025-09-22	28597998	31425772	35084180
2025-09-29	0	0	10616036
2025-10-06	27969587	27560800	38345004
2025-10-13	46377335	32956176	22414956
2025-10-20	16966572	6598240	6289242336
2025-10-27	59670801	74565060	86511700
2025-11-03	9201653026	8834130036	60759576
2025-11-10	67182210	38044906	79564112
2025-11-17	24628679	14938650	14291964
2025-11-24	27171321	18541590	5972448
2025-12-01	18956152	10549614	11220568
2025-12-08	19676740	6095070	10164960
2025-12-15	9041430951	17592652536	19540084
2025-12-29	0	4127004	0
2026-01-05	19349200	10287582	18349720
2026-01-19	11291716	8811887013	4796381668
2026-01-26	3940647131	10725244	3241821896
2026-02-02	4192512	3711477350	6234480
2026-02-09	9010826545	8888194	8052532
2026-02-16	9906419	20655506	10190584
2026-02-23	9007262444	8790865384	6298347948
2026-03-02	0	4258020	10485020
2026-03-09	9005377211	0	6305488008
2026-03-16	20520868958	9851485628	72904528
2026-03-23	307200	0	593312
2026-04-06	95129600	0	0
