date	bytes_sent	number_of_requests	number_of_downloads	number_of_views
2024-02-01	55104960	288	288	0
2024-02-02	32384816	252	84	84
2024-02-03	34026992	267	89	89
2024-02-04	43291792	342	114	114
2024-02-05	384176	3	1	1
2024-02-06	52194346	275	270	1
2024-02-07	610832	6	1	1
2024-02-08	55104960	288	288	0
2024-02-25	183224	1	1	0
2024-02-29	183272	1	1	0
2024-03-01	192088	1	1	0
2024-03-02	192088	1	1	0
2024-03-03	192088	1	1	0
2024-03-07	183256	1	1	0
2024-03-08	576264	3	0	2
2024-03-11	1275702	13	3	1
2024-03-12	161722440	1132	566	283
2024-03-13	2854728	20	10	5
2024-03-18	110087776	864	288	288
2024-03-19	87880368	687	229	229
2024-03-20	117366656	921	307	307
2024-03-21	110148848	864	288	288
2024-03-23	192088	1	1	0
2024-03-25	109962896	864	288	288
2024-03-26	109489320	865	289	288
2024-03-27	49057600	381	127	127
2024-03-28	60559328	483	161	161
2024-03-29	183224	1	1	0
2024-04-04	109713136	864	288	288
2024-04-12	192088	1	1	0
2024-04-19	109972424	865	289	288
2024-05-01	192088	1	1	0
2024-05-03	194824	1	1	0
2024-05-12	192088	1	1	0
2024-05-20	192088	1	1	0
2024-05-21	192088	1	1	0
2024-05-22	194824	1	1	0
2024-05-23	384176	2	2	0
2024-05-29	192088	1	1	0
2024-05-31	194824	1	1	0
2024-06-01	2674240	14	14	0
2024-06-02	2109608	11	11	0
2024-06-03	384176	2	2	0
2024-06-04	192088	1	1	0
2024-06-07	384176	2	2	0
2024-06-11	1146432	6	6	0
2024-06-12	1524496	8	8	0
2024-06-15	192088	1	1	0
2024-06-19	192088	1	1	0
2024-06-24	192088	1	1	0
2024-06-25	192088	1	1	0
2024-07-08	2304701	37	11	4
2024-07-09	1317304	12	6	1
2024-07-10	63514776	417	324	17
2024-07-11	1344616	7	7	0
2024-07-12	21303776	323	84	40
2024-07-13	43289120	335	113	111
2024-07-14	64284816	507	169	169
2024-07-15	3002496	24	8	8
2024-07-16	25680	4	0	1
2024-07-20	192088	1	1	0
2024-07-22	194824	1	1	0
2024-07-23	55104960	288	288	0
2024-07-25	183224	1	1	0
2024-07-26	14266304	72	72	0
2024-07-27	186561016	1040	884	78
2024-08-04	192088	1	1	0
2024-08-09	192088	1	1	0
2024-08-12	192088	1	1	0
2024-08-13	192088	1	1	0
2024-08-15	192088	1	1	0
2024-08-17	192088	1	1	0
2024-08-18	194824	1	1	0
2024-08-20	192088	1	1	0
2024-08-22	375344	2	2	0
2024-08-26	2493752	13	12	1
2024-08-27	2848648	15	15	0
2024-08-28	1728136	9	9	0
