region	bytes_sent
US/Massachusetts	389581080773
DE/Rheinland-Pfalz	260288763293
US/California	249218486288
AWS/us-east-1	248829501881
VPN	248403587381
US/Florida	246427085137
GCP/us-east1	174290194887
GCP/us-central1	163211228109
CA/Quebec	132029804910
GitHub	79887608013
GCP/us-west1	48789972949
GCP/europe-west4	42754880707
US/Georgia	42141049782
CN/Shanghai	40643257263
CA/Ontario	40373239599
AWS/eu-west-1	37323537889
KR/Seoul	30840113789
GCP/asia-east1	19752441428
GCP/us-east4	18998915257
AT/Upper Austria	16756801122
GCP/us-west3	15230615402
unknown	13761549048
US/Rhode Island	11941265986
DE/Bavaria	7449503695
GB/England	6883514294
GCP/us-west4	5799639139
TW/Taiwan	4539138125
US/Maryland	2818287915
AWS/us-east-2	1840004186
CH/Vaud	1296888025
US/Washington	934770804
AWS/ap-southeast-1	802538508
US/New York	622854710
HK/Hong Kong	556451432
GCP/asia-southeast1	556451432
IN/Maharashtra	534008144
US/North Carolina	502051340
US/Pennsylvania	317713644
HU/Budapest	215124054
US/Virginia	158569352
PT/Lisbon	89231416
DE/Brandenburg	55812816
US/Colorado	36356940
