region	bytes_sent	number_of_requests	number_of_downloads
US/New York	60996223850	1660	1640
HK/Hong Kong	7746177690	320	200
missing	901200129222	51620	25840
AT/State of Vienna	12563287466	320	320
SG/Singapore	208883604090	5200	5200
US/California	22609697524	1360	460
IN/Madhya Pradesh	30674172098	760	760
US/Michigan	25350475004	940	620
CN/Shanghai	18992017442	480	480
IT/Tuscany	12508119436	320	320
DE/Bavaria	25198101048	620	620
IN/Kerala	12581302166	320	320
GCP/asia-east1	12661649262	320	320
US/Illinois	24604825882	680	620
AWS/ap-southeast-1	2557366812	200	200
GB/England	12563287466	320	320
GCP/us-east4	12563287466	320	320
VPN	36151359402	1020	1000
GCP/asia-southeast1	25126574932	620	620
GitHub	4001954886	5960	1060
US/Washington	1120765208	1560	320
JP/Tokyo	3665616024	100	80
IR/Tehran	7983762904	220	180
TW/Taiwan	3396550016	80	80
IN/Andhra Pradesh	5194911460	140	120
IL/Central District	1848498640	<50	<50
CN/Hunan	1021728276	140	140
DE/Hesse	813721552	<50	<50
US/Pennsylvania	91633498	<50	<50
US/Virginia	11839952	<50	<50
CL/Santiago Metropolitan	170103212	<50	<50
US/Wyoming	11567650	<50	<50
DO/Nacional	11332884	<50	<50
DO/Espaillat Province	12839568	<50	<50
US/Massachusetts	1150308742	80	<50
AE/Sharjah	50408	120	<50
US/Ohio	40742640	160	<50
FR/Grand Est	142283379	<50	<50
RS/Central Serbia	45005026	<50	<50
AU/Victoria	45005026	<50	<50
CH/Geneva	45005026	<50	<50
