asset_path	bytes_sent	number_of_requests	number_of_downloads
sub-BAYLORJH160/sub-BAYLORJH160_ses-FOV3-2023-08-09_ophys.nwb	12392119557	540	60
sub-BAYLORJH119/sub-BAYLORJH119_ses-FOV4-2022-10-12_ophys.nwb	4836496374	380	60
sub-BAYLORJH117/sub-BAYLORJH117_ses-FOV7-2022-10-15_ophys.nwb	7202522921	440	60
sub-BAYLORJH119/sub-BAYLORJH119_ses-FOV3-2022-10-29_ophys.nwb	5237488480	400	60
sub-BAYLORJH035/sub-BAYLORJH035_ses-FOV3-2021-12-13_ophys.nwb	5852315732	400	60
sub-BAYLORJH035/sub-BAYLORJH035_ses-FOV1-2021-12-09_ophys.nwb	5016891471	480	100
sub-BAYLORJH160/sub-BAYLORJH160_ses-FOV4-2023-08-10_ophys.nwb	9778080456	460	<50
sub-BAYLORJH122/sub-BAYLORJH122_ses-FOV2-2022-11-06_ophys.nwb	14979544634	580	60
sub-BAYLORJH035/sub-BAYLORJH035_ses-FOV1-2022-02-24_ophys.nwb	11978136279	700	80
sub-BAYLORJH134/sub-BAYLORJH134_ses-FOV6-2023-01-03_ophys.nwb	8526668337	480	<50
sub-BAYLORJH035/sub-BAYLORJH035_ses-FOV4-2021-12-15_ophys.nwb	4555667001	400	60
sub-BAYLORJH117/sub-BAYLORJH117_ses-FOV2-2022-10-18_ophys.nwb	7326000659	460	60
sub-BAYLORJH130/sub-BAYLORJH130_ses-FOV13-2023-06-09_ophys.nwb	4264604820	320	<50
sub-BAYLORJH133/sub-BAYLORJH133_ses-FOV1-2022-11-08_ophys.nwb	10096082429	500	60
sub-BAYLORJH117/sub-BAYLORJH117_ses-FOV1-2022-10-17_ophys.nwb	8285471042	500	60
sub-BAYLORJH122/sub-BAYLORJH122_ses-FOV1-2022-12-18_ophys.nwb	10620049116	520	60
sub-BAYLORJH119/sub-BAYLORJH119_ses-FOV3-2022-10-01_ophys.nwb	4515734176	360	60
sub-BAYLORJH130/sub-BAYLORJH130_ses-FOV7-2022-12-21_ophys.nwb	11381044300	480	<50
sub-BAYLORJH130/sub-BAYLORJH130_ses-FOV14-2023-04-10_ophys.nwb	15660060673	660	<50
sub-BAYLORJH035/sub-BAYLORJH035_ses-FOV2-2021-12-12_ophys.nwb	4925322880	380	60
sub-BAYLORJH130/sub-BAYLORJH130_ses-FOV12-2023-04-28_ophys.nwb	8216909344	2780	160
sub-BAYLORJH160/sub-BAYLORJH160_ses-FOV5-2023-08-11_ophys.nwb	11006965777	520	<50
sub-BAYLORJH160/sub-BAYLORJH160_ses-FOV2-2023-06-23_ophys.nwb	11878418524	500	<50
sub-BAYLORJH130/sub-BAYLORJH130_ses-FOV4-2022-12-27_ophys.nwb	6887463272	380	<50
sub-BAYLORJH119/sub-BAYLORJH119_ses-FOV5-2022-10-04_ophys.nwb	8078266984	460	60
sub-BAYLORJH130/sub-BAYLORJH130_ses-FOV4-2022-12-10_ophys.nwb	6655898948	420	60
sub-BAYLORJH119/sub-BAYLORJH119_ses-FOV2-2022-11-09_ophys.nwb	6883982185	440	60
sub-BAYLORJH134/sub-BAYLORJH134_ses-FOV11-2023-06-30_ophys.nwb	5559437538	2840	160
sub-BAYLORJH035/sub-BAYLORJH035_ses-FOV6-2022-07-15_ophys.nwb	32273757501	1100	60
sub-BAYLORJH118/sub-BAYLORJH118_ses-FOV1-2022-11-27_ophys.nwb	9562116279	520	60
sub-BAYLORJH119/sub-BAYLORJH119_ses-FOV4-2022-10-22_ophys.nwb	6933469392	480	60
sub-BAYLORJH122/sub-BAYLORJH122_ses-FOV2-2022-10-21_ophys.nwb	8565533816	480	60
sub-BAYLORJH160/sub-BAYLORJH160_ses-FOV2-2023-08-01_ophys.nwb	15407185038	640	<50
sub-BAYLORJH158/sub-BAYLORJH158_ses-FOV1-2023-04-28_ophys.nwb	9518891830	520	40
sub-BAYLORJH117/sub-BAYLORJH117_ses-FOV2-2022-09-30_ophys.nwb	7757520012	460	60
sub-BAYLORJH133/sub-BAYLORJH133_ses-FOV3-2022-11-27_ophys.nwb	11056955798	560	60
sub-BAYLORJH117/sub-BAYLORJH117_ses-FOV4-2022-10-03_ophys.nwb	9273063973	500	60
sub-BAYLORJH035/sub-BAYLORJH035_ses-FOV7-2022-05-19_ophys.nwb	14321496842	620	<50
sub-BAYLORJH118/sub-BAYLORJH118_ses-FOV3-2022-10-28_ophys.nwb	6856686825	460	60
sub-BAYLORJH117/sub-BAYLORJH117_ses-FOV8-2022-10-16_ophys.nwb	8490686034	500	60
sub-BAYLORJH122/sub-BAYLORJH122_ses-FOV3-2022-12-21_ophys.nwb	15660751627	700	60
sub-BAYLORJH117/sub-BAYLORJH117_ses-FOV3-2022-11-04_ophys.nwb	7831238426	460	60
sub-BAYLORJH134/sub-BAYLORJH134_ses-FOV3-2022-12-30_ophys.nwb	6001644870	380	<50
sub-BAYLORJH159/sub-BAYLORJH159_ses-FOV1-2023-07-13_ophys.nwb	12137704575	580	60
sub-BAYLORJH122/sub-BAYLORJH122_ses-FOV1-2022-09-29_ophys.nwb	14759479926	640	60
sub-BAYLORJH035/sub-BAYLORJH035_ses-FOV4-2022-01-17_ophys.nwb	3570296581	400	60
sub-BAYLORJH123/sub-BAYLORJH123_ses-FOV3-2022-10-03_ophys.nwb	8993904226	480	60
sub-BAYLORJH130/sub-BAYLORJH130_ses-FOV11-2023-04-27_ophys.nwb	11577469184	2980	160
sub-BAYLORJH160/sub-BAYLORJH160_ses-FOV2-2023-07-14_ophys.nwb	13397640288	600	<50
sub-BAYLORJH134/sub-BAYLORJH134_ses-FOV11-2023-06-08_ophys.nwb	6752977162	2760	160
sub-BAYLORJH134/sub-BAYLORJH134_ses-FOV13-2023-04-29_ophys.nwb	11466187065	3460	180
sub-BAYLORJH122/sub-BAYLORJH122_ses-FOV1-2022-11-27_ophys.nwb	14582559889	640	60
sub-BAYLORJH134/sub-BAYLORJH134_ses-FOV7-2023-01-05_ophys.nwb	10709982910	540	60
sub-BAYLORJH035/sub-BAYLORJH035_ses-FOV8-2022-05-17_ophys.nwb	12179024486	500	60
sub-BAYLORJH160/sub-BAYLORJH160_ses-FOV5-2023-07-21_ophys.nwb	11919907064	520	<50
sub-BAYLORJH160/sub-BAYLORJH160_ses-FOV5-2023-07-02_ophys.nwb	7089637362	400	<50
sub-BAYLORJH158/sub-BAYLORJH158_ses-FOV3-2023-06-02_ophys.nwb	7117868489	400	<50
sub-BAYLORJH159/sub-BAYLORJH159_ses-FOV4-2023-07-14_ophys.nwb	11519332799	600	<50
sub-BAYLORJH134/sub-BAYLORJH134_ses-FOV13-2023-07-02_ophys.nwb	6723053888	380	<50
sub-BAYLORJH117/sub-BAYLORJH117_ses-FOV6-2022-10-14_ophys.nwb	6573789138	440	60
sub-BAYLORJH123/sub-BAYLORJH123_ses-FOV3-2022-11-09_ophys.nwb	10499142604	500	<50
sub-BAYLORJH130/sub-BAYLORJH130_ses-FOV11-2023-07-12_ophys.nwb	9849946300	2920	160
sub-BAYLORJH133/sub-BAYLORJH133_ses-FOV2-2022-12-07_ophys.nwb	5218825782	380	60
sub-BAYLORJH159/sub-BAYLORJH159_ses-FOV1-2023-06-07_ophys.nwb	10294762165	480	<50
sub-BAYLORJH035/sub-BAYLORJH035_ses-FOV6-2022-05-15_ophys.nwb	23577706043	920	60
sub-BAYLORJH160/sub-BAYLORJH160_ses-FOV6-2023-07-03_ophys.nwb	6870517919	400	<50
sub-BAYLORJH158/sub-BAYLORJH158_ses-FOV2-2023-04-29_ophys.nwb	7561366110	440	<50
sub-BAYLORJH122/sub-BAYLORJH122_ses-FOV4-2022-12-24_ophys.nwb	12145842956	580	60
sub-BAYLORJH159/sub-BAYLORJH159_ses-FOV5-2023-06-08_ophys.nwb	18556847908	700	60
sub-BAYLORJH130/sub-BAYLORJH130_ses-FOV13-2023-07-15_ophys.nwb	4022493632	340	<50
sub-BAYLORJH176/sub-BAYLORJH176_ses-FOV2-2023-09-12_ophys.nwb	11285887308	560	60
sub-BAYLORJH035/sub-BAYLORJH035_ses-FOV6-2022-05-07_ophys.nwb	21182768394	800	60
sub-BAYLORJH130/sub-BAYLORJH130_ses-FOV11-2023-04-07_ophys.nwb	13697234370	3000	160
sub-BAYLORJH160/sub-BAYLORJH160_ses-FOV1-2023-06-24_ophys.nwb	6755153106	460	60
sub-BAYLORJH130/sub-BAYLORJH130_ses-FOV4-2022-12-15_ophys.nwb	6382426236	380	60
sub-BAYLORJH035/sub-BAYLORJH035_ses-FOV8-2022-06-06_ophys.nwb	9942253196	480	60
sub-BAYLORJH117/sub-BAYLORJH117_ses-FOV2-2022-10-09_ophys.nwb	5047368557	420	60
sub-BAYLORJH160/sub-BAYLORJH160_ses-FOV9-2023-07-27_ophys.nwb	14899333983	600	<50
sub-BAYLORJH117/sub-BAYLORJH117_ses-FOV6-2022-10-22_ophys.nwb	7889245828	480	60
sub-BAYLORJH117/sub-BAYLORJH117_ses-FOV7-2022-10-06_ophys.nwb	5461285728	400	60
sub-BAYLORJH118/sub-BAYLORJH118_ses-FOV1-2022-09-29_ophys.nwb	5466869005	440	60
sub-BAYLORJH118/sub-BAYLORJH118_ses-FOV3-2022-11-29_ophys.nwb	4905555124	380	40
sub-BAYLORJH122/sub-BAYLORJH122_ses-FOV7-2022-10-22_ophys.nwb	6946094442	420	60
sub-BAYLORJH119/sub-BAYLORJH119_ses-FOV1-2022-10-08_ophys.nwb	8689440236	500	60
sub-BAYLORJH117/sub-BAYLORJH117_ses-FOV1-2022-10-08_ophys.nwb	8746827055	500	60
sub-BAYLORJH160/sub-BAYLORJH160_ses-FOV9-2023-07-11_ophys.nwb	9120143372	480	<50
sub-BAYLORJH130/sub-BAYLORJH130_ses-FOV14-2023-06-08_ophys.nwb	15021030497	620	<50
sub-BAYLORJH118/sub-BAYLORJH118_ses-FOV4-2022-11-30_ophys.nwb	7708334640	500	60
sub-BAYLORJH159/sub-BAYLORJH159_ses-FOV5-2023-07-15_ophys.nwb	10950316540	540	<50
sub-BAYLORJH123/sub-BAYLORJH123_ses-FOV2-2022-12-05_ophys.nwb	10868500316	520	60
sub-BAYLORJH035/sub-BAYLORJH035_ses-FOV1-2022-02-15_ophys.nwb	10426205618	540	60
sub-BAYLORJH130/sub-BAYLORJH130_ses-FOV7-2023-01-02_ophys.nwb	10331997393	500	40
sub-BAYLORJH035/sub-BAYLORJH035_ses-FOV2-2022-01-07_ophys.nwb	4582825690	360	60
sub-BAYLORJH123/sub-BAYLORJH123_ses-FOV2-2022-10-02_ophys.nwb	8101233004	420	60
sub-BAYLORJH122/sub-BAYLORJH122_ses-FOV1-2022-11-03_ophys.nwb	13836323766	600	60
sub-BAYLORJH118/sub-BAYLORJH118_ses-FOV5-2022-12-01_ophys.nwb	5857256029	420	<50
sub-BAYLORJH159/sub-BAYLORJH159_ses-FOV5-2023-04-29_ophys.nwb	14273673246	640	60
sub-BAYLORJH176/sub-BAYLORJH176_ses-FOV3-2023-09-14_ophys.nwb	10195148492	500	60
sub-BAYLORJH122/sub-BAYLORJH122_ses-FOV3-2022-10-19_ophys.nwb	5983858112	380	<50
sub-BAYLORJH122/sub-BAYLORJH122_ses-FOV5-2022-12-22_ophys.nwb	14222187776	600	<50
sub-BAYLORJH117/sub-BAYLORJH117_ses-FOV3-2022-10-19_ophys.nwb	5138597038	400	60
sub-BAYLORJH035/sub-BAYLORJH035_ses-FOV5-2021-12-14_ophys.nwb	3306466467	320	60
sub-BAYLORJH119/sub-BAYLORJH119_ses-FOV7-2022-10-23_ophys.nwb	5836239162	400	60
sub-BAYLORJH035/sub-BAYLORJH035_ses-FOV5-2022-01-11_ophys.nwb	2502811339	320	60
sub-BAYLORJH176/sub-BAYLORJH176_ses-FOV3-2023-12-08_ophys.nwb	9139602123	460	60
sub-BAYLORJH160/sub-BAYLORJH160_ses-FOV7-2023-07-23_ophys.nwb	16346456927	760	60
sub-BAYLORJH035/sub-BAYLORJH035_ses-FOV6-2022-04-28_ophys.nwb	21701819305	780	60
sub-BAYLORJH118/sub-BAYLORJH118_ses-FOV1-2022-10-26_ophys.nwb	8316850756	480	60
sub-BAYLORJH122/sub-BAYLORJH122_ses-FOV1-2022-10-20_ophys.nwb	10070278066	520	60
sub-BAYLORJH119/sub-BAYLORJH119_ses-FOV8-2022-10-07_ophys.nwb	4882065647	400	60
sub-BAYLORJH123/sub-BAYLORJH123_ses-FOV1-2022-12-04_ophys.nwb	11430354154	560	60
sub-BAYLORJH035/sub-BAYLORJH035_ses-FOV4-2022-02-25_ophys.nwb	23673163487	860	60
sub-BAYLORJH119/sub-BAYLORJH119_ses-FOV8-2022-10-16_ophys.nwb	3606650746	380	60
sub-BAYLORJH118/sub-BAYLORJH118_ses-FOV5-2022-10-05_ophys.nwb	5981112416	420	60
sub-BAYLORJH176/sub-BAYLORJH176_ses-FOV5-2023-08-14_ophys.nwb	14762069008	580	60
sub-BAYLORJH130/sub-BAYLORJH130_ses-FOV14-2023-07-13_ophys.nwb	8880741090	440	<50
sub-BAYLORJH123/sub-BAYLORJH123_ses-FOV1-2022-11-07_ophys.nwb	12772931250	560	<50
sub-BAYLORJH122/sub-BAYLORJH122_ses-FOV3-2022-11-29_ophys.nwb	8802465956	460	60
sub-BAYLORJH117/sub-BAYLORJH117_ses-FOV4-2022-10-20_ophys.nwb	5084368606	400	60
sub-BAYLORJH158/sub-BAYLORJH158_ses-FOV1-2023-06-08_ophys.nwb	10131739033	480	60
sub-BAYLORJH134/sub-BAYLORJH134_ses-FOV11-2023-04-11_ophys.nwb	9771820988	2840	160
sub-BAYLORJH035/sub-BAYLORJH035_ses-FOV5-2021-12-21_ophys.nwb	2667123140	320	60
sub-BAYLORJH159/sub-BAYLORJH159_ses-FOV4-2023-06-09_ophys.nwb	15360281621	620	<50
sub-BAYLORJH035/sub-BAYLORJH035_ses-FOV3-2021-12-22_ophys.nwb	4448253291	400	60
sub-BAYLORJH035/sub-BAYLORJH035_ses-FOV4-2022-02-16_ophys.nwb	14827042358	600	40
sub-BAYLORJH123/sub-BAYLORJH123_ses-FOV2-2022-11-08_ophys.nwb	9782332980	500	60
sub-BAYLORJH130/sub-BAYLORJH130_ses-FOV8-2022-12-23_ophys.nwb	11797802380	560	<50
sub-BAYLORJH118/sub-BAYLORJH118_ses-FOV2-2022-11-28_ophys.nwb	3781131047	360	60
sub-BAYLORJH122/sub-BAYLORJH122_ses-FOV3-2022-10-01_ophys.nwb	5363822224	380	<50
sub-BAYLORJH035/sub-BAYLORJH035_ses-FOV3-2022-01-12_ophys.nwb	4503438705	360	60
sub-BAYLORJH035/sub-BAYLORJH035_ses-FOV7-2022-05-09_ophys.nwb	12405972237	520	60
sub-BAYLORJH119/sub-BAYLORJH119_ses-FOV1-2022-11-08_ophys.nwb	10045601700	500	<50
sub-BAYLORJH134/sub-BAYLORJH134_ses-FOV7-2022-12-26_ophys.nwb	12618948489	580	<50
sub-BAYLORJH134/sub-BAYLORJH134_ses-FOV5-2022-12-20_ophys.nwb	5676008390	360	<50
sub-BAYLORJH160/sub-BAYLORJH160_ses-FOV4-2023-07-19_ophys.nwb	9210858582	480	<50
sub-BAYLORJH122/sub-BAYLORJH122_ses-FOV2-2022-11-28_ophys.nwb	9561038186	480	60
sub-BAYLORJH123/sub-BAYLORJH123_ses-FOV3-2022-12-06_ophys.nwb	10813234334	520	<50
sub-BAYLORJH123/sub-BAYLORJH123_ses-FOV1-2022-10-01_ophys.nwb	8843243800	440	60
sub-BAYLORJH134/sub-BAYLORJH134_ses-FOV3-2023-01-06_ophys.nwb	6526147092	400	<50
sub-BAYLORJH035/sub-BAYLORJH035_ses-FOV1-2021-11-24_ophys.nwb	10981301869	900	120
sub-BAYLORJH176/sub-BAYLORJH176_ses-FOV2-2023-08-11_ophys.nwb	9965300151	480	60
sub-BAYLORJH134/sub-BAYLORJH134_ses-FOV6-2022-12-24_ophys.nwb	8244143507	440	60
sub-BAYLORJH035/sub-BAYLORJH035_ses-FOV1-2022-02-17_ophys.nwb	12729446205	700	80
sub-BAYLORJH116/sub-BAYLORJH116_ses-FOV1-2022-10-01_ophys.nwb	3151066330	320	60
sub-BAYLORJH159/sub-BAYLORJH159_ses-FOV1-2023-04-27_ophys.nwb	7657995265	440	40
sub-BAYLORJH158/sub-BAYLORJH158_ses-FOV4-2023-06-09_ophys.nwb	9859105059	520	<50
sub-BAYLORJH119/sub-BAYLORJH119_ses-FOV2-2022-10-27_ophys.nwb	6286317108	420	60
sub-BAYLORJH035/sub-BAYLORJH035_ses-FOV8-2022-05-05_ophys.nwb	7068418536	400	<50
sub-BAYLORJH122/sub-BAYLORJH122_ses-FOV4-2022-11-30_ophys.nwb	8394226042	480	60
sub-BAYLORJH158/sub-BAYLORJH158_ses-FOV3-2023-04-30_ophys.nwb	7718963378	460	<50
sub-BAYLORJH122/sub-BAYLORJH122_ses-FOV2-2022-12-20_ophys.nwb	11267330729	540	40
sub-BAYLORJH118/sub-BAYLORJH118_ses-FOV3-2022-10-01_ophys.nwb	7648352623	460	60
sub-BAYLORJH122/sub-BAYLORJH122_ses-FOV4-2022-10-18_ophys.nwb	7539476625	420	60
sub-BAYLORJH117/sub-BAYLORJH117_ses-FOV6-2022-10-05_ophys.nwb	7893458786	460	60
sub-BAYLORJH160/sub-BAYLORJH160_ses-FOV3-2023-07-16_ophys.nwb	8180789204	440	<50
sub-BAYLORJH117/sub-BAYLORJH117_ses-FOV1-2022-10-26_ophys.nwb	8992695750	460	60
sub-BAYLORJH158/sub-BAYLORJH158_ses-FOV4-2023-05-01_ophys.nwb	8949915327	460	<50
sub-BAYLORJH130/sub-BAYLORJH130_ses-FOV13-2023-04-09_ophys.nwb	8101645726	2780	160
sub-BAYLORJH122/sub-BAYLORJH122_ses-FOV2-2022-11-01_ophys.nwb	8875363010	500	60
sub-BAYLORJH130/sub-BAYLORJH130_ses-FOV14-2023-04-26_ophys.nwb	14082223734	640	<50
sub-BAYLORJH118/sub-BAYLORJH118_ses-FOV5-2022-10-30_ophys.nwb	7461639607	440	<50
sub-BAYLORJH117/sub-BAYLORJH117_ses-FOV7-2022-10-28_ophys.nwb	4763786154	360	60
sub-BAYLORJH122/sub-BAYLORJH122_ses-FOV1-2022-11-08_ophys.nwb	14657058704	660	60
sub-BAYLORJH119/sub-BAYLORJH119_ses-FOV4-2022-10-30_ophys.nwb	6505989876	440	60
sub-BAYLORJH122/sub-BAYLORJH122_ses-FOV5-2022-12-01_ophys.nwb	10433315852	560	60
sub-BAYLORJH117/sub-BAYLORJH117_ses-FOV4-2022-10-12_ophys.nwb	6688926168	460	60
sub-BAYLORJH134/sub-BAYLORJH134_ses-FOV1-2022-12-28_ophys.nwb	9632573671	480	<50
sub-BAYLORJH130/sub-BAYLORJH130_ses-FOV12-2023-04-08_ophys.nwb	8278426474	2760	160
sub-BAYLORJH160/sub-BAYLORJH160_ses-FOV3-2023-06-30_ophys.nwb	8837581340	460	40
sub-BAYLORJH035/sub-BAYLORJH035_ses-FOV4-2022-02-18_ophys.nwb	18945661511	720	<50
sub-BAYLORJH118/sub-BAYLORJH118_ses-FOV4-2022-10-29_ophys.nwb	6801395221	420	40
sub-BAYLORJH130/sub-BAYLORJH130_ses-FOV12-2023-06-17_ophys.nwb	5413780548	2700	160
sub-BAYLORJH160/sub-BAYLORJH160_ses-FOV8-2023-07-25_ophys.nwb	12690720927	600	<50
sub-BAYLORJH130/sub-BAYLORJH130_ses-FOV2-2022-12-08_ophys.nwb	4347760240	400	40
sub-BAYLORJH134/sub-BAYLORJH134_ses-FOV6-2022-12-12_ophys.nwb	7055533918	420	40
sub-BAYLORJH119/sub-BAYLORJH119_ses-FOV1-2022-10-18_ophys.nwb	8939167874	500	<50
sub-BAYLORJH122/sub-BAYLORJH122_ses-FOV7-2022-10-03_ophys.nwb	10062115460	460	60
sub-BAYLORJH130/sub-BAYLORJH130_ses-FOV11-2023-06-07_ophys.nwb	8123815293	2880	160
sub-BAYLORJH160/sub-BAYLORJH160_ses-FOV8-2023-07-07_ophys.nwb	12986633172	540	<50
sub-BAYLORJH035/sub-BAYLORJH035_ses-FOV4-2021-12-23_ophys.nwb	4684824226	420	60
sub-BAYLORJH035/sub-BAYLORJH035_ses-FOV7-2022-05-13_ophys.nwb	7981130548	440	60
sub-BAYLORJH122/sub-BAYLORJH122_ses-FOV3-2022-11-05_ophys.nwb	7712741178	460	60
sub-BAYLORJH119/sub-BAYLORJH119_ses-FOV3-2022-10-21_ophys.nwb	5298494888	400	60
sub-BAYLORJH134/sub-BAYLORJH134_ses-FOV7-2022-12-13_ophys.nwb	10304154590	480	<50
sub-BAYLORJH119/sub-BAYLORJH119_ses-FOV3-2022-10-10_ophys.nwb	5664562884	400	<50
sub-BAYLORJH160/sub-BAYLORJH160_ses-FOV4-2023-07-01_ophys.nwb	6331712772	380	<50
sub-BAYLORJH035/sub-BAYLORJH035_ses-FOV1-2022-05-23_ophys.nwb	12080581977	600	60
sub-BAYLORJH160/sub-BAYLORJH160_ses-FOV7-2023-07-06_ophys.nwb	11046762987	540	<50
sub-BAYLORJH122/sub-BAYLORJH122_ses-FOV2-2022-11-09_ophys.nwb	9974190067	500	<50
sub-BAYLORJH134/sub-BAYLORJH134_ses-FOV13-2023-06-01_ophys.nwb	6344451656	380	<50
sub-BAYLORJH160/sub-BAYLORJH160_ses-FOV1-2023-07-13_ophys.nwb	6815875936	380	<50
sub-BAYLORJH159/sub-BAYLORJH159_ses-FOV4-2023-04-25_ophys.nwb	10970344591	500	<50
sub-BAYLORJH117/sub-BAYLORJH117_ses-FOV8-2022-10-31_ophys.nwb	8929149930	480	40
sub-BAYLORJH130/sub-BAYLORJH130_ses-FOV8-2023-01-04_ophys.nwb	8874698179	440	<50
sub-BAYLORJH122/sub-BAYLORJH122_ses-FOV2-2022-09-30_ophys.nwb	7225285554	460	<50
sub-BAYLORJH119/sub-BAYLORJH119_ses-FOV5-2022-10-31_ophys.nwb	10655217012	520	<50
sub-BAYLORJH119/sub-BAYLORJH119_ses-FOV1-2022-09-29_ophys.nwb	13285085385	580	60
sub-BAYLORJH035/sub-BAYLORJH035_ses-FOV2-2021-12-19_ophys.nwb	3647484846	340	60
sub-BAYLORJH130/sub-BAYLORJH130_ses-FOV5-2022-12-29_ophys.nwb	8530232112	440	<50
sub-BAYLORJH160/sub-BAYLORJH160_ses-FOV6-2023-08-12_ophys.nwb	10624276399	560	<50
sub-BAYLORJH134/sub-BAYLORJH134_ses-FOV3-2022-12-09_ophys.nwb	6282048286	380	<50
sub-BAYLORJH176/sub-BAYLORJH176_ses-FOV3-2023-08-12_ophys.nwb	8369637115	460	<50
sub-BAYLORJH130/sub-BAYLORJH130_ses-FOV2-2022-12-14_ophys.nwb	5054766198	340	<50
sub-BAYLORJH134/sub-BAYLORJH134_ses-FOV11-2023-04-30_ophys.nwb	11644898966	2860	160
sub-BAYLORJH134/sub-BAYLORJH134_ses-FOV1-2022-12-14_ophys.nwb	4518050335	340	<50
