region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
USA/NH	178612165736	415601	33065	29356
CHN	222662321224	15722	16	308
HKG/KKC	26885426352	3241	0	63
USA	52927727340	10159	0	127
VPN	280142330635	5217	2238	276
USA/MD	3268835060	2855	682	340
AWS/us-east-1	135543201488	16090	324	309
GH-actions	11406018556	38644	3083	2502
USA/MA	317598830644	4428	320	456
USA/WA	170408504	196	2	26
USA/VT	4983681908	11712	932	623
ITA	2306945716	3884	309	309
AWS/us-west-2	3435776648	67	13	2
AWS/ap-southeast-1	3855604356	728	728	0
USA/CA	2084909456	408	313	4
GCP/us-west1	2003059104	4	4	0
TWN/TXG	132684367932	338	314	8
DEU	139448919277	423	355	26
USA/IL	5017076296	189	168	2
IND	62103932224	9669	422	309
CHN/SH	474185688	2	2	0
AWS/us-east-2	15802279500	457	49	1
DEU/NW	4258760777	3884	156	65
GCP/us-central1	1350533580	8	8	0
USA/NY	101053520	208	17	17
NOR/46	29347584	1	1	0
MEX/CMX	228604836	824	91	64
USA/PA	39284204	32	3	2
CHE/VD	3497744	16	2	2
BGD/C	37405068	3	3	0
VNM	13953204	2	2	0
PAK/PB	19324860	6	6	0
TUR/37	2685828	1	1	0
VNM/SG	213818112	18	18	0
IDN/JB	917112	1	1	0
FRA/IDF	56267700	284	25	13
CAN/BC	355313488	81	3	1
GCP/us-east1	42383676	5	5	0
PSE/NBS	14280744	1	1	0
PRY/10	18145716	2	2	0
COL/CES	1113636	1	1	0
BRA/MA	16508016	2	2	0
ARE/DU	1244652	1	1	0
HKG	59612280	11	11	0
VNM/39	49131000	1	1	0
NLD	44651412856	2038	97	97
ARG/B	17294112	4	4	0
IDN/YO	55157736	7	7	0
VNM/HP	72779388	5	5	0
USA/VA	2069594372	108	108	0
ARG/X	12053472	3	3	0
MKD/508	2358288	1	1	0
IND/GJ	7140372	1	1	0
VNM/22	9040104	1	1	0
SEN/DK	11922456	2	2	0
RUS/SPE	7271388	1	1	0
VNM/DN	38977260	4	4	0
SGP	428403184	21	11	3
IRQ	21028068	2	2	0
BGD	19783416	7	7	0
BLR/HM	8450532	2	2	0
ZAF/WC	19062828	3	3	0
IDN/KI	1	1	0	1
SAU/01	6354276	1	1	0
BRA/MG	2751336	2	2	0
MEX/NLE	1	1	0	1
SAU/04	10808820	1	1	0
MEX/MEX	3275400	1	1	0
IRQ/BB	16114968	2	2	0
VEN/V	7860960	2	2	0
ECU/I	6878340	1	1	0
BRA/SP	40680468	8	8	0
OMN/MA	8974596	1	1	0
UZB/TK	26203200	3	3	0
DZA/31	1375668	1	1	0
PRY/ASU	13822188	1	1	0
BHR/13	6616308	1	1	0
VNM/56	59284740	2	2	0
NGA/FC	917112	1	1	0
MYS/14	1113636	1	1	0
BRA/PE	18735288	2	2	0
IRQ/KA	4454544	1	1	0
MLI/BKO	9629676	1	1	0
BRA/RJ	5306148	1	1	0
TUR/31	1375668	1	1	0
BGD/D	21748656	2	2	0
CHL/RM	13101600	2	2	0
ZAF/KZN	8057484	1	1	0
MYS/04	917112	1	1	0
JAM/12	16704540	1	1	0
VNM/HN	100882320	12	12	0
USA/TX	2030748	1	1	0
ECU/G	3013368	1	1	0
URY/MO	8581549	2	1	1
CAN/ON	1703208	1	1	0
ETH/AA	3275400	1	1	0
MAR/04	1703208	1	1	0
JOR	8647056	2	2	0
VNM/66	5240640	1	1	0
RUS/BEL	6092244	1	1	0
ARG/F	7991976	1	1	0
MYS/08	917112	1	1	0
IRQ/SU	11987964	1	1	0
IND/PB	2358288	1	1	0
VNM/CT	33409080	3	3	0
PAK/IS	8450532	1	1	0
IRQ/BG	9760692	1	1	0
TUN/11	9498660	2	2	0
MEX/YUC	10219248	1	1	0
USA/OH	11791440	1	1	0
VEN/G	20307480	1	1	0
THA/90	16770048	1	1	0
MEX/PUE	6943848	1	1	0
BRA/PR	5830213	2	1	1
VEN/A	24958548	3	3	0
IDN/BA	3733956	1	1	0
IDN/RI	1703208	1	1	0
VNM/20	10677804	1	1	0
JOR/AM	4389036	1	1	0
ETH/SI	5633688	1	1	0
BHS/NP	14280744	1	1	0
THA/10	107396284	1	1	0
ESP/CN	3930480	1	1	0
VNM/37	1637700	1	1	0
VNM/54	10284756	1	1	0
BIH/SRP	11987964	1	1	0
KHM/12	12381012	1	1	0
UKR/18	3013368	1	1	0
SWE/M	18866304	1	1	0
KEN/30	1113636	1	1	0
BRA/TO	5502672	1	1	0
MEX/GUA	17228604	1	1	0
IDN	8581548	1	1	0
COL/ANT	10284756	1	1	0
BGD/F	7271388	1	1	0
BRA/RR	1	1	0	1
AGO/LUA	19717908	2	2	0
LBN/AS	5240640	1	1	0
ARE/AZ	37667100	2	2	0
VNM/61	16049460	2	2	0
DEU/BY	21290180	11	1	1
IND/HR	851604	1	1	0
COL/DC	10022724	1	1	0
BRA/RS	10153740	1	1	0
TUR/22	1	1	0	1
USA/FL	22207212	2	2	0
SEN/TH	7467912	1	1	0
KAZ/55	3930480	1	1	0
IDN/JI	1113636	1	1	0
BRA/PI	4323528	1	1	0
BRA/BA	1441176	1	1	0
CHL/MA	6550800	1	1	0
VNM/51	7926468	1	1	0
IRQ/DA	29216568	2	2	0
EST/37	159627464	1	1	0
PHL/40	2423796	1	1	0
ISR/JM	3013368	1	1	0
GEO/SZ	9367644	1	1	0
BRA/PB	15394380	1	1	0
MAR/01	8057484	1	1	0
ALB/11	34457208	1	1	0
LBN/BA	9433152	1	1	0
COG/14	1703208	1	1	0
VNM/68	7402404	1	1	0
