date	bytes_sent	number_of_requests	number_of_downloads
2026-05-21	35210927914	6060	1120
2026-05-22	146286732	760	240
2026-05-23	53930106	340	80
2026-05-24	50807134	320	80
2026-05-25	169334416	880	280
2026-05-26	25308520	160	<50
2026-05-27	55024546	320	80
2026-05-28	75594408	420	120
2026-05-29	29093508	180	<50
2026-05-30	43954636	280	80
2026-05-31	66318292	400	100
2026-06-01	99018986	500	160
2026-06-02	32802134	200	60
2026-06-03	21707699	140	<50
2026-06-04	83890940	460	140
2026-06-05	17314404	120	<50
2026-06-08	63927426	<50	<50
2026-06-10	47614092	240	80
2026-06-13	617444	<50	<50
2026-06-14	8683058	60	<50
2026-06-15	14256882	100	<50
2026-06-16	12375668	80	<50
2026-06-17	20418934	140	<50
2026-06-18	20419616	120	<50
2026-06-19	3849267889	240	<50
2026-06-20	8907342383	600	<50
2026-06-21	21021574	140	<50
2026-06-22	9440899408	580	<50
2026-06-23	2881221405	300	<50
2026-06-24	3390314909	420	60
2026-06-25	3774716317	360	<50
2026-06-26	1098359903	1300	1140
2026-06-27	25733235	160	<50
2026-06-28	24167832	160	<50
2026-06-29	5989469401	440	320
2026-06-30	24147402	160	<50
2026-07-01	21077418	140	<50
2026-07-02	68522381	180	<50
2026-07-03	32251342	200	60
2026-07-04	27744682	180	<50
2026-07-05	20447634	120	<50
2026-07-06	19822689	120	<50
2026-07-07	20469167	140	<50
2026-07-08	22306974	140	<50
2026-07-09	957294929	1200	1080
2026-07-10	25376250	160	<50
2026-07-11	31303012	200	60
2026-07-12	20468524	140	<50
2026-07-13	30969002	200	40
2026-07-14	32226432	200	60
2026-07-15	25431384	160	<50
2026-07-16	60638718	340	100
2026-07-17	27858946	180	<50
2026-07-18	21081866	140	<50
2026-07-19	307264	<50	<50
