week_start	sub-b519-5/sub-b519-5_ses-ASPA_ophys.nwb	sub-b519-5/sub-b519-5_ses-IBA1_ophys.nwb	sub-b519-6/sub-b519-6_ses-GFAP_ophys.nwb	sub-b519-6/sub-b519-6_ses-NeuN_ophys.nwb	sub-b519-7/sub-b519-7_ses-GFAP_ophys.nwb	sub-b519-7/sub-b519-7_ses-NeuN_ophys.nwb	sub-b519-8/sub-b519-8_ses-ASPA_ophys.nwb	sub-b519-8/sub-b519-8_ses-IBA1_ophys.nwb	sub-b534-2/sub-b534-2_ses-ASPA_ophys.nwb	sub-b534-2/sub-b534-2_ses-IBA1_ophys.nwb	sub-b534-3/sub-b534-3_ses-ASPA_ophys.nwb	sub-b534-3/sub-b534-3_ses-IBA1_ophys.nwb	sub-b535-1/sub-b535-1_ses-ASPA_ophys.nwb	sub-b535-1/sub-b535-1_ses-IBA1_ophys.nwb	sub-b547-0/sub-b547-0_ses-ASPA_ophys.nwb	sub-b547-0/sub-b547-0_ses-IBA1_ophys.nwb	sub-b547-0/sub-b547-0_ses-NeuN_ophys.nwb	sub-b553-4/sub-b553-4_ses-ASPA_ophys.nwb	sub-b553-4/sub-b553-4_ses-IBA1_ophys.nwb	sub-b614-4/sub-b614-4_ses-ASPA_ophys.nwb	sub-b614-4/sub-b614-4_ses-GFAP_ophys.nwb	sub-b614-4/sub-b614-4_ses-IBA1_ophys.nwb	sub-b614-4/sub-b614-4_ses-NeuN_ophys.nwb	sub-b614-5/sub-b614-5_ses-ASPA_ophys.nwb	sub-b614-5/sub-b614-5_ses-GFAP_ophys.nwb	sub-b614-5/sub-b614-5_ses-IBA1_ophys.nwb	sub-b614-5/sub-b614-5_ses-NeuN_ophys.nwb	sub-b640-0/sub-b640-0_ses-ASPA_ophys.nwb	sub-b640-0/sub-b640-0_ses-GFAP_ophys.nwb	sub-b640-0/sub-b640-0_ses-NeuN_ophys.nwb	sub-b640-1/sub-b640-1_ses-ASPA_ophys.nwb	sub-b640-1/sub-b640-1_ses-GFAP_ophys.nwb	sub-b640-1/sub-b640-1_ses-IBA1_ophys.nwb	sub-b640-1/sub-b640-1_ses-NeuN_ophys.nwb	sub-b640-3/sub-b640-3_ses-GFAP_ophys.nwb	sub-b640-3/sub-b640-3_ses-NeuN_ophys.nwb	sub-b641-0/sub-b641-0_ses-GFAP_ophys.nwb	sub-b641-0/sub-b641-0_ses-IBA1_ophys.nwb	sub-b641-0/sub-b641-0_ses-NeuN_ophys.nwb	sub-b641-3/sub-b641-3_ses-ASPA_ophys.nwb	sub-b641-3/sub-b641-3_ses-IBA1_ophys.nwb	sub-b641-3/sub-b641-3_ses-NeuN_ophys.nwb	sub-b659-5/sub-b659-5_ses-GFAP_ophys.nwb	sub-b659-5/sub-b659-5_ses-NeuN_ophys.nwb	sub-b659-6/sub-b659-6_ses-GFAP_ophys.nwb	sub-b659-6/sub-b659-6_ses-NeuN_ophys.nwb	sub-b677-2/sub-b677-2_ses-GFAP_ophys.nwb	sub-b677-2/sub-b677-2_ses-NeuN_ophys.nwb	sub-b677-7/sub-b677-7_ses-GFAP_ophys.nwb	sub-b677-7/sub-b677-7_ses-NeuN_ophys.nwb	sub-b697-0/sub-b697-0_ses-GFAP_ophys.nwb	sub-b697-0/sub-b697-0_ses-NeuN_ophys.nwb	sub-b697-6/sub-b697-6_ses-GFAP_ophys.nwb	sub-b697-6/sub-b697-6_ses-NeuN_ophys.nwb
2025-10-06	18662320	7400784	7666256	7419936	7666256	7666256	18246288	7419936	18492608	7666256	18738928	7666256	18738928	7666256	18492608	7666256	7666256	18246288	7419936	18492608	7419936	7666256	7419936	18738928	7419936	7666256	7666256	18492608	7666256	7666256	18492608	7666256	7666256	7419936	7666256	7666256	7666256	7666256	7666256	18246288	7666256	7419936	7666256	7419936	7666256	7419936	7419936	7419936	7666256	7666256	7666256	7419936	7419936	7666256
2025-10-13	7117436	7160848	7419936	6927296	2850088	7173616	7173616	6927296	7616460	6927296	7419936	7419936	7173616	7419936	7173616	7173616	7666256	7173616	2850088	7108108	7419936	7173616	4896548	7419936	6927296	7173616	7666256	7173616	2850088	7666256	2603768	7173616	7173616	7419936	7173616	7173616	7173616	7419936	2850088	7419936	7370140	2603768	7173616	5011852	6927296	7666256	7419936	6927296	7173616	6927296	7666256	2850088	7173616	2850088
2025-10-20	11021600	0	0	0	0	0	11072672	0	11072672	0	11072672	0	11072672	0	11072672	0	0	11072672	0	10826352	0	0	0	11072672	0	0	0	11022876	0	0	11072672	0	0	0	0	0	0	0	0	10826352	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-27	11021600	0	0	0	0	0	11072672	0	10826352	0	11072672	0	10826352	0	11072672	0	0	10826352	0	11072672	0	0	0	11072672	0	0	0	10826352	0	0	11072672	0	0	0	0	0	0	0	0	10826352	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-03	45882056	0	0	0	0	0	45580936	0	45827256	0	46566216	0	46812536	0	46319896	0	0	46566216	0	46073576	0	0	0	46073576	0	0	0	46566216	0	0	45334616	0	0	0	0	0	0	0	0	44595656	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-10	29546180	0	0	0	0	0	28725608	0	29907412	0	29464568	0	29957208	0	29218248	0	0	29414772	0	29464568	0	0	0	29464568	0	0	0	29710888	0	0	28971928	0	0	0	0	0	0	0	0	28725608	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-17	18567992	0	0	0	0	0	18884536	0	18391896	0	19377176	0	18638216	0	18638216	0	0	18884536	0	19130856	0	0	0	19130856	0	0	0	18884536	0	0	17100108	0	0	0	0	0	0	0	0	19081060	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-24	21209628	0	0	0	0	0	18145576	0	18884536	0	19377176	0	18884536	0	18884536	0	0	18884536	0	18884536	0	0	0	19130856	0	0	0	18884536	0	0	18638216	0	0	0	0	0	0	0	0	18884536	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-01	21209628	0	0	0	0	0	19377176	0	18884536	0	19130856	0	18884536	0	19377176	0	0	19377176	0	19130856	0	0	0	19130856	0	0	0	19130856	0	0	18638216	0	0	0	0	0	0	0	0	19377176	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-08	13537064	0	0	0	0	0	13348200	2408084	13348200	0	13840840	0	13840840	0	13660028	0	0	13791044	0	13594520	0	0	0	13594520	0	0	0	13840840	0	0	13840840	0	0	0	0	0	0	0	0	13840840	0	0	0	0	0	0	0	0	0	0	0	2408084	0	0
