week_start	sub-grabAM05/sub-grabAM05_ses-11222019-spont_behavior+image+ophys.nwb	sub-grabAM05/sub-grabAM05_ses-11222019-spont_behavior+image+ophys/25cd489c-0aad-42de-b235-5a628dbabd43_external_file_0.avi	sub-grabAM05/sub-grabAM05_ses-11222019-vis-stim_behavior+image+ophys.nwb	sub-grabAM05/sub-grabAM05_ses-11222019-vis-stim_behavior+image+ophys/816d6426-246b-4d6d-b66e-d32de8d44de2_external_file_0.avi	sub-grabAM05/sub-grabAM05_ses-11232019-airpuffs_behavior+image+ophys.nwb	sub-grabAM05/sub-grabAM05_ses-11232019-airpuffs_behavior+image+ophys/18ba3e11-eb72-40e9-a256-5fb7a07f1128_external_file_0.avi	sub-grabAM05/sub-grabAM05_ses-11252019-vis-stim_behavior+image+ophys.nwb	sub-grabAM05/sub-grabAM05_ses-11252019-vis-stim_behavior+image+ophys/3c2c66b8-09cd-43c8-b6b7-70eed92c183a_external_file_0.avi	sub-grabAM05/sub-grabAM05_ses-11262019-airpuffs_behavior+image+ophys.nwb	sub-grabAM05/sub-grabAM05_ses-11262019-airpuffs_behavior+image+ophys/f50d1e93-4f52-4246-9e5a-818377078a1e_external_file_0.avi	sub-grabAM06/sub-grabAM06_ses-11222019-spont_behavior+image+ophys.nwb	sub-grabAM06/sub-grabAM06_ses-11222019-spont_behavior+image+ophys/5f0a5c4b-2363-4116-a1c8-9ec57e12a71e_external_file_0.avi	sub-grabAM06/sub-grabAM06_ses-11222019-vis-stim_behavior+image+ophys.nwb	sub-grabAM06/sub-grabAM06_ses-11222019-vis-stim_behavior+image+ophys/9c75c66d-e149-4734-979e-bf4049e91b39_external_file_0.avi	sub-grabAM06/sub-grabAM06_ses-11242019-airpuffs_behavior+image+ophys.nwb	sub-grabAM06/sub-grabAM06_ses-11242019-airpuffs_behavior+image+ophys/b5f31764-0d2d-45cd-a71b-4fbe323f81c7_external_file_0.avi	sub-grabAM06/sub-grabAM06_ses-11252019-vis-stim_behavior+image+ophys.nwb	sub-grabAM06/sub-grabAM06_ses-11252019-vis-stim_behavior+image+ophys/d6c78153-4b0a-4d6a-b8bc-7b663d015509_external_file_0.avi	sub-grabAM07/sub-grabAM07_ses-11232019-spont_behavior+image+ophys.nwb	sub-grabAM07/sub-grabAM07_ses-11232019-spont_behavior+image+ophys/09c23bd5-1f62-4f10-ba5f-d53b64827c68_external_file_0.avi	sub-grabAM07/sub-grabAM07_ses-11232019-vis-stim_behavior+image+ophys.nwb	sub-grabAM07/sub-grabAM07_ses-11232019-vis-stim_behavior+image+ophys/bba2f1e1-4545-4059-a69d-6d4b01bc88b4_external_file_0.avi	sub-grabAM07/sub-grabAM07_ses-11242019-airpuffs_behavior+image+ophys.nwb	sub-grabAM07/sub-grabAM07_ses-11242019-airpuffs_behavior+image+ophys/48309f84-db1a-4618-8d79-f00bd89099ec_external_file_0.avi	sub-grabAM07/sub-grabAM07_ses-11262019-airpuffs_behavior+image+ophys.nwb	sub-grabAM07/sub-grabAM07_ses-11262019-airpuffs_behavior+image+ophys/ab63e85c-19c5-4e7e-9aa3-7e92ffebdceb_external_file_0.avi	sub-grabAM08/sub-grabAM08_ses-11232019-spont_behavior+image+ophys.nwb	sub-grabAM08/sub-grabAM08_ses-11232019-spont_behavior+image+ophys/92fc1308-4b87-47c5-ba17-0186e5d717d3_external_file_0.avi	sub-grabAM08/sub-grabAM08_ses-11232019-vis-stim_behavior+image+ophys.nwb	sub-grabAM08/sub-grabAM08_ses-11232019-vis-stim_behavior+image+ophys/3fd26502-7f10-4485-8278-529455e50d52_external_file_0.avi	sub-grabAM08/sub-grabAM08_ses-11242019-airpuffs_behavior+image+ophys.nwb	sub-grabAM08/sub-grabAM08_ses-11242019-airpuffs_behavior+image+ophys/ae5c989f-dbc1-469b-99c8-fe63eb716749_external_file_0.avi
2024-08-26	36844919439	254088496	42628004197	300723460	52696348684	366303916	41931965814	301582448	51104108395	355616572	32520409341	223913094	43081283969	302055462	50266308419	348496200	42862693571	303551426	30878271916	0	42684549876	300840886	0	345376862	0	394027190	0	224204688	0	303449320	0	314039856
2024-09-02	0	0	0	0	0	0	17686820997	0	0	0	0	0	0	0	0	0	0	0	0	214935142	0	0	49512029895	0	56258787244	0	32461776859	0	43383585071	0	46292435265	0
2024-11-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28531692	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-31	35603061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-07-28	0	0	42628004197	0	52696348684	0	0	301582448	51104108395	355616572	0	0	0	302055462	0	0	0	0	30878271916	0	0	300840886	0	0	0	394027190	0	0	0	0	0	0
2025-08-04	55778566089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	348496200	42887717627	0	0	214935142	0	0	49512029895	0	56258787244	0	0	224204688	68560242183	0	21768192852	0
2025-08-11	0	0	0	0	0	0	41840023995	0	0	0	32520409341	0	43081283969	0	50266308419	0	0	303551426	0	0	0	0	0	0	0	0	32461776859	0	0	0	0	314039856
2025-08-18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	303449320	0	0
2025-08-25	0	0	0	0	0	0	0	301582448	0	0	0	0	0	302055462	50266308419	348496200	0	0	0	0	0	0	0	0	0	0	0	224204688	43383585071	0	0	0
2025-09-01	36686601221	254088496	0	300723460	0	0	64786628707	0	0	0	32520409341	0	0	0	0	0	0	303551426	0	0	0	0	0	0	56258787244	0	32461776859	0	0	0	46344838977	314039856
2025-09-08	0	0	0	0	52696348684	366303916	0	0	0	0	0	223913094	0	0	0	0	0	0	0	0	42684549876	300840886	0	345376862	0	0	0	0	0	0	0	0
2026-01-19	73233370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-01-26	36733247451	254088496	10924449	0	52705386592	0	41849269394	301582448	10340207	0	8128797	223913094	8270241	302055462	9566303	348496200	10274299	0	9306824	0	8225640	300840886	8492775	345376862	56269465576	0	32469469254	0	43440559192	0	35724681581	0
2026-02-02	0	0	0	0	0	366303916	0	0	0	0	32520409341	0	43081283969	0	50266308419	0	0	0	0	214935142	42684549876	0	49512029895	0	0	394027190	0	224204688	0	0	46292435265	314039856
2026-02-09	0	0	42628004197	300723460	0	0	0	0	51104108395	355616572	0	0	0	0	0	0	42862693571	0	31056529836	0	0	0	0	0	0	0	0	0	0	303449320	0	0
2026-02-16	36939838	163840	9400748	163840	18363416	163840	23383846	32768	10694356	32768	32504698	0	10432324	0	7492635	0	7041631	303551426	11873500	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-02-23	41215312	0	9482808	0	18477804	0	18921521	0	16821067	355616572	43642901	0	0	0	0	0	0	0	7095012	0	0	0	0	0	0	0	7868663	0	0	0	0	0
2026-03-02	114352997	65536	9052801	65536	0	65536	0	0	0	0	0	0	7062173	0	9119671	0	9229623	0	0	0	9335712	0	8652715	0	7221448	0	0	0	0	0	8526149	0
2026-03-09	0	30897352	0	32382620	0	30829012	0	32842136	0	32764940	0	33580208	0	32644748	0	32483324	0	31402912	0	29891376	0	32905692	0	33204136	0	29056228	0	31877192	8643091	32516196	0	32144268
2026-03-16	37444689641	340667648	19995650712	330944316	52743168984	393595496	41873600927	25767272	51154152923	391067340	32626629409	23229944	43130473309	24980312	41491697448	33465944	42924752147	29110132	13036367136	43320516	13127418676	32185104	5686275576	29797720	4203198752	54211300	0	27881204	0	27996144	0	30637584
