week_start	Neurophysiology	Video
2024-08-26	467498863621	4638269876
2024-09-02	245595435331	214935142
2024-11-11	28531692	0
2025-03-31	35603061	0
2025-07-28	177306733192	1654122558
2025-08-04	294765535890	787636030
2025-08-11	200169802583	617591282
2025-08-18	0	303449320
2025-08-25	93649893490	1176338798
2025-09-01	269059042349	1172403238
2025-09-08	95380898560	1236434758
2026-01-19	73233370	0
2026-01-26	299275608575	2076353448
2026-02-02	264357016765	1513510792
2026-02-09	167651335999	959789352
2026-02-16	168126992	304108482
2026-02-23	163525088	355616572
2026-03-02	182553289	196608
2026-03-09	8643091	511422340
2026-03-16	399438075640	1838857976
2026-03-23	340037788542	4853205018
2026-03-30	42629906241	0
2026-04-06	613798584	0
2026-04-13	5533324	0
2026-04-20	220537685	329035794
2026-04-27	224967398412	1578314892
2026-05-04	695202730691	5114648666
2026-05-11	142268083212	849389644
2026-05-18	152191368665	491623898
2026-05-25	7044409216	0
2026-06-01	7134620233	22671334
2026-06-08	7024108145	27513360
2026-06-15	28733227804	67211208
2026-06-22	200713008	5240640
2026-06-29	185593892	608962332
2026-07-06	137357433613	3930480
2026-07-13	291060598	367801060
