week_start	Video
2025-09-22	9583692216
2025-09-29	12976712366
2025-10-06	5099527850
2025-10-13	6083546250
2025-10-20	5873673906
2025-11-03	5887692618
2025-12-01	5873673906
2025-12-08	8909088
2025-12-15	8316855578
2025-12-22	111602829
2026-01-05	311546712
2026-01-12	7898957082
2026-01-19	1408582163
2026-02-02	1731479738
2026-02-09	5873673906
2026-02-16	10780672
2026-03-02	6488064
2026-03-09	545463754
2026-03-16	1576275713
2026-04-13	5873673906
2026-04-20	84767352
2026-04-27	2767329476
2026-05-04	330538667
2026-05-18	159947733
2026-05-25	5873673906
2026-06-22	5885203314
