week_start	Microscopy	Miscellaneous
2025-03-03	881170890	7034
2025-05-26	288680	250
2025-06-02	0	12288
2025-06-09	0	333
2025-06-23	288742	0
2025-07-21	288742	250
2025-07-28	164409442	1031
2025-08-04	205157678	5837
2025-08-11	206785031	0
2025-08-18	237079159	0
2025-08-25	114927082	614
2025-09-01	50419735	84
2025-09-08	110536351	0
2025-10-06	881170890	13112
2025-12-08	288742	250
2025-12-15	1247370285	45747
2025-12-22	26641254	0
2025-12-29	1159706919	15110
2026-01-05	55851950	6170
2026-01-12	921985347	22104
2026-01-19	217774287	84
2026-01-26	338066933	614
2026-02-02	102300635	0
2026-02-09	0	334
2026-03-16	146086798	500
2026-03-23	0	333
2026-03-30	777087	7451
2026-04-06	111642328	20991
2026-04-13	777087	16821
2026-04-20	192731697	3747
2026-04-27	82865520	0
2026-05-11	107719578	614
2026-05-18	305487392	3081
2026-05-25	245817410	1332
2026-06-01	5163044	7898
2026-06-08	22995842	10812
2026-06-15	91403594	1530
2026-06-22	69304891	500
2026-06-29	27885299	864
2026-07-06	109597633	833
2026-07-13	61003068	0
2026-07-20	106235229	0
2026-08-03	0	14184
