	date	bytes_sent
0	2023-05-23	174968
1	2023-05-25	367320
2	2023-05-26	416272
3	2023-05-27	75472
4	2023-05-28	119624
5	2023-05-29	118904
6	2023-05-30	44056
7	2023-05-31	154168
8	2023-06-03	43872
9	2023-06-04	87664
10	2023-06-05	78696
11	2023-06-06	215832
12	2023-06-07	122128
13	2023-06-08	43872
14	2023-06-10	87760
15	2023-06-12	43608
16	2023-06-14	122568
17	2023-06-15	241472
18	2023-06-17	207552
19	2023-06-18	171496
20	2023-06-19	43872
21	2023-06-20	250912
22	2023-06-21	206760
23	2023-06-22	171680
24	2023-06-23	87760
25	2023-06-24	413872
26	2023-06-25	198375648
27	2023-06-26	112282500
28	2023-06-27	163400
29	2023-06-28	216008
30	2023-06-29	44056
31	2023-06-30	159664
32	2023-07-01	26347496
33	2023-07-03	242096
34	2023-07-04	209792
35	2023-07-05	250984
36	2023-07-06	154168
37	2023-07-07	122568
38	2023-07-08	206944
39	2023-07-09	162776
40	2023-07-10	197776
41	2023-07-11	216008
42	2023-07-12	78696
43	2023-07-13	43608
44	2023-07-14	118904
45	2023-07-15	43872
46	2023-07-16	78696
47	2023-07-17	122568
48	2023-07-18	171496
49	2023-07-19	154168
50	2023-07-20	171952
51	2023-07-21	210224
52	2023-07-22	122752
53	2023-07-23	303312
54	2023-07-24	43872
55	2023-07-25	88816
56	2023-07-26	215832
57	2023-07-27	122752
58	2023-07-28	162888
59	2023-07-29	206760
60	2023-07-30	84192
61	2023-07-31	242376
62	2023-08-01	172120
63	2023-08-02	210056
64	2023-08-04	122568
65	2023-08-06	87040
66	2023-08-07	166624
67	2023-08-08	335352
68	2023-08-09	197600
69	2023-08-10	88208
70	2023-08-11	291480
71	2023-08-12	122128
72	2023-08-13	291480
73	2023-08-14	122848
74	2023-08-15	171680
75	2023-08-16	43432
76	2023-08-17	122128
77	2023-08-18	87928
78	2023-08-19	175512
79	2023-08-20	44056
80	2023-08-21	18467344
81	2023-08-22	198320
82	2023-08-23	84192
83	2023-08-24	241656
84	2023-08-26	128064
85	2023-08-27	146448
86	2023-08-28	43872
87	2023-08-29	78696
88	2023-08-30	131192
89	2023-08-31	119528
90	2023-09-01	75472
91	2023-09-02	172400
92	2023-09-03	625584
93	2023-09-04	75472
94	2023-09-06	43608
95	2023-09-07	122128
96	2023-09-09	75472
97	2023-09-10	88024
98	2023-09-12	128248
99	2023-09-13	119080
100	2023-09-14	118904
101	2023-09-15	206944
102	2023-09-16	162888
103	2023-09-17	166624
104	2023-09-18	43872
105	2023-09-19	87760
106	2023-09-21	241472
107	2023-09-22	131536
108	2023-09-24	166176
109	2023-09-25	162512
110	2023-09-26	128248
111	2023-09-27	171952
112	2023-09-28	88208
113	2023-09-29	203992
114	2023-09-30	210328
115	2023-10-01	215728
116	2023-10-02	44056
117	2023-10-03	206832
118	2023-10-05	118904
119	2023-10-08	119528
120	2023-10-20	78696
121	2023-10-25	18295752
122	2023-10-30	128248
123	2023-11-01	44259120
124	2023-11-02	18295752
125	2023-11-03	18295752
126	2023-11-04	293800
127	2023-11-05	19679923
128	2023-11-21	211367560
129	2023-11-24	204800
130	2023-11-25	44152
131	2023-11-27	43432
132	2023-11-28	84192
133	2023-12-04	334384
134	2023-12-05	122752
135	2023-12-11	18295752
136	2023-12-14	18295752
137	2024-01-22	13256524
138	2024-01-24	18295752
139	2024-03-08	5242880
140	2024-03-12	26307812
141	2024-03-18	2161764
142	2024-03-21	6633516
143	2024-03-25	4323528
144	2024-03-27	6633516
145	2024-04-19	2161764
146	2024-05-28	18295752
147	2024-07-13	6354276
148	2024-08-30	10874328
149	2024-09-13	33915736
150	2024-09-20	4402120
151	2024-09-26	62697248
152	2024-11-22	33253860
153	2025-03-12	375752
154	2025-04-28	17883684
