region	bytes_sent
GitHub	340995240
US/Connecticut	340387504
AWS/us-east-2	776231788
VPN	91619379
IT/Lombardy	164661768
AWS/us-east-1	429089352
AWS/ap-southeast-1	12905076
US/New Hampshire	109774512
US/New Jersey	162645119
US/Maryland	805944664
IT/Emilia-Romagna	18295752
US/Massachusetts	36591504
NO/Oslo	245220144
CA/Quebec	73183008
US/Rhode Island	67940128
US/New York	18295752
HK/Hong Kong	34279704
US/California	128070264
US/Texas	18295752
GB/England	18295752
US/Pennsylvania	18295752
GCP/us-west1	18295752
GCP/us-central1	54887256
US/Georgia	18295752
FR/Auvergne-Rhône-Alpes	18295752
GE/Tbilisi	18295752
IT/Sardinia	18295752
