region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
CHN	392194982	41	41	0
VPN	1636079488	1016	188	70
GitHub	801282885	3453	206	164
BRA/SP	26809349	3	3	0
USA/NC	136640190	20	20	0
USA/MA	593522199	115	0	51
AWS/ap-southeast-1	64688322	18	18	0
IND/MP	9511347	1	1	0
USA	28742233	3	3	0
MEX/CMX	91043816	304	53	51
GCP/us-central1	48056856	5	5	0
USA/CA	9926482	17	4	4
CHN/SH	19165920	2	2	0
HKG	9498660	2	2	0
VNM/52	2358288	1	1	0
BGD/C	9628253	1	1	0
BGD	11020157	2	2	0
VNM/DN	9660903	1	1	0
USA/IL	13667035	30	2	2
ARE/DU	9563893	1	1	0
MYS/10	1113636	1	1	0
VNM/21	2096256	1	1	0
PAK/PB	2292780	1	1	0
JPN/13	7168979	17	1	1
CHN/BJ	1231179	4	1	1
FRA/IDF	12013053	12	3	3
AWS/us-west-2	24909654	70	6	2
USA/WA	5855040	8	2	2
USA/MD	1	1	0	1
SGP	3995988	1	1	0
CIV/AB	9544780	1	1	0
VNM/SG	9544780	1	1	0
VNM/06	917112	1	1	0
EST/37	9048627	1	1	0
CHE/VD	2448624	8	2	1
RUS/SVE	5830212	1	1	0
LBN/JA	3013368	1	1	0
TUN/12	3340908	1	1	0
