week_start	sub-0001/sub-0001.nwb
2024-07-01	330485618
2024-07-08	112326703
2024-07-22	396619982
2024-07-29	10677804
2024-08-26	41023591
2024-09-16	113636863
2024-09-23	41023591
2024-09-30	12708552
2024-10-07	198309991
2024-10-21	10088232
2024-10-28	41023591
2025-01-20	198309991
2025-01-27	198309991
2025-02-24	4127004
2025-05-26	198309991
2025-08-04	198309991
2025-08-11	198309991
2025-08-25	198309991
2025-09-22	242619483
2025-10-06	238736282
2025-12-15	408345914
2026-01-19	396619982
2026-01-26	198309991
2026-02-16	14035264
2026-02-23	198309991
2026-03-02	6955395
2026-03-23	6428060
2026-04-06	40386032
2026-04-27	4397312
2026-05-11	209675979
2026-05-18	211968759
2026-05-25	5290296
2026-06-01	10559035
2026-06-08	9241816
