region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
GitHub	429057827	1068	53	51
CHN	198309991	38	0	1
USA/MA	927521686	139	0	4
USA/CA	404403370	9	4	2
VPN	666022284	505	9	7
AWS/us-east-1	274052822	38	6	2
MEX/CMX	14824631	35	6	6
USA/DC	7664436	1	1	0
USA/TX	594929973	3	3	0
CHE/VD	200963415	11	3	1
CHN/SH	198309991	1	1	0
GCP/us-central1	396619982	2	2	0
USA/NC	198309991	1	1	0
AWS/us-east-2	41023591	8	0	1
USA/MD	4266296	3	1	1
PRT/11	198309991	1	1	0
TUR/34	242619483	4	1	1
ITA/45	41023591	8	0	1
USA/IL	37184416	12	2	1
EST/37	198309991	1	1	0
FRA/IDF	7185023	26	4	4
AWS/us-west-2	396619982	2	2	0
USA/NY	198309991	1	1	0
KOR/29	198309991	1	1	0
CAN/BC	1875604	11	1	1
