region	bytes_sent
GitHub	10086588907
US/Maryland	2889205758
NL/North Holland	1182498521
US/California	976909150
AWS/us-east-2	776453510
AWS/us-east-1	723495995
CA/Quebec	493582199
US/New Mexico	476091831
CA/Ontario	476091831
GB/England	429576914
PT/Lisbon	76176928
CN/Shanghai	65628516
GCP/us-central1	42509448
US/Rhode Island	41985344
AWS/ap-southeast-1	29664708
IN/Maharashtra	21500695
VN/Ho Chi Minh	18225411
VN/Kiên Giang Province	18225411
HK/Hong Kong	12582549
CA/British Columbia	12582549
VPN	12582549
