region	bytes_sent
VPN	1114041125
GitHub	5770340685
US/Nevada	96227800
US/California	607332378
US/New Hampshire	7662080326
AWS/us-east-1	2549443928
CN/Shaanxi	29359765
HK/Hong Kong	20971157
CN/Shanghai	432877386
US/Virginia	147930798
CA/Quebec	368789678
CA/Ontario	476091831
AWS/us-east-2	383615453
NO/Oslo	249994250
NL/Flevoland	772987012
AWS/ap-southeast-1	51299372
US/Massachusetts	292290106
US/New Mexico	213529753
GB/England	297352052
VN/Ho Chi Minh City (HCMC)	36450822
PT/Lisbon	48799540
IN/Maharashtra	9151977
GCP/us-central1	56503725
NL/North Holland	13994277
US/Indiana	1140990227
US/Oregon	17490368
US/Rhode Island	17490368
JP/Okayama	10087328
