week_start	sub-20220512001/sub-20220512001_ses-20220512T161621_slice-20220512001_cell-20220512001_icephys.nwb	sub-20220512002/sub-20220512002_ses-20220512T172916_slice-20220512002_cell-20220512002_icephys.nwb	sub-20220617001/sub-20220617001_ses-20220617T155702_slice-20220617001_cell-20220617001_icephys.nwb	sub-20220622001/sub-20220622001_ses-20220622T152433_slice-20220622001_cell-20220622001_icephys.nwb	sub-20220622002/sub-20220622002_ses-20220622T163012_slice-20220622002_cell-20220622002_icephys.nwb	sub-20220622003/sub-20220622003_ses-20220622T172100_slice-20220622003_cell-20220622003_icephys.nwb	sub-20220622004/sub-20220622004_ses-20220622T180136_slice-20220622004_cell-20220622004_icephys.nwb	sub-20220623001/sub-20220623001_ses-20220623T170843_slice-20220623001_cell-20220623001_icephys.nwb	sub-20220623002/sub-20220623002_ses-20220623T172359_slice-20220623002_cell-20220623002_icephys.nwb	sub-20220623003/sub-20220623003_ses-20220623T174115_slice-20220623003_cell-20220623003_icephys.nwb	sub-20220623004/sub-20220623004_ses-20220623T194430_slice-20220623004_cell-20220623004_icephys.nwb	sub-20220623005/sub-20220623005_ses-20220623T204103_slice-20220623005_cell-20220623005_icephys.nwb	sub-20220623006/sub-20220623006_ses-20220623T214147_slice-20220623006_cell-20220623006_icephys.nwb	sub-20220623007/sub-20220623007_ses-20220623T215801_slice-20220623007_cell-20220623007_icephys.nwb	sub-20220624001/sub-20220624001_ses-20220624T154833_slice-20220624001_cell-20220624001_icephys.nwb	sub-20220624002/sub-20220624002_ses-20220624T161735_slice-20220624002_cell-20220624002_icephys.nwb	sub-20220624003/sub-20220624003_ses-20220624T174213_slice-20220624003_cell-20220624003_icephys.nwb	sub-20220624004/sub-20220624004_ses-20220624T182406_slice-20220624004_cell-20220624004_icephys.nwb	sub-20220624005/sub-20220624005_ses-20220624T191954_slice-20220624005_cell-20220624005_icephys.nwb	sub-20220701001/sub-20220701001_ses-20220701T171042_slice-20220701001_cell-20220701001_icephys.nwb	sub-20220701002/sub-20220701002_ses-20220701T172558_slice-20220701002_cell-20220701002_icephys.nwb	sub-20220701003/sub-20220701003_ses-20220701T174937_slice-20220701003_cell-20220701003_icephys.nwb	sub-20220701004/sub-20220701004_ses-20220701T180834_slice-20220701004_cell-20220701004_icephys.nwb	sub-20220701005/sub-20220701005_ses-20220701T190224_slice-20220701005_cell-20220701005_icephys.nwb	sub-20220701006/sub-20220701006_ses-20220701T191236_slice-20220701006_cell-20220701006_icephys.nwb	sub-20220701007/sub-20220701007_ses-20220701T193930_slice-20220701007_cell-20220701007_icephys.nwb
2023-08-21	10998688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-08-28	13677048	37046154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27455931	0	0	0
2023-09-04	12157376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-09-11	10820120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-09-18	10637704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-09-25	10637704	12348718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9151977	0	0	0
2023-10-02	7780968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-10-16	0	0	0	0	0	0	0	0	0	0	0	0	12582549	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-10-23	0	24697436	0	0	0	0	0	0	12643401	0	0	0	0	0	0	0	0	0	0	0	0	0	18303954	0	0	0
2023-10-30	3039344	12348718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31250589	0	0	0	0	18303954	0	0	0
2023-11-06	1519672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-11-13	1438424461	12348718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9151977	0	0	0
2023-11-20	1481584865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-11-27	20529712	12348718	24303284	21095869	13994277	32109395	9073434	25240426	12643401	12657031	21254724	12570798	12582549	12738683	24398531	33783463	12994949	31250589	24748260	24871226	12651977	24678419	9151977	12417846	12521770	12519867
2023-12-04	42761528	12348718	24303284	21095869	13994277	32109395	9073434	25240426	12643401	12657031	116154428	12570798	12582549	12738683	24398531	33783463	12994949	31250589	24748260	24871226	12651977	24678419	9151977	12417846	12521770	12519867
2023-12-11	0	12348718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9151977	0	0	0
2024-01-01	0	24697436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18303954	0	0	0
2024-01-22	48429020	53595314	47224752	37990862	42491667	53848950	39430934	46426792	31078694	20059202	42136640	22558420	31541062	25986546	46649206	56161326	25048698	59824542	46009968	40541100	22221720	41662946	28956995	27823172	31588268	28137110
2024-03-04	59475712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-03-11	162231784	31035588	185127232	174078451	40243043	173903837	26767362	139765544	28397121	26154343	168114864	24848906	39660296	35738791	162565185	111049533	33827848	158855003	173334368	172416850	47041431	171400193	30298317	37686665	39992238	25463371
2024-03-18	85281652	41037876	97188168	97712736	47345523	112691292	41965970	100151148	40193043	40565753	96026504	39412206	46199463	43168797	93194980	113415904	49543187	123208876	98972476	101766380	36378255	100287980	38264735	37737410	45891894	38206185
2024-03-25	55326956	34202384	69206396	67023315	46283699	85003597	42695974	70533420	41719415	36119365	62804460	38018562	45071275	37063309	64643301	89853461	43835883	94390855	70408596	71939930	32927327	67753233	34150167	41254702	46356442	39268009
2024-04-01	18536512	13148380	20170904	22142013	15450021	28964635	14215578	25888828	15225545	14310079	22358792	11279210	14959893	14685383	21904207	30836007	17067429	32171501	23336804	27676738	12391541	23712599	12143721	14097302	14899114	12337211
