week_start	sub-01/sub-01_ses-20140827T193800_behavior+ecephys.nwb	sub-02/sub-02_ses-20171011T152100_behavior+ecephys.nwb	sub-03/sub-03_ses-20170113T105000_behavior+ecephys.nwb	sub-03/sub-03_ses-20170113T111800_behavior+ecephys.nwb	sub-04/sub-04_ses-20170118T161000_behavior+ecephys.nwb	sub-05/sub-05_ses-20180704T132100_behavior+ecephys.nwb	sub-06/sub-06_ses-20171027T113600_behavior+ecephys.nwb	sub-07/sub-07_ses-20181027T183600_behavior+ecephys.nwb	sub-08/sub-08_ses-20190116T110300_behavior+ecephys.nwb	sub-08/sub-08_ses-20190116T125000_behavior+ecephys.nwb	sub-09/sub-09_ses-20150305T112000_behavior+ecephys.nwb	sub-10/sub-10_ses-20160303T114400_behavior+ecephys.nwb	sub-11/sub-11_ses-20190515T195800_behavior+ecephys.nwb	sub-12/sub-12_ses-20161217T103800_obj-16z48k1_behavior+ecephys.nwb	sub-12/sub-12_ses-20161217T103800_obj-1h9ryn9_behavior+ecephys.nwb	sub-12/sub-12_ses-20161217T103800_obj-cpvbt2_behavior+ecephys.nwb	sub-12/sub-12_ses-20161217T103800_obj-p4v231_behavior+ecephys.nwb	sub-13/sub-13_ses-20160213T110700_behavior+ecephys.nwb
2024-09-30	921600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-10-14	0	0	0	0	0	0	0	0	0	0	0	7860960	0	0	0	0	0	0
2024-10-21	58745864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-10-28	4978608	1638160	10153740	0	4978608	7402404	242269316	9891708	0	0	10022724	0	539976	0	0	0	0	0
2024-11-18	9644900	1638160	0	4259446	0	8122992	2663526	4153533	7134814	6223260	5364735	11510064	2159904	1437312	5442869	0	0	0
2024-11-25	0	0	0	0	17097588	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-01-13	0	819080	2631181707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-02-10	13887696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14673792	24172452
2025-02-24	50856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-10	0	0	4061496	0	0	0	484454	0	0	0	0	0	0	0	0	0	0	0
2025-03-24	3683465460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-31	3765248116	819080	2631181707	0	0	0	0	3320127551	3267487266	3359122189	0	2571523530	539976	1437312	1378796252	718656	12327974314	0
2025-04-14	0	0	5262363414	1332434	8355720850	1480170264	0	3320127551	0	0	0	0	0	0	0	0	5477766169	0
2025-05-12	0	0	0	0	0	0	13429140	0	0	0	0	0	0	0	0	0	0	0
2025-06-23	0	0	0	0	0	0	0	0	0	0	0	13560	0	0	0	0	0	0
2025-06-30	3683465460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-07-14	0	0	0	0	0	0	0	0	0	0	0	25321	0	0	0	0	0	0
2025-07-28	20971520	0	0	0	0	0	0	16639032	1534519420	0	534569699	684086730	0	0	0	0	0	0
2025-08-04	37736	0	0	0	4266274450	0	0	0	0	0	0	0	539976	4311936	0	0	2778726400	0
2025-08-11	2254438400	819080	1993647499	0	6164815696	1577093332	723477120	2951283663	2442689182	1602804740	1335352431	1346786762	0	718656	8368816389	0	2404842645	866996984
2025-08-18	0	0	1110746507	0	0	0	0	0	0	0	0	0	0	718656	0	0	0	1984957118
2025-08-25	0	0	0	0	0	484023064	0	0	2848056866	0	0	0	0	0	0	0	0	0
2025-09-01	2515910296	819080	848602507	0	0	0	1468006400	1887436800	0	1681400589	0	0	0	0	0	0	0	0
2025-10-06	0	0	0	0	0	0	0	0	0	0	0	0	0	2874624	0	0	0	0
