region	bytes_sent
US/California	5968639467209
NL/North Holland	2466598707654
AWS/us-east-1	2049834032834
US/Georgia	1967021858259
US/Massachusetts	948170154933
CN/Shanghai	559292025547
GB/Scotland	520496955504
DE/Baden-Wurttemberg	434327328219
VPN	256016112376
HK/Hong Kong	166708537985
CA/British Columbia	132951300751
US/New York	103426906645
AWS/us-east-2	88988628878
GCP/us-west1	86114874408
VN/Ho Chi Minh	64401200816
CN/Beijing	34442551692
US/District of Columbia	31642011393
DE/North Rhine-Westphalia	22411486068
ES/Catalonia	16819159040
GCP/asia-east1	15932111783
IN/Uttarakhand	12608296388
GitHub	10588498447
CA/Quebec	6059398505
GCP/us-central1	3640720252
US/Indiana	2916610850
US/Maryland	2490531202
US/Virginia	555466349
US/Rhode Island	548910580
US/Pennsylvania	218630072
AWS/ap-southeast-1	186350112
TW/Taiwan	115752720
US/Connecticut	67108864
AR/Buenos Aires F.D.	21833756
GCP/us-west3	12353297
GB/England	10485776
CN/Zhejiang	9425296
