week_start	sub-mk355/sub-mk355_ses-mk355-07-27-2025/sub-mk355_ses-mk355-07-27-2025_desc-chunks-14-224-279-14-bug-interleaved_ophys.nwb.zarr	sub-mk355/sub-mk355_ses-mk355-07-27-2025/sub-mk355_ses-mk355-07-27-2025_desc-chunks-14-224-279-14_ophys.nwb.zarr	sub-mk355/sub-mk355_ses-mk355-07-27-2025/sub-mk355_ses-mk355-07-27-2025_desc-full-dataset_ophys.nwb.zarr	sub-mk355/sub-mk355_ses-mk355-07-27-2025/sub-mk355_ses-mk355-07-27-2025_desc-v2-bug-interleaved_ophys.nwb.zarr	sub-mk355/sub-mk355_ses-mk355-07-27-2025/sub-mk355_ses-mk355-07-27-2025_desc-v2_ophys.nwb.zarr
2025-08-04	0	17882601054	1278047017	0	7019353228
2025-08-25	0	4056286314	0	0	0
2025-09-01	0	0	0	0	6101848301
2025-10-06	4095937294	0	0	0	0
2025-10-13	508643231	659217463	1308901816	354977252	354977252
2025-10-20	0	0	304058467297	4559131764	0
2026-04-27	0	0	41008	0	0
2026-05-04	0	0	142147	0	0
2026-05-11	0	0	1175	0	0
2026-05-18	0	0	5855	0	0
2026-05-25	179	179	955	179	358
