week_start	sub-20161022-1/sub-20161022-1_ses-20161022T151003_ophys.nwb	sub-20161109-2/sub-20161109-2_ses-20161109T211950_ophys.nwb	sub-20161206-1/sub-20161206-1_ses-20161206T123501_ophys.nwb	sub-20161206-2/sub-20161206-2_ses-20161206T161111_ophys.nwb	sub-20170111-1/sub-20170111-1_ses-20170111T123355_ophys.nwb	sub-20170113-2/sub-20170113-2_ses-20170113T124907_ophys.nwb	sub-20170113-3/sub-20170113-3_ses-20170113T150834_ophys.nwb	sub-20170113-4/sub-20170113-4_ses-20170113T171241_ophys.nwb	sub-20170127-1/sub-20170127-1_ses-20170127T111652_ophys.nwb	sub-20170203-1/sub-20170203-1_ses-20170203T122038_ophys.nwb	sub-20170228-3/sub-20170228-3_ses-20170228T165730_ophys.nwb	sub-20170228-4/sub-20170228-4_ses-20170228T185002_ophys.nwb
2022-10-31	0	0	0	0	0	3609406530099	4668700232741	662967667076	0	0	0	0
2022-11-07	0	729219408168	0	0	0	3251047499495	4188750484086	1597611084706	0	0	0	510300446344
2022-11-14	0	0	0	0	0	7577844924	0	0	408152148041	462557285037	354016034816	0
2022-11-21	258394217289	0	292920196583	276415626510	283719036178	0	0	0	0	0	0	0
2022-11-28	67033929	0	113737191	0	0	0	3905381652	0	0	73400320	0	0
2022-12-05	50181778	98287106	49216462	55540252	45210148	91188978	26214400	0	0	115343360	0	0
2022-12-12	0	0	0	0	0	285175538	52428800	0	0	0	0	1138059776
2022-12-19	37095750068	28313381053	7837635396	31457280	7910438976	499397834	142718165	4549954930	7361114824	8923760429	23917257652	11610489461
2022-12-26	1181761629476	0	0	0	0	0	0	0	0	0	0	0
2023-01-02	264199208960	1591717608294	900928068873	850540249205	934215917396	562449307652	958879047906	103825801216	627568541696	468749129754	378010712574	868271437056
2023-01-09	49865309940	52428800	125036304	251658240	139518052	52428800	103596312	60325992	31457280	26214400	83423044	47185920
2023-01-16	0	0	0	0	0	0	0	57205768	0	0	0	0
2023-02-06	0	104405831619	15606727024	5238028824	0	0	511439376461	150645886572	0	0	0	0
2023-02-13	44694503424	0	0	0	0	0	402025946166	0	0	0	83393460881	0
2023-02-20	224934023436	34807449	284944528155	48441124	207655770697	221890683605	50591163616	48663903	1085209	76990735305	106071516	1540643440
2023-02-27	524288000	20562485065	215241419	0	89128960	0	0	41466564	1405091840	2139126909	1235923993	16656114040
2023-03-06	25085161	0	0	0	75033874	391637266	0	0	68157440	119540749	0	15388631532
2023-03-13	0	0	0	0	0	0	0	0	0	0	0	15538318373
2023-03-20	0	0	0	0	0	0	0	0	0	0	0	19616695859
2023-03-27	0	0	0	0	0	0	0	0	0	0	0	35900106631
2023-04-03	10485760	0	31457280	0	524288000	8909088	0	0	0	3455359029	0	14246385051
2023-04-10	236200974698	0	350521760140	0	0	282396802896	192789589517	263473176	0	401133212918	78643200	34842059802
2023-04-17	524288000	0	0	0	8319516	116454756	0	200061432	0	0	0	12441889598
2023-04-24	37782771	0	0	0	6419784	0	6354276	0	0	34850256	0	0
2023-05-01	16180476	0	0	45397044	10481280	9957216	0	234453132	0	0	0	3283415801
2023-05-08	75268692	0	67931796	8909088	0	168290052	301881172043	0	0	15852936	15728640	0
2023-05-15	26530740	0	6354276	0	0	150537384	32754000	58040088	0	0	43955868	5893031030
2023-05-22	0	19914432	0	11660424	10153740	1527896	0	0	9302136	3138382549	0	7560155587
2023-05-29	0	6354276	6354276	6354276	0	1732992	0	336907644	0	3257702886	7533420	25865586376
2023-06-05	0	0	22534752	10284756	6354276	1706248	58367628	0	6419784	180546220	0	13809656989
2023-06-12	11922456	0	0	267141624	0	277531024	0	450629532	11267376	0	0	7042945467
2023-06-19	394170551941	489414958	423126447041	404344338154	415564407736	334385626387	438948066804	427636839	610443399775	699681866574	543107109658	760525531
2023-06-26	10464125873	16195121327	7198260936	1073532727	1159597975	1824155659	1762012047	1596461543	1611883143	2478875426	2331091677	2340460020
2023-07-03	6419784	10350264	0	0	0	2384481755	21486624	79120748	0	12774060	19652400	14046454719
2023-07-10	1446634676	13602674	4431242	52459706	2271608	58796626	4971962	332878802	1339992	6488794	5067152	3592077902
2023-07-17	27840900	20971520	0	134094876	0	152000785	9957216	301865243953	6419784	0	6419784	18117488168
2023-07-24	10088232	6354276	81622968	16377000	62887680	1570360	81426444	200126940	0	6419784	0	3214578598
2023-07-31	22076196	22600260	55616292	85029384	32164428	22189248	28364964	10088232	4389036	56074848	14215236	2752248549
2023-08-07	0	0	6485292	10481280	56009340	8082328	0	16966572	0	6419784	10153740	7064211980
2023-08-14	19324860	0	8909088	0	0	19781308	6354276	174513312	0	9105612	0	3631717087
2023-08-21	0	0	0	83326176	6485292	1256968	0	127740600	32950524	0	9433152	6620055804
2023-08-28	0	0	0	16835556	10219248	2321728	10743312	0	0	0	0	6855696499
2023-09-04	199707734816	244282923558	177092783568	334336340650	274787241088	235355404484	250540711764	157931889300	179205290524	261210090650	255536425692	163041797960
2023-09-11	31911554813	69463621386	56362113360	0	64232098642	9819684089	49640649726	148310112	48531084964	81249825411	65984666084	88286409773
2023-09-18	9826200	322054394960	11241789291	0	10088232	1591968	0	0	151519991616	89851917367	34981272	50444000595
2023-09-25	0	0	422898125775	9236628	0	1669816	0	48649140	0	0	0	6920142071
2023-10-02	10153740	0	10546788	9040104	827522867	68234736	0	141038724	0	0	12970584	17721163144
2023-10-09	0	0	0	0	6354276	367184	0	98851572	0	0	16835556	210232401253
