asset_path	bytes_sent	number_of_requests	number_of_downloads	number_of_views
sub-mouse2/sub-mouse2_ses-20140120_behavior+ophys.nwb	6618928770	431	36	14
sub-mouse4/sub-mouse4_ses-20140319_behavior+ophys.nwb	3665101604	436	26	13
sub-mouse6/sub-mouse6_ses-20140311_behavior+ophys.nwb	5332350592	788	37	20
sub-mouse2/sub-mouse2_ses-20131220_behavior+ophys.nwb	5307735662	872	52	33
sub-mouse6/sub-mouse6_ses-20140324_behavior+ophys.nwb	3388604922	463	35	17
sub-mouse6/sub-mouse6_ses-20140315_behavior+ophys.nwb	5328409148	471	33	14
sub-mouse7/sub-mouse7_ses-20140414_behavior+ophys.nwb	4727333836	409	32	12
sub-mouse4/sub-mouse4_ses-20140311_behavior+ophys.nwb	5829854860	507	35	16
sub-mouse5/sub-mouse5_ses-20140313_behavior+ophys.nwb	4586614838	434	39	14
sub-mouse5/sub-mouse5_ses-20140318_behavior+ophys.nwb	5121259602	915	51	27
sub-mouse2/sub-mouse2_ses-20140117_behavior+ophys.nwb	3700546867	424	32	17
sub-mouse4/sub-mouse4_ses-20140315_behavior+ophys.nwb	5458672399	446	32	13
sub-mouse8/sub-mouse8_ses-20140319_behavior+ophys.nwb	3492171041	417	35	16
sub-mouse7/sub-mouse7_ses-20140328_behavior+ophys.nwb	3090286513	367	34	13
sub-mouse8/sub-mouse8_ses-20140402_behavior+ophys.nwb	2340619550	371	30	11
sub-mouse2/sub-mouse2_ses-20131226_behavior+ophys.nwb	2519553506	418	32	16
sub-mouse4/sub-mouse4_ses-20140302_behavior+ophys.nwb	5056175623	432	33	15
sub-mouse2/sub-mouse2_ses-20131227_behavior+ophys.nwb	4364645633	447	32	17
sub-mouse4/sub-mouse4_ses-20140304_behavior+ophys.nwb	3135050833	364	28	12
sub-mouse6/sub-mouse6_ses-20140320_behavior+ophys.nwb	3060917371	856	39	24
sub-mouse5/sub-mouse5_ses-20140319_behavior+ophys.nwb	3975079874	462	43	13
sub-mouse6/sub-mouse6_ses-20140314_behavior+ophys.nwb	3866629642	892	41	22
sub-mouse7/sub-mouse7_ses-20140411_behavior+ophys.nwb	3150901072	403	33	11
sub-mouse8/sub-mouse8_ses-20140414_behavior+ophys.nwb	2670189908	818	38	21
sub-mouse7/sub-mouse7_ses-20140407_behavior+ophys.nwb	4213283495	427	33	14
sub-mouse2/sub-mouse2_ses-20140119_behavior+ophys.nwb	2017952475	329	30	15
sub-mouse3/sub-mouse3_ses-20131227_behavior+ophys.nwb	3407411963	394	28	12
sub-mouse5/sub-mouse5_ses-20140226_behavior+ophys.nwb	3538782392	394	25	12
sub-mouse5/sub-mouse5_ses-20140225_behavior+ophys.nwb	4223240932	451	31	14
sub-mouse6/sub-mouse6_ses-20140321_behavior+ophys.nwb	2452157560	827	27	21
sub-mouse6/sub-mouse6_ses-20140308_behavior+ophys.nwb	4931913376	871	33	25
sub-mouse5/sub-mouse5_ses-20140312_behavior+ophys.nwb	4148400549	403	26	13
sub-mouse7/sub-mouse7_ses-20140406_behavior+ophys.nwb	2479386173	388	23	13
sub-mouse5/sub-mouse5_ses-20140307_behavior+ophys.nwb	3481483830	884	38	23
sub-mouse2/sub-mouse2_ses-20131219_behavior+ophys.nwb	6590987599	1139	28	23
sub-mouse8/sub-mouse8_ses-20140412_behavior+ophys.nwb	3155944152	484	24	14
sub-mouse6/sub-mouse6_ses-20140327_behavior+ophys.nwb	2971486166	387	16	11
sub-mouse8/sub-mouse8_ses-20140416_behavior+ophys.nwb	3193852502	462	23	13
sub-mouse5/sub-mouse5_ses-20140314_behavior+ophys.nwb	2772807173	403	28	15
sub-mouse7/sub-mouse7_ses-20140408_behavior+ophys.nwb	2070960555	436	21	13
sub-mouse5/sub-mouse5_ses-20140317_behavior+ophys.nwb	4715065908	400	26	12
sub-mouse8/sub-mouse8_ses-20140411_behavior+ophys.nwb	2805646696	416	26	12
sub-mouse4/sub-mouse4_ses-20140316_behavior+ophys.nwb	2916428449	488	26	18
