region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
CHN	56949621431	5057	4	96
USA/MD	1002768704	818	213	112
GCP/us-west1	639048991	2	2	0
USA/MA	80612435487	2783	96	122
USA	9899188932	1900	0	27
AWS/us-east-1	35910334183	4402	189	94
GH-actions	16727112552	26043	843	765
VPN	49749231979	3094	693	123
AWS/ap-southeast-1	792384768	155	155	0
USA/DC	701394156	94	94	0
GBR/ENG	34958198803	94	94	0
DEU/BW	20133040996	73	60	1
AWS/us-east-2	5025185648	14	14	0
AWS/ap-south-1	127441732	2	2	0
CAN/BC	8522536948	4409	17	95
AWS/us-west-2	423138615	72	7	2
USA/WA	1348526861	1374	2	50
DEU/HE	8480807239	25	25	0
MEX/CMX	174365611	645	77	54
USA/CA	389346653	12	4	3
CHN/SH	464003913	2	2	0
CHE/VD	9444228	32	3	2
FRA/IDF	54856431	168	14	13
BGD	33736620	8	8	0
IND/DL	1	1	0	1
VNM/HN	143986584	9	9	0
VNM/SG	23713912	3	2	1
NPL	8778072	1	1	0
VEN/T	1113636	1	1	0
DZA/13	2358288	1	1	0
OMN/MA	16573524	2	2	0
TUN/11	1113636	1	1	0
IDN/JK	13822188	1	1	0
unknown	917112	1	1	0
VNM/35	44348916	1	1	0
ECU/P	22862292	3	3	0
GCP/us-central1	342095120	1	1	0
VNM/DN	25155072	2	2	0
USA/NY	20897052	1	1	0
SGP	49405796	17	8	3
ARG/B	3733956	2	2	0
SYR	3406416	1	1	0
BRA/PR	14804808	1	1	0
DZA/14	1768716	1	1	0
VNM/56	6616308	1	1	0
VNM/61	8450532	1	1	0
USA/CT	470818640	27	6	1
MNG/1	10939836	1	1	0
PER/LMA	18407748	1	1	0
PAK/SD	2358288	1	1	0
BGD/C	30657744	4	4	0
ZAF/WC	8843580	1	1	0
NOR	1976327424	553	5	4
ITA/72	19521384	1	1	0
IDN/YO	7402404	3	3	0
ALB/11	29085552	2	2	0
MAR/06	6223260	1	1	0
MYS/10	1	1	0	1
BRA/MG	16639032	2	2	0
BRA/RS	7991976	1	1	0
VEN/D	4520052	1	1	0
ARG/F	7467912	1	1	0
IDN/JI	2358288	1	1	0
IND/MH	2030748	1	1	0
IRQ/DI	2030748	1	1	0
KAZ/79	9433152	1	1	0
IRQ	2947860	1	1	0
CHL/RM	1506684	1	1	0
ZAF/KZN	2030748	1	1	0
JOR/AM	12053472	1	1	0
BRA/SP	19717908	3	3	0
VNM/HP	15263364	2	2	0
BRA	17490636	1	1	0
COL/CAL	15132348	1	1	0
PRY/7	7729944	1	1	0
VNM/50	12381012	1	1	0
URY/MA	9629676	1	1	0
MAR/07	1703208	2	2	0
SUR/PM	4520052	1	1	0
EST/37	221822484	1	1	0
JPN/13	612495884	2	2	0
USA/GA	18700208	94	2	1
BRA/PA	13887696	1	1	0
USA/IL	248450418	31	3	2
EGY/SHG	917112	1	1	0
PSE/HBN	15066840	1	1	0
NIC/MN	2096256	1	1	0
MYS/13	917112	1	1	0
COL/MET	3340908	1	1	0
BRA/GO	19914432	1	1	0
ARG/X	7860960	1	1	0
PAK/PB	30068172	1	1	0
MYS/07	917112	1	1	0
EGY/GZ	4978608	1	1	0
VNM/21	11791440	1	1	0
USA/PA	29475007	17	1	1
BEL/BRU	12360	50	0	1
USA/IN	2097152	1	0	1
JPN	233046105	1	1	0
USA/NC	13232616	1	1	0
USA/VT	233046105	1	1	0
IRQ/AN	1441176	1	1	0
TWN/TPE	1113636	1	1	0
KOR/47	14542776	1	1	0
BRA/PI	8188500	1	1	0
CHN/LN	417738156	1	1	0
PRY/ASU	8516040	1	1	0
MYS/01	9171120	1	1	0
PAN/8	12839568	1	1	0
IRQ/BA	4651068	1	1	0
ARG/C	5371656	1	1	0
ZAF/GP	1048128	1	1	0
MAR/02	7074864	1	1	0
VNM/22	851604	1	1	0
BRA/DF	1	1	0	1
MAR/04	9629676	1	1	0
MAR/09	3668448	1	1	0
