week_start	sub-Finch-z-r12r13-21-held-in-calib/sub-Finch-z-r12r13-21-held-in-calib_ses-20210626.nwb	sub-Finch-z-r12r13-21-held-in-calib/sub-Finch-z-r12r13-21-held-in-calib_ses-20210627.nwb	sub-Finch-z-r12r13-21-held-in-calib/sub-Finch-z-r12r13-21-held-in-calib_ses-20210628.nwb	sub-Finch-z-r12r13-21-held-in-minival/sub-Finch-z-r12r13-21-held-in-minival_ses-20210626.nwb	sub-Finch-z-r12r13-21-held-in-minival/sub-Finch-z-r12r13-21-held-in-minival_ses-20210627.nwb	sub-Finch-z-r12r13-21-held-in-minival/sub-Finch-z-r12r13-21-held-in-minival_ses-20210628.nwb	sub-Finch-z-r12r13-21-held-out-calib/sub-Finch-z-r12r13-21-held-out-calib_ses-20210630.nwb	sub-Finch-z-r12r13-21-held-out-calib/sub-Finch-z-r12r13-21-held-out-calib_ses-20210701.nwb	sub-Finch-z-r12r13-21-held-out-calib/sub-Finch-z-r12r13-21-held-out-calib_ses-20210705.nwb
2024-06-03	469335688	1204032756	748009416	96713788	99596140	100054696	145191216	138509400	140867688
2024-06-10	224583316	607017216	163388824	40999840	40999840	40999840	61398004	61398004	61398004
2024-07-01	0	0	0	16180476	0	0	0	0	0
2024-07-08	8115584	10181956	6100800	87477160	5542988	8163308	4970080	7459384	6542272
2024-07-22	13953204	9957216	11463900	7402404	4389036	10088232	8974596	8843580	10088232
2024-07-29	0	0	0	0	0	0	0	0	61398004
2024-08-05	449166632	1183500536	326777648	81999680	81999680	81999680	122796008	122796008	122796008
2024-08-12	224583316	591750268	163388824	81999680	40999840	40999840	61398004	61398004	61398004
2024-08-19	1469730992	841015452	165108912	0	0	0	61398004	0	0
2024-08-26	224583316	591750268	165293000	50542400	40999840	40999840	61398004	61398004	61398004
2024-09-02	224583316	1183500536	163388824	0	0	0	0	0	0
2024-09-09	0	591750268	0	66797920	0	0	0	0	0
2024-09-16	7394996	12278212	7083420	1284968	5542988	6001544	7983448	8507512	5756176
2024-09-23	25353876	30762108	16588184	9542560	9542560	9542560	14212084	14212084	14212084
2024-09-30	0	591750268	0	0	0	0	0	0	0
2024-10-07	257205924	591750268	163388824	40999840	40999840	40999840	61398004	61398004	61398004
2024-10-14	449166632	1183500536	326777648	122999520	81999680	122999520	184194012	122796008	122796008
2024-10-21	231330640	603017644	173804596	55018552	53315344	52791280	73648000	70241584	71355220
2024-10-28	739990212	1638448420	194790372	21505332	21374316	25042764	28549808	28091252	28156760
2024-11-04	241484380	1771860640	179896840	21617640	15197856	17163096	0	0	0
2024-11-11	318091904	705538348	163388824	67006516	59145556	40999840	61398004	61398004	61398004
2024-11-18	0	0	0	12184488	0	0	0	0	0
2024-11-25	224583316	617560420	163388824	40999840	40999840	40999840	61398004	61398004	61398004
2024-12-02	898333264	1775250804	490166472	81999680	81999680	81999680	122796008	122796008	122796008
2024-12-09	449166632	1231972872	397092820	114610912	114610912	114610912	175805404	122796008	122796008
2024-12-16	224583316	591750268	163388824	0	0	0	0	0	0
2024-12-30	224583316	607585284	163388824	40999840	40999840	40999840	61398004	61398004	61398004
