date	bytes_sent	number_of_requests	number_of_downloads	number_of_views
2026-07-06	427430507	150	12	5
2026-07-07	175345	2	0	0
2026-07-09	350688	2	2	0
2026-07-12	350688	2	1	1
2026-07-16	350688	3	1	1
2026-07-19	350688	3	1	1
2026-07-27	555488	4	2	1
2026-08-07	277744	2	1	1
