week_start	sub-CC317/sub-CC317_ses-Recordings-from-animal-CC317-on-13-Sep-2022_obj-19x5bzm_icephys.nwb	sub-CC317/sub-CC317_ses-Recordings-from-animal-CC317-on-13-Sep-2022_obj-1bu4w31_icephys.nwb	sub-CC318/sub-CC318_ses-Recordings-from-animal-CC318-on-14-Sep-2022_icephys.nwb	sub-CC318/sub-CC318_ses-Recordings-from-animal-CC318-on-15-Sep-2022_obj-1mfd79q_icephys.nwb	sub-CC318/sub-CC318_ses-Recordings-from-animal-CC318-on-15-Sep-2022_obj-jmk5ra_icephys.nwb	sub-CC318/sub-CC318_ses-Recordings-from-animal-CC318-on-15-Sep-2022_obj-xdjcp9_icephys.nwb	sub-CC319/sub-CC319_ses-Recordings-from-animal-CC319-on-15-Sep-2022_icephys.nwb	sub-CC328/sub-CC328_ses-Recordings-from-animal-CC328-on-04-Oct-2022_obj-1ta2yam_icephys.nwb	sub-CC328/sub-CC328_ses-Recordings-from-animal-CC328-on-04-Oct-2022_obj-1xzxfc6_icephys.nwb	sub-CC330/sub-CC330_ses-Recordings-from-animal-CC330-on-06-Oct-2022_obj-uod0eh_icephys.nwb	sub-CC330/sub-CC330_ses-Recordings-from-animal-CC330-on-06-Oct-2022_obj-w5boab_icephys.nwb	sub-CC331/sub-CC331_ses-Recordings-from-animal-CC331-on-25-Oct-2022_icephys.nwb	sub-CC356/sub-CC356_ses-Recordings-from-animal-CC356-on-01-Nov-2022_obj-11a95qd_icephys.nwb	sub-CC356/sub-CC356_ses-Recordings-from-animal-CC356-on-01-Nov-2022_obj-1qqwr0w_icephys.nwb	sub-CC356/sub-CC356_ses-Recordings-from-animal-CC356-on-01-Nov-2022_obj-1xwq17b_icephys.nwb	sub-CC357/sub-CC357_ses-Recordings-from-animal-CC357-on-02-Nov-2022_obj-1ngunrr_icephys.nwb	sub-CC357/sub-CC357_ses-Recordings-from-animal-CC357-on-02-Nov-2022_obj-m3ho9c_icephys.nwb	sub-CC396/sub-CC396_ses-Recordings-from-animal-CC396-on-14-Dec-2022_obj-1hmdesz_icephys.nwb	sub-CC396/sub-CC396_ses-Recordings-from-animal-CC396-on-14-Dec-2022_obj-1ztm07_icephys.nwb	sub-CC399/sub-CC399_ses-Recordings-from-animal-CC399-on-15-Dec-2022_icephys.nwb	sub-CG354/sub-CG354_ses-Recordings-from-animal-CG354-on-16-Mar-2022_icephys.nwb	sub-CG355/sub-CG355_ses-Recordings-from-animal-CG355-on-17-Mar-2022_obj-13slprt_icephys.nwb	sub-CG355/sub-CG355_ses-Recordings-from-animal-CG355-on-17-Mar-2022_obj-9xqpr4_icephys.nwb	sub-CG382/sub-CG382_ses-Recordings-from-animal-CG382-on-06-Apr-2022_obj-1cpgcpr_icephys.nwb	sub-CG382/sub-CG382_ses-Recordings-from-animal-CG382-on-06-Apr-2022_obj-1jdeqq1_icephys.nwb	sub-CG383/sub-CG383_ses-Recordings-from-animal-CG383-on-02-Jun-2022_obj-1epq7li_icephys.nwb	sub-CG383/sub-CG383_ses-Recordings-from-animal-CG383-on-02-Jun-2022_obj-tf3xp2_icephys.nwb	sub-CG398/sub-CG398_ses-Recordings-from-animal-CG398-on-07-Jun-2022_obj-1d5xisz_icephys.nwb	sub-CG398/sub-CG398_ses-Recordings-from-animal-CG398-on-07-Jun-2022_obj-euj4y0_icephys.nwb	sub-CG398/sub-CG398_ses-Recordings-from-animal-CG398-on-07-Jun-2022_obj-r066hs_icephys.nwb	sub-CG398/sub-CG398_ses-Recordings-from-animal-CG398-on-07-Jun-2022_obj-rh9a9t_icephys.nwb	sub-CG438/sub-CG438_ses-Recordings-from-animal-CG438-on-21-Jul-2022_obj-2uhtyy_icephys.nwb	sub-CG438/sub-CG438_ses-Recordings-from-animal-CG438-on-21-Jul-2022_obj-877j9h_icephys.nwb	sub-CG439/sub-CG439_ses-Recordings-from-animal-CG439-on-19-Jul-2022_obj-1ltg832_icephys.nwb	sub-CG439/sub-CG439_ses-Recordings-from-animal-CG439-on-19-Jul-2022_obj-1pr7f3q_icephys.nwb	sub-CG439/sub-CG439_ses-Recordings-from-animal-CG439-on-19-Jul-2022_obj-1pw78jj_icephys.nwb	sub-CG439/sub-CG439_ses-Recordings-from-animal-CG439-on-19-Jul-2022_obj-1y7zbtp_icephys.nwb	sub-CG440/sub-CG440_ses-Recordings-from-animal-CG440-on-20-Jul-2022_obj-1k25yoe_icephys.nwb	sub-CG440/sub-CG440_ses-Recordings-from-animal-CG440-on-20-Jul-2022_obj-db48mx_icephys.nwb	sub-CG463/sub-CG463_ses-Recordings-from-animal-CG463-on-27-Jul-2022_icephys.nwb	sub-CG538/sub-CG538_ses-Recordings-from-animal-CG538-on-27-Jun-2023_obj-19zzhnt_icephys.nwb	sub-CG538/sub-CG538_ses-Recordings-from-animal-CG538-on-27-Jun-2023_obj-1uq0hs5_icephys.nwb	sub-CG539/sub-CG539_ses-Recordings-from-animal-CG539-on-28-Jun-2023_obj-1xdchl8_icephys.nwb	sub-CG539/sub-CG539_ses-Recordings-from-animal-CG539-on-28-Jun-2023_obj-ju726b_icephys.nwb
2026-01-19	27268104	21219296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7523120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26332112	28118976
2026-01-26	43143292	34627252	5399024	0	5399024	0	0	0	5072624	0	0	0	5399024	0	0	0	0	4419168	0	4419136	0	0	6711480	0	6052400	0	0	0	0	0	0	0	6052400	0	0	0	0	5399024	7365048	5399024	4419168	0	1786864	0
2026-02-02	26313032	19014096	0	0	0	0	0	0	0	0	0	5399024	0	0	0	0	0	0	0	0	0	4092200	0	0	0	0	0	0	0	0	8017584	0	0	0	0	6052400	0	0	0	0	0	7029744	0	0
2026-02-09	27033620	21667260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-02-16	17414536	17611060	0	0	0	0	0	5399024	5105836	5399024	6320624	6320624	6320624	12641248	921600	11719648	8239920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-02-23	25472020	32490352	9306624	5626112	9497852	0	0	8633044	0	0	4375024	0	0	0	0	0	3761560	7814336	0	0	0	0	9675192	8633044	0	0	0	0	0	4127004	0	0	0	0	9155404	0	0	8698552	0	0	0	0	4127004	6333424
2026-03-02	8641760	0	8707268	0	0	4449248	4127004	5399024	8773476	4375024	0	8502028	0	0	4127004	0	0	0	8380428	0	4258020	4092200	0	0	0	4127004	0	5028400	0	0	4127004	6891184	0	0	0	5028400	0	0	10869900	8764060	4419168	6333424	0	0
2026-03-09	0	0	0	4520052	0	0	0	0	0	0	0	0	0	4375024	0	0	0	0	0	7587648	0	0	0	0	4127004	0	8502028	0	0	0	0	0	0	5028400	0	0	4127004	0	0	0	0	0	0	0
2026-03-16	40119332	38421420	0	0	0	0	10798048	0	0	0	4585560	0	0	5399024	0	5399024	0	0	0	0	0	0	0	10798048	0	5399024	0	6052400	0	18407748	0	0	0	6052400	0	0	10377632	0	0	0	0	0	0	0
2026-03-23	12834272	4449248	0	0	0	0	0	0	512000	5399024	0	0	5399024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-03-30	0	0	0	0	0	0	0	0	5072624	0	10798048	0	5399024	10798048	5399024	0	0	0	5072624	0	0	0	0	0	0	0	0	6052400	10966888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-04-06	0	0	0	0	0	0	10798048	5399024	0	0	0	0	0	0	0	10798048	3761560	8838336	15217872	0	0	0	0	0	0	0	0	6052400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-04-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3761560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-04-20	13096304	0	0	0	0	0	0	0	0	0	5399024	0	0	0	0	5399024	0	0	0	0	0	0	0	0	0	0	0	6052400	10415772	6026736	0	0	0	6052400	0	0	0	0	0	0	0	0	0	0
