region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
USA/VT	27546048	228	76	7
GitHub	59404616	43429	135	168
USA/NH	109459296	906	302	103
USA	181224	1	1	0
DEU/NW	5255496	29	29	0
CHN	724896	4	4	0
AWS/us-east-2	6727872	4338	0	19
GBR/ENG	3262032	18	18	0
NOR/50	5074272	28	0	2
USA/CA	3253936	22	13	4
PAK/PB	362448	2	2	0
VPN	4372952	26	21	4
PRT/11	1449792	8	8	0
AWS/us-east-1	1582520	9	9	0
CHE/AG	567248	4	2	1
USA/MD	3104384	25	9	4
USA/NV	724896	4	4	0
USA/VA	2355912	15	9	4
IND/MH	362448	2	2	0
AWS/ap-southeast-1	362448	2	2	0
JPN/13	724896	6	2	1
DEU/BY	181224	1	1	0
USA/NM	362448	2	2	0
CIV/AB	181224	1	1	0
CAN/ON	362448	2	2	0
USA/MA	4420114	37	6	7
NLD	181224	1	1	0
USA/RI	543672	3	0	1
VNM/SG	543672	3	3	0
PSE/NBS	181224	1	1	0
ARG/B	362448	2	2	0
GCP/us-central1	724896	4	4	0
EST/37	181224	1	1	0
MEX/CMX	4207208	28	17	8
CHE/VD	567248	4	2	1
SGP	906120	5	5	0
ESP/AN	181224	1	1	0
COL/DC	181224	1	1	0
NZL/AUK	181224	1	1	0
FRA/IDF	1315720	9	5	3
SYC	181224	1	1	0
HKG	181224	1	1	0
IDN/BT	181224	1	1	0
BRA/MG	181224	1	1	0
USA/IL	567248	4	2	1
CHN/SH	181224	1	0	1
