region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
AWS/ap-southeast-1	1018100	5	5	0
USA/NV	1221720	6	6	0
GitHub	13846160	102	34	23
USA	203620	1	1	0
ITA/88	1221720	6	6	0
AWS/us-east-1	6108600	30	30	0
ITA/25	407240	2	2	0
USA/MA	2443440	12	0	9
VPN	7741100	45	31	10
USA/CA	2448160	16	8	5
USA/MD	1836120	12	6	3
CHN	2239820	11	11	0
USA/IL	610860	3	3	0
NLD	407240	2	2	0
USA/TX	407240	2	2	0
EST/37	407240	2	2	0
DEU/NW	918060	6	3	3
CHE/VD	612040	4	2	2
MEX/CMX	2448160	16	8	5
GCP/us-central1	1221720	6	6	0
FRA/IDF	1836120	12	6	6
ITA/45	814480	4	4	0
USA/IN	407240	2	2	0
