week_start	sub-TC12/sub-TC12_ses-20190528_obj-14z69t8_ecephys.nwb	sub-TC12/sub-TC12_ses-20190528_obj-1n8m685_ecephys.nwb	sub-TC12/sub-TC12_ses-20190528_obj-1og567r_ecephys.nwb	sub-TC12/sub-TC12_ses-20190528_obj-1os5wbm_ecephys.nwb	sub-TC16/sub-TC16_ses-20191118_obj-11sw2aw_ecephys.nwb	sub-TC16/sub-TC16_ses-20191118_obj-180rjm7_ecephys.nwb	sub-TC16/sub-TC16_ses-20191118_obj-1s247w_ecephys.nwb	sub-TC16/sub-TC16_ses-20191118_obj-1v9q95y_ecephys.nwb	sub-TC17/sub-TC17_ses-20191119_obj-1ff8ns3_ecephys.nwb	sub-TC17/sub-TC17_ses-20191119_obj-1hh7e4d_ecephys.nwb	sub-TC17/sub-TC17_ses-20191119_obj-1ikssdf_ecephys.nwb	sub-TC17/sub-TC17_ses-20191119_obj-4aie44_ecephys.nwb	sub-TC18/sub-TC18_ses-20191120_obj-1lz3jca_ecephys.nwb	sub-TC18/sub-TC18_ses-20191120_obj-1pc5ijg_ecephys.nwb	sub-TC18/sub-TC18_ses-20191120_obj-6x66hm_ecephys.nwb	sub-TC18/sub-TC18_ses-20191120_obj-pwtqx7_ecephys.nwb	sub-TC19/sub-TC19_ses-20191125_obj-170ls42_ecephys.nwb	sub-TC19/sub-TC19_ses-20191125_obj-1whi779_ecephys.nwb	sub-TC19/sub-TC19_ses-20191125_obj-fbtjk7_ecephys.nwb	sub-TC19/sub-TC19_ses-20191125_obj-naaulh_ecephys.nwb	sub-TC20/sub-TC20_ses-20191127_obj-15djye_ecephys.nwb	sub-TC20/sub-TC20_ses-20191127_obj-1lx0hmq_ecephys.nwb	sub-TC20/sub-TC20_ses-20191127_obj-7hvry3_ecephys.nwb	sub-TC20/sub-TC20_ses-20191127_obj-hu2qdr_ecephys.nwb	sub-TC5/sub-TC5_ses-20190302_obj-1r17jwb_ecephys.nwb	sub-TC5/sub-TC5_ses-20190302_obj-cojoz8_ecephys.nwb	sub-TC5/sub-TC5_ses-20190302_obj-fww7zb_ecephys.nwb	sub-TC5/sub-TC5_ses-20190302_obj-w649l8_ecephys.nwb	sub-TC6/sub-TC6_ses-20190320_obj-18hbwq8_ecephys.nwb	sub-TC6/sub-TC6_ses-20190320_obj-19h11j5_ecephys.nwb	sub-TC6/sub-TC6_ses-20190320_obj-1lnb0yz_ecephys.nwb	sub-TC6/sub-TC6_ses-20190320_obj-ohakmi_ecephys.nwb	sub-TC7/sub-TC7_ses-20190321_obj-1iejpb0_ecephys.nwb	sub-TC7/sub-TC7_ses-20190321_obj-1wkcp1_ecephys.nwb	sub-TC7/sub-TC7_ses-20190321_obj-9s1ixd_ecephys.nwb	sub-TC7/sub-TC7_ses-20190321_obj-ipptgm_ecephys.nwb	sub-TC9/sub-TC9_ses-20190402_obj-122r4vw_ecephys.nwb	sub-TC9/sub-TC9_ses-20190402_obj-kgovqu_ecephys.nwb	sub-TC9/sub-TC9_ses-20190402_obj-qojv1k_ecephys.nwb	sub-TC9/sub-TC9_ses-20190402_obj-uoycvb_ecephys.nwb
2024-09-16	39508492	16777216	15074040	27168656	27446072	25625336	16777216	33454580	25165824	11929072	11014904	24064920	23262508	23786572	23786572	12977648	11015664	17621788	17270520	17228536	17427564	11585008	16777216	23524540	10071536	14742884	17174264	15004916	10527724	15363108	8388608	8792824	6319600	15594488	8889080	8858360	21559744	8796920	8388608	8388608
2024-09-23	24648112	57630820	74733800	23086412	53492172	48564456	26523576	53253352	24946124	66583920	56113384	56343784	61231648	55698664	16195076	56426088	55323616	80982384	52304864	28686544	20379120	56371432	65003704	56626408	52386784	54852840	53294332	52699460	47450444	19293416	57675944	45960020	51291368	20592112	14368552	10038008	48503684	46834856	45003128	45845696
2024-10-14	0	30743288	0	29927160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-10-28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9631480	6784760	10412792	10189560	10052344	10550008	10137336	8574712	7798520	5771000	6572792	8105720	9402104	9789176	9317112	10106616	10296056	9806584	10038008	5705464	9059064	9540344	9685752
2024-11-04	7860960	0	0	4454544	6681816	2161764	0	7860960	0	5961228	2161764	0	0	6616308	0	0	0	0	6550800	6223260	10350264	4389036	8385024	9760692	0	6616308	6223260	0	0	10153740	7664436	0	0	4192512	2161764	6747324	5633688	2161764	0	10153740
2024-11-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15918444	0	0	0	0	0	0	0	0	0	0	0	0	34457208	0	0	0	0	0	0	0	0	0	0
2024-11-18	73469492	30743288	31851256	29927160	37382904	74319344	36498168	0	72687088	36635384	0	36257528	73065968	72084976	74542576	37683960	0	35845880	38242040	36627192	36403960	36266744	36764408	72703472	34789112	53798576	74456560	0	29077240	60747248	30760696	30288632	31078136	62535152	30778104	31009528	31919864	30030584	30511864	30657272
2024-11-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24631008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-12-02	59254256	0	0	0	0	0	0	0	0	0	19403512	0	0	0	20494072	0	0	0	0	19849976	0	16777216	0	0	16777216	0	0	0	0	0	0	0	0	0	0	0	0	25165824	0	33554432
2025-01-27	29627128	30743288	0	0	0	37159672	36498168	0	0	36635384	36180728	0	0	36042488	0	37683960	0	35845880	0	36627192	36403960	36266744	0	0	34789112	39255800	37228280	0	0	30373624	0	30288632	0	31267576	0	0	31919864	0	30511864	30657272
2025-03-10	4061496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4127004	0	0	0	0	0	0	0	0	0	0	0	4585560	0	0	0	0	0	0	0	0	0	0	0	0
2025-05-26	29627128	30743288	31851256	29927160	37382904	37159672	36498168	0	36343544	36635384	0	0	0	36042488	37271288	37683960	0	35845880	38242040	36627192	36403960	36266744	73528816	36351736	0	0	37228280	32787192	29077240	0	30760696	0	0	7402404	30778104	31009528	31919864	0	0	30657272
2025-07-07	29627128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-07-21	139253232	0	0	0	0	0	0	0	0	0	0	0	0	0	37271288	0	0	0	0	36627192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30030584	0	0
2025-07-28	29384704	30743288	0	0	37382904	37159672	0	35227384	0	36635384	0	0	36532984	0	37271288	37683960	35785464	35845880	76484080	36627192	36403960	0	36764408	36351736	104367336	0	37228280	32787192	0	30373624	30760696	60577264	31078136	31267576	30778104	31009528	0	30030584	61023728	30657272
2025-08-04	0	0	0	0	0	0	0	0	0	0	36180728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-08-11	0	0	0	0	0	0	0	0	0	0	0	36257528	0	36042488	0	0	0	0	0	0	0	36266744	0	0	0	0	0	0	0	0	0	0	0	31267576	0	0	0	0	0	61314544
2025-08-18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35785464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-08-25	0	30743288	0	0	0	0	0	0	36343544	0	0	0	36532984	36042488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29077240	0	0	0	0	0	0	0	0	0	0	0
2025-09-01	0	0	0	29927160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39255800	0	0	0	0	0	0	0	31267576	0	0	0	0	0	0
2025-09-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37683960	0	35845880	0	0	0	0	36764408	0	0	0	0	0	0	0	0	0	31078136	0	0	0	0	0	0	0
2025-10-06	9826200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-15	0	56225900	40629328	18276732	59131560	37159672	36498168	9040104	56651024	81983332	67638008	82603288	80599388	79945936	106570984	16835556	75697932	71691760	38242040	94024900	17621652	82752736	46721624	40478740	62103592	39255800	54784424	36979704	39493012	16180476	41438500	64704268	46800056	43386556	30778104	71845256	31919864	59464876	87030404	70813204
2025-12-22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20538104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25414392
2025-12-29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15432440	0	0	0	0	0	0	0	0	0	15032056	0	0	0	0	0	0	0	0	0
2026-01-05	29627128	0	0	0	0	0	0	0	0	15663864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26742520	0	0	0	0	18634224	0	0	0	0	0	0	0	0
2026-01-12	59254256	0	0	0	64280048	90507496	72996336	0	36343544	0	46666488	0	0	0	74542576	0	0	0	0	36627192	0	62047728	0	0	69578224	0	0	65574384	0	0	0	0	0	0	0	0	0	109636576	0	50828784
2026-01-19	0	0	0	0	0	16188152	0	59969008	0	0	0	0	0	0	0	0	20971520	0	0	0	72807920	0	0	0	0	0	0	27544312	0	0	51035632	0	0	0	0	0	0	0	0	0
