week_start	sub-242820/sub-242820_ses-242820-20200526-probe0_behavior+ecephys+ogen.nwb	sub-249939/sub-249939_ses-249939-20200611-probe0_behavior+ecephys+ogen.nwb	sub-249940/sub-249940_ses-249940-20200610-probe0_behavior+ecephys+ogen.nwb	sub-250252/sub-250252_ses-250252-20200609-probe0_behavior+ecephys+ogen.nwb	sub-250253/sub-250253_ses-250253-20200609-probe0_behavior+ecephys+ogen.nwb	sub-250256/sub-250256_ses-250256-20200610-probe0_behavior+ecephys+ogen.nwb	sub-518804-1/sub-518804-1_ses-518804-20220228-probe0_behavior+ecephys.nwb	sub-518804-2/sub-518804-2_ses-518804-20220301-probe0_behavior+ecephys.nwb	sub-534133/sub-534133_ses-534133-20220302-probe0_behavior+ecephys.nwb	sub-560169/sub-560169_ses-560169-20220506-probe0_behavior+ecephys.nwb	sub-560171-1/sub-560171-1_ses-560171-20220504-probe0_behavior+ecephys.nwb	sub-560171-2/sub-560171-2_ses-560171-20220505-probe0_behavior+ecephys.nwb	sub-708078/sub-708078_ses-708078-20231002-probe0_ecephys.nwb	sub-708078/sub-708078_ses-708078-20231002-probe1_ecephys.nwb	sub-708078/sub-708078_ses-708078-20231003-probe0_ecephys.nwb	sub-711179/sub-711179_ses-711179-20230907-probe0_ecephys.nwb	sub-732713/sub-732713_ses-732713-20230828-probe0_ecephys.nwb	sub-732713/sub-732713_ses-732713-20230830-probe0_ecephys.nwb	sub-732713/sub-732713_ses-732713-20230831-probe1_ecephys.nwb	sub-732714/sub-732714_ses-732714-20230829-probe0_ecephys.nwb	sub-732714/sub-732714_ses-732714-20230829-probe1_ecephys.nwb	sub-PL026/sub-PL026_ses-PL026-20190430-probe0_ecephys.nwb	sub-PL027/sub-PL027_ses-PL027-20190511-probe0_behavior+ecephys.nwb	sub-PL027/sub-PL027_ses-PL027-20190511-probe1_behavior+ecephys.nwb	sub-PL028/sub-PL028_ses-PL028-20190517-probe0_behavior+ecephys.nwb	sub-PL028/sub-PL028_ses-PL028-20190517-probe1_behavior+ecephys.nwb	sub-PL030/sub-PL030_ses-PL030-20190518-probe0_behavior+ecephys.nwb	sub-PL030/sub-PL030_ses-PL030-20190518-probe1_behavior+ecephys.nwb	sub-PL031/sub-PL031_ses-PL031-20190524-probe0_behavior+ecephys.nwb	sub-PL031/sub-PL031_ses-PL031-20190524-probe1_behavior+ecephys.nwb	sub-PL032/sub-PL032_ses-PL032-20190524-probe0_behavior+ecephys.nwb	sub-PL032/sub-PL032_ses-PL032-20190524-probe1_behavior+ecephys.nwb	sub-PL051/sub-PL051_ses-PL051-20191121-probe0_behavior+ecephys.nwb	sub-PL051/sub-PL051_ses-PL051-20191121-probe1_behavior+ecephys.nwb	sub-PL053/sub-PL053_ses-PL053-20191122-probe0_behavior+ecephys.nwb	sub-PL054/sub-PL054_ses-PL054-20191122-probe0_behavior+ecephys.nwb	sub-PL055/sub-PL055_ses-PL055-20200302-probe0_behavior+ecephys.nwb	sub-PL055/sub-PL055_ses-PL055-20200302-probe1_behavior+ecephys.nwb	sub-PL056/sub-PL056_ses-PL056-20200303-probe0_behavior+ecephys.nwb	sub-PL056/sub-PL056_ses-PL056-20200303-probe1_behavior+ecephys.nwb	sub-PL057/sub-PL057_ses-PL057-20200203-probe0_behavior+ecephys.nwb	sub-PL057/sub-PL057_ses-PL057-20200203-probe1_behavior+ecephys.nwb	sub-PL062/sub-PL062_ses-PL062-20200420-probe0_behavior+ecephys.nwb	sub-PL062/sub-PL062_ses-PL062-20200420-probe1_behavior+ecephys.nwb	sub-PL062/sub-PL062_ses-PL062-20200420-probe2_behavior+ecephys.nwb	sub-PL063/sub-PL063_ses-PL063-20200421-probe1_behavior+ecephys.nwb	sub-PL064/sub-PL064_ses-PL064-20200422-probe0_behavior+ecephys.nwb	sub-PL064/sub-PL064_ses-PL064-20200422-probe1_behavior+ecephys.nwb	sub-PL066/sub-PL066_ses-PL066-20200514-probe0_behavior+ecephys+ogen.nwb	sub-PL066/sub-PL066_ses-PL066-20200514-probe1_behavior+ecephys+ogen.nwb	sub-PL070/sub-PL070_ses-PL070-20200616-probe0_behavior+ecephys+ogen.nwb	sub-PL071/sub-PL071_ses-PL071-20200616-probe0_behavior+ecephys+ogen.nwb	sub-PL076/sub-PL076_ses-PL076-20230408-probe0_behavior+ecephys.nwb	sub-PL077/sub-PL077_ses-PL077-20230407-probe0_behavior+ecephys.nwb	sub-PL078/sub-PL078_ses-PL078-20230408-probe0_behavior+ecephys.nwb	sub-PL079/sub-PL079_ses-PL079-20230620-probe0_behavior+ecephys.nwb	sub-PL079/sub-PL079_ses-PL079-20230621-probe0_behavior+ecephys.nwb	sub-PL079/sub-PL079_ses-PL079-20230621-probe1_behavior+ecephys.nwb	sub-PL080/sub-PL080_ses-PL080-20230621-probe0_behavior+ecephys.nwb	sub-PL080/sub-PL080_ses-PL080-20230621-probe1_behavior+ecephys.nwb	sub-PL080/sub-PL080_ses-PL080-20230622-probe0_behavior+ecephys.nwb	sub-PL080/sub-PL080_ses-PL080-20230622-probe1_behavior+ecephys.nwb	sub-PL081/sub-PL081_ses-PL081-20230620-probe0_behavior+ecephys.nwb	sub-PL081/sub-PL081_ses-PL081-20230620-probe1_behavior+ecephys.nwb	sub-PL081/sub-PL081_ses-PL081-20230621-probe0_behavior+ecephys.nwb	sub-PL081/sub-PL081_ses-PL081-20230621-probe1_behavior+ecephys.nwb	sub-PL082/sub-PL082_ses-PL082-20230911-probe0_behavior+ecephys.nwb	sub-PL082/sub-PL082_ses-PL082-20230911-probe1_behavior+ecephys.nwb	sub-PL082/sub-PL082_ses-PL082-20230912-probe0_behavior+ecephys.nwb	sub-PL082/sub-PL082_ses-PL082-20230912-probe1_behavior+ecephys.nwb	sub-PL084/sub-PL084_ses-PL084-20231220-probe0_behavior+ecephys.nwb	sub-PL084/sub-PL084_ses-PL084-20231220-probe1_behavior+ecephys.nwb	sub-PL086/sub-PL086_ses-PL086-20231222-probe0_behavior+ecephys.nwb	sub-PL086/sub-PL086_ses-PL086-20231222-probe1_behavior+ecephys.nwb
2025-11-24	14705208	25482612	20824668	33397428	20652972	25387500	20497128	22891608	14398008	26058432	30833640	26137692	18809772	18543252	10359240	18739776	9909660	30942216	11895240	25299552	15604368	23323648	6175004	19253023	20519568	17084550	2048000	17977182	15675764	14038494	23045064	29610216	17018328	16404398	24700016	15610256	16989012	27215136	7264512	6144000	20257536	25217220	20713338	25105509	21839718	19498401	7623752	24202064	5762601	12512028	26412252	22623656	15584028	12947856	11391516	15124450	15167966	20863854	14285476	17839224	21410644	17884700	20257185	19623894	15320184	17641306	13095310	20691328	15809958	25719758	26214084	14094010	23733248	21412552
2025-12-01	26015364	183712172	25898100	145688860	184367252	15626808	8800512	16392564	165916724	25570560	22564068	18459504	17757156	9372132	16788000	11739396	16656984	15604368	13021640	16263936	14289720	18146416	24996552	21598653	11915580	17931808	12350008	14976320	26512500	20130738	12319004	12905076	16595964	22674111	18590520	16255660	31692120	13189548	24384540	18852552	14987580	10873656	19073076	14555532	15564268	19563909	17855412	15489500	22378395	21687552	11273640	6890038	16989012	23633236	17709600	20611326	19098446	10764852	24322396	25211988	24737793	17622668	19219116	15365874	13354944	13533956	13840006	13550956	15347647	16609650	27702560	33770885	11735608	25688812
2025-12-08	1989985335	12071424	4127004	21177036	24601404	15823332	10795068	18437064	14398008	15649536	12708552	24486240	16062924	14617260	12398964	13892184	6957312	6101220	14633812	10097208	17556144	9042204	8192000	13148121	25898100	18783412	17001076	23295836	13401224	14126865	12646544	5590816	9790008	7260676	14363504	13869456	17578584	22164144	6056052	18787044	9079096	9431136	13371318	16130913	23883784	14781825	21654876	2178478408	10130502	15138220	12619686	11148058	17447568	4192512	11391516	9351848	11696042	15219396	10354996	9126660	6643826	4323528	15999165	13320873	10444182	2574466	11106488	24556300	8003241	12613662	14488152	17112273	15217208	15872288
2025-12-15	5070083499	1731154956	27041052	33781500	43524240	30675696	33883200	2691606667	14230800	2528415397	26379096	1810845833	906916451	28705968	1708399331	18940788	1290717102	21247032	40496708	1429172923	24709980	31708672	24455236	1872515286	3888478203	965888336	14463516	1855299732	36675916	1906978961	3692041271	23692460	25468860	58253298	18266480	4677004723	2750514512	35396760	4495390635	34639980	36306996	1478151124	4618450088	4677347287	4297909854	30706783	22334780	38024252	27948678	6943147972	30604764	4084361729	31714560	2136833023	1810696607	31227571	2539347196	3759007164	22417932	1032430680	21869200	3290068870	15318813	30287445	2127092902	24431211	2363955950	35023780	2367919438	29446970	43846620	21707623	4289700784	17668920
2025-12-22	0	0	0	0	0	0	0	0	0	0	0	0	539178543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1037833459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2301624320	0	0	0	0	0	0	0	0	0	0	0	0	945372771	0	0	0	0	0	0	0	1742312911	0	0	975175680	0	0	0	0	0	0	0
2025-12-29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	429916160	0	0	0	0	0	0	2081423360	0	0	0	0	0	0	1342177280	0	0	0	0	0	0	0	0	0	0	1797183834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	897401771	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-01-05	23483280	29851020	18699096	2369415656	23964276	33462936	21728028	20817792	20169588	24450048	31518036	18852552	29828580	23395332	6232236	17251044	29627568	14289720	740270796	16853508	698440521	16839056	31564604	31078326	22448616	22513022	37605092	22902788	20261324	22770840	27141064	22230448	23707020	16104256	32316196	31004636	22645140	22055568	27041052	21640080	28380528	19255320	28972470	20706906	25377150	33523627	25086116	4717606760	22577022	26142096	1615796990	21194178	964400234	708807480	23241588	19698163	25881388	18920154	27728812	16216344	17545672	31379602	37878837	24668010	34787094	26504540	33397026	18010100	14823583	22503122	12945052	28132302	1131489852	21992448
2026-01-12	5981313559	1929751384	0	0	0	0	0	0	2788989663	0	2005257651	0	890451503	1539205290	3754920449	0	0	0	0	0	0	0	0	0	3865990999	31457280	0	3040284735	0	0	0	0	0	0	0	0	0	3059894945	0	0	0	1433650640	345829076	0	0	1829425484	0	4195468808	0	13324765504	0	0	0	0	0	2203663971	0	0	0	7079257736	0	0	42342072	4426050571	0	0	4463276494	0	0	0	1111490560	0	0	0
2026-01-19	26616300	12071424	5786154522	5970204	4113337174	7965247384	7096035548	2670294127	1648525147	15911568	2015047659	4185670714	2674119309	10097208	1259327915	1120489174	8778072	566235536	3090761888	1411677799	15141324	11530808	1430200222	5553741066	11575709277	7131680	132311056	13672413	16321168	10065369	12384512	3764694816	9636600420	2484170911	4635462893	2218035624	2738919596	12141420	4487245203	15059208731	4142822260	11790096	18868866	1575381	12547326136	9521577304	6804880908	4705982232	4787044124	5106632592	3199793782	6008773290	2190723686	2118448003	1803563111	20492157	2507689023	12020274	2412839212	3550143776	4618954185	6555505970	5293805936	4310273743	2100717718	6529784198	2338258996	11192668	2353503923	9532538	5351289036	8394814	2149492340	3594756586
2026-01-26	19683816	16591476	3953077810	4106241889	13914624	5875646624	10271004	3625301294	767852323	867778988	2839999990	14441076	9634164	10293732	1265363627	611646012	511545258	15276828	18446040	10228224	15014796	11008144	12350008	993642607	17644092	1875813016	3488002794	11385886	5631063219	9037023	1463546396	752304644	2143969708	16273382	6376475470	15348224	3837534552	4083748581	1665064960	2172553829	1536000	625670764	15011580	12003909	4292341674	6259271	25519848	4713974208	2315661269	12974988	3203111332	7086562	2193533654	2120340159	2398823155	11062954	846680923	1786911258	3444775220	21194952	23310376	13495664	3686544945	4318878040	895840178	1048563767	15626540	1477886668	982128553	8581548	21890556	18029385	9480420	1907896888
2026-02-02	2150400	8581548	14899632	8140944	1697921478	0	10314072	9360768	3072000	7264512	8254008	7592052	8450532	4127004	5970204	10097208	0	14023200	6052264	6891804	7813404	1016656384	4096000	5758375	1223967288	1371322	10729560	11451394	5867804	639631360	11546660	7184444	7264512	12604934	10367516	5867804	5859528	5925036	1536000	15649536	1536000	13754664	7866084	1605240290	5554862	1824422755	8319516	8734468	16419270	7929404	9904236	5508521	5663004	5626112	15518520	6739426	9045832	9509430	7739408	9942396	8516040	934737592	1496625	9746439	11193180	11896256	12512028	9756092	4127004	822474840	6205052	1635385927	14252828	11866624
2026-02-09	4389036	12202440	12905076	6166728	3686400	6035712	9986532	4127004	12839568	4192512	4454544	8385024	6232236	5048604	5048604	9241116	5048604	10097208	5449928	9634164	14219724	19587592	8223004	4323528	9324576	0	2048000	10016471	11801116	18142635	14494520	9040104	9921024	7822850	6175004	10060316	3072000	0	9193560	4389036	8735004	7663092	14676354	9829389	13363632	8391538	3169208	8789736	0	11401328	16615674	9635525	1536000	9818624	8800512	4585560	10778930	7893270	5965960	5880900	8229777	8189262	9750633	1492431	2546124	11024998	4192512	5432564	8254008	8290134	6467084	10093127	13504324	3481600
2026-02-16	8057484	3767051400	17287236	4909312	0	6035712	4704512	11267376	18473256	512000	5663004	4520052	1843200	921600	5965716	4127004	5114112	5970204	0	8319516	921600	1638400	4127004	4258020	1536000	4258020	4389036	4323528	7205880	11549190	4096000	0	3072000	6400729	4127004	1740800	1536000	8516040	7395528	9986532	4520052	6026064	1640262	5702385	1558874	8647056	4127004	8021588	4780757459	2154596816	1411554	4127004	10117548	0	5663004	5433215	8319516	5382426	1707940	5946408	0	1310414	1496625	8909088	0	5414237	0	0	4127004	1278530	1750508	0	1740800	8188500
2026-02-23	10404408	3762662364	8843580	11155712	16784212	17763044	5663004	8366084	5728512	21140144	14148040	17763044	14076644	4192512	5048604	18007124	14867228	5151004	1126400	18199160	21218416	20165100	21640080	11516750	11153612	15254672	21128080	10724995	10572316	18765869	19461064	11561416	22021064	2327169	22248592	18629800	15006520	480440748	16227044	13320564	8931528	13887024	9821822	4639004	9315626	18074658	11505628	13024028	22045382	17364024	16182952	10483341	13570532	9753116	11295004	16029498	875482265	512000	11997428	5880900	6774842	10809328	11247258	13177793	2546124	16373727	18466946	8581548	5163068	4639004	7693528	9171120	16465648	8254008
2026-03-02	0	0	0	1843200	0	0	4323528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4127004	4389036	0	0	1740800	0	0	0	4454544	0	0	0	1536000	0	0	0	0	0	0	0	0	0	0	0	0	6290236	1411554	0	0	0	0	4127004	0	0	0	0	0	0	0	0	1273062	5414237	0	1240052	0	0	0	0	4192512	6326360
2026-03-09	0	3757818560	3938352262	4080806833	0	0	0	0	1645584163	0	0	0	1780903006	0	0	1118645974	0	1187249526	0	0	1224165185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5663004	0	0	1453390444	0	0	0	4258020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-03-16	2150400	10499232	7919592	9695184	12577536	6708744	16799364	5794020	3661572	14441076	1536000	0	2825820	26268708	4716576	15010308	7153836	5310636	13965968	1843200	5970204	13693272	13201612	8830922	6514608	19123990	16035708	19836418	7870636	7815234	9140116	13757280	11522532	5137022	9271132	15928120	11355324	15118596	8116116	13291248	10445088	9431136	4127004	9445908	6209942	6521303	11382532	6270820	11330781	11597852	19855188	16454206	10183056	16696964	5728512	10673855	589572	11081622	5713392	3376776	5581939	1834478	7120254	11973711	10575198	7903541	589572	22595660	10881838	15658660	5007700	4127004	655080	11034372
2026-03-23	2150400	1843200	0	4192512	0	0	0	1536000	0	0	0	0	0	0	0	4389036	4127004	1703208	0	0	0	0	4127004	1631371	1536000	0	0	0	0	0	0	0	0	0	0	0	0	1536000	4127004	0	6092245	917112	0	0	1558874	0	0	0	4192512	0	0	0	0	0	0	0	0	0	0	0	1258411	0	0	0	0	1287233	0	1240052	589572	1278530	1750508	0	0	5867804
2026-03-30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10350264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
