date	bytes_sent	number_of_requests	number_of_downloads	number_of_views
2026-07-26	1550076908348	185030	30	34
2026-07-27	37713416	176	22	17
2026-07-28	19112724	95	11	11
2026-07-31	4413864	7	1	1
2026-08-04	438200568	168	7	17
2026-08-07	2604468	14	2	2
2026-08-10	1452908	8	1	1
2026-08-11	1027788	4	1	1
2026-08-12	4639877220	1892	8	10
2026-08-13	2353912592	55	1	4
