week_start	sub-2282/sub-2282_ses-20190914T145458_ecephys+ophys.nwb	sub-2282/sub-2282_ses-20190914T151231_ecephys+ophys.nwb	sub-2282/sub-2282_ses-20190914T162358_ecephys+ophys.nwb	sub-2282/sub-2282_ses-20190914T164312_ecephys+ophys.nwb	sub-2282/sub-2282_ses-20190914T170145_ecephys+ophys.nwb	sub-2610/sub-2610_ses-20201005T153308_ecephys+ophys.nwb	sub-2615/sub-2615_ses-20201007T162625_ecephys+ophys.nwb	sub-2748/sub-2748_ses-20200928T173432_ecephys+ophys.nwb	sub-2763/sub-2763_ses-20200828T154656_ecephys+ophys.nwb	sub-2763/sub-2763_ses-20200828T161323_ecephys+ophys.nwb	sub-2763/sub-2763_ses-20200828T163435_ecephys+ophys.nwb	sub-2765/sub-2765_ses-20200814T153629_ecephys+ophys.nwb	sub-3112/sub-3112_ses-20210227T185041_ecephys+ophys.nwb	sub-3278/sub-3278_ses-20210614T151114_ecephys+ophys.nwb	sub-3443/sub-3443_ses-20210814T190234_ecephys+ophys.nwb	sub-3443/sub-3443_ses-20210814T193211_ecephys+ophys.nwb	sub-3445/sub-3445_ses-20210814T223214_ecephys+ophys.nwb	sub-3445/sub-3445_ses-20210814T223641_ecephys+ophys.nwb
2023-06-19	24375590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-06-26	148355315	100239539	120382530	99246065	0	0	140919733	0	6370944	232828465	0	165609955	136772452	0	92507664	195007331	0	85705878
2023-07-03	0	0	0	191390962	159734396	82222237	267009512	489055069	0	200380111	16192816	0	0	360213639	228952158	0	119916934	0
2023-07-10	5093530171	4392942105	5774660078	4432160658	114676992	28204700	142483508	3064455783	87069568	0	196370248	3265539687	4152174466	0	96891440	5523569687	63775804	5032175954
2023-07-17	0	71173045	0	137337953	168960868	0	0	0	203598296	185022832	185015438	196966476	403184688	265716821	249823112	8892776	0	131625186
2023-07-24	0	0	149512574	0	132026957	163448021	197527342	320029603	101633238	0	146131652	0	204727422	0	198654592	152532550	137003484	6735477
2023-07-31	4973080339	4224046553	5797421992	12675524	3801524762	4417813904	16524636	16424621	3240040419	0	3130712534	3277020659	4158611774	25881960	4930450176	5523569687	4956046419	4939266354
2023-08-07	159207236	264791532	206390384	0	129608064	150845372	0	39221124	11547336	126290692	178087325	108770596	0	0	9490052	0	12542796	0
2023-08-14	536750376	0	137506208	0	253841472	0	0	135714380	0	128081692	0	51100280	121047936	0	0	83618640	268639816	289079100
2023-08-21	10096544	97156896	164449992	74260488	0	89856856	155356468	156353584	79172252	127285324	143212684	0	88264120	207718492	54616744	0	0	119787020
2023-08-28	293062596	0	131467084	0	140757216	0	558915124	0	0	0	113680704	297841632	0	167569100	215085724	0	0	79968620
2023-09-04	4966709395	4341776289	5905197238	4279324366	4254822877	8822753192	280321536	2766084067	291603416	0	3324892770	3265539687	4339984586	4938122253	5353850840	5523569687	5121757327	4939266354
2023-09-11	155159032	186813004	0	197763892	0	117995192	0	102466016	116268900	0	131068072	172413672	282177244	24023768	0	0	0	0
2023-09-18	27341968	0	41012952	164250072	198626624	0	174203844	0	0	132660808	251848896	160865508	104987848	0	0	133524368	0	0
2023-09-25	34907464	0	0	0	0	0	0	118061556	0	149650820	7764588	37163840	0	10020964	0	97488716	0	0
2023-10-02	173873680	0	79570436	0	151309920	0	101270636	156486312	213360260	101070716	0	187012924	0	160864680	176926424	0	0	131732540
2023-10-09	0	142417144	0	142085324	0	249925996	0	0	0	0	147726264	70411376	140226304	145601788	21832928	141752676	143014420	187212844
2023-10-16	0	0	206059392	0	0	220129388	0	0	0	1593846412	0	0	0	118924288	169427292	0	121644384	0
2023-10-23	4988874971	0	0	4279324366	2222981120	0	0	0	0	2985471423	0	3265539687	0	4938122253	0	0	0	4941456366
2023-10-30	0	79039524	101005180	131135264	0	0	0	2843862675	647566064	3003057883	3147104442	0	191592868	0	45658432	149518092	37893844	0
2023-11-06	61253972	0	0	0	208051140	112686072	127683508	0	0	91116944	0	74062224	7432768	76849512	372300384	0	0	162657336
2023-11-13	53223928	0	0	0	0	72934036	0	0	235325916	0	0	106778848	64107624	63177700	67890372	0	0	0
2023-11-20	213094804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-11-27	239441312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-12-04	239152675	14013913	12734958	16862926	11487333	12600276	12150142	13572067	13048930	12758463	11198934	14954087	15542146	15057933	11500672	13302807	12010827	16202034
2023-12-11	251401692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-12-18	39486580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-12-25	3143018960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-01-15	5019468775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-01-22	51258035	38892325	32461378	69202486	5304601	12483860	23235254	7143011	1170530	50037628	14255864	822887	0	9533573	5833296	8432019	869707	19633460
2024-02-05	3659980672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-02-19	6120142995	0	0	4279324366	3791603813	4411376596	3687409022	2766084067	0	2985471423	0	3265539687	4152174466	4938122253	4924079232	5523569687	4945560907	0
2024-02-26	3315676304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-03-04	103992388	0	0	0	0	0	98616904	0	145004512	0	0	194512884	0	19378288	0	100342368	0	0
