region	bytes_sent
US/California	264723457973
AWS/us-east-2	252082986446
AWS/us-east-1	116617695062
CN/Beijing	94730906509
NL/North Holland	85869979494
US/Massachusetts	84595580073
CH/Basel-City	84273722669
US/New Mexico	84273722669
CH/Vaud	40536315138
CA/Ontario	31775841140
US/Maryland	19035554326
VPN	14125593030
US/Florida	7532341026
CN/Shanghai	6786698016
GCP/us-central1	5609990475
TW/Taiwan	5523569687
US/Washington	4973654310
GitHub	4351205090
CN/Guangdong	3524478404
HK/Hong Kong	2985471423
FI/Uusimaa	2792131468
US/New York	1992900000
CA/Quebec	753960394
US/Georgia	256742776
unknown	104405432
US/Ohio	100413000
AWS/ap-southeast-1	50833996
GB/England	47459476
ES/Madrid	46803744
US/Rhode Island	46669599
US/Arizona	45127520
US/Virginia	31124716
IN/Delhi	26023904
US/Louisiana	20207369
US/Wisconsin	12952244
US/Oregon	9961768
RU/Moscow	7830952
NL/Overijssel	9216
