region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
HKG/KKC	400229537	48	0	1
CAN/QC	2001147685	5	5	0
USA	2071361897	398	0	4
USA/MA	37033553456	5355	0	68
VPN	23817858809	212	164	13
AWS/us-east-1	11063612700	1327	42	21
AWS/ap-southeast-1	112280712	23	23	0
GitHub	1188149452	3631	211	172
CHN	19142959795	1702	0	25
USA/MD	48526958	31	10	10
USA/NV	159511980	21	21	0
MEX/CMX	63041024	271	47	47
AWS/us-east-2	437155939	9	1	1
FRA/IDF	28736800	122	13	13
USA/IL	364118292	16	10	2
NLD	4820101129	226	8	8
USA/WA	10563340	6	2	2
AWS/us-west-2	17435970	26	6	2
EST/37	336625201	1	1	0
CHE/VD	2587916	10	2	1
USA/VA	1008307721	34	4	1
USA/CA	9772414	18	5	4
GCP/us-central1	344518916	1	1	0
ALB	6616308	1	1	0
UKR/30	27251328	1	1	0
IDN/SU	11725932	1	1	0
IDN/RI	4061496	1	1	0
VNM	25286088	2	2	0
MYS/12	12184488	1	1	0
AZE/YEV	5699196	1	1	0
MYS/14	982620	1	1	0
VNM/HN	21355608	2	2	0
BRA/PE	3995988	1	1	0
USA/TX	11136360	1	1	0
SYR	1113636	1	1	0
VNM/21	9433152	1	1	0
PRY/5	5961228	1	1	0
MEX/QUE	16770048	1	1	0
BRA/CE	10088232	1	1	0
SGP	2161764	1	1	0
VNM/SG	8385024	1	1	0
