week_start	sub-RatR1/sub-RatR1_ses-RatR1-00base0_ecephys.nwb	sub-RatR1/sub-RatR1_ses-RatR1-01CA1-stim_ecephys.nwb	sub-RatR1/sub-RatR1_ses-RatR1-02base1_ecephys.nwb	sub-RatR1/sub-RatR1_ses-RatR1-03CA3-stim_ecephys.nwb	sub-RatR1/sub-RatR1_ses-RatR1-04base2_ecephys.nwb	sub-RatR1/sub-RatR1_ses-RatR1-05ANT-stim_ecephys.nwb	sub-RatR1/sub-RatR1_ses-RatR1-06base3_ecephys.nwb	sub-RatR1/sub-RatR1_ses-RatR1-07DG-stim_ecephys.nwb	sub-RatR2/sub-RatR2_ses-RatR2-00base0_ecephys.nwb	sub-RatR2/sub-RatR2_ses-RatR2-01DG-stim_ecephys.nwb	sub-RatR2/sub-RatR2_ses-RatR2-02base1_ecephys.nwb	sub-RatR2/sub-RatR2_ses-RatR2-03ANT-stim_ecephys.nwb	sub-RatR2/sub-RatR2_ses-RatR2-04base2_ecephys.nwb	sub-RatR2/sub-RatR2_ses-RatR2-05CA1-stim_ecephys.nwb	sub-RatR2/sub-RatR2_ses-RatR2-06base3_ecephys.nwb	sub-RatR2/sub-RatR2_ses-RatR2-07CA3-stim_ecephys.nwb	sub-RatR3/sub-RatR3_ses-RatR3-00base0_ecephys.nwb	sub-RatR3/sub-RatR3_ses-RatR3-01CA3-stim_ecephys.nwb	sub-RatR3/sub-RatR3_ses-RatR3-02base1_ecephys.nwb	sub-RatR3/sub-RatR3_ses-RatR3-03ANT-stim_ecephys.nwb	sub-RatR3/sub-RatR3_ses-RatR3-04base2_ecephys.nwb	sub-RatR3/sub-RatR3_ses-RatR3-05DG-stim_ecephys.nwb	sub-RatR3/sub-RatR3_ses-RatR3-06base3_ecephys.nwb	sub-RatR3/sub-RatR3_ses-RatR3-07CA1-stim_ecephys.nwb	sub-RatR4/sub-RatR4_ses-RatR4-00base0_ecephys.nwb	sub-RatR4/sub-RatR4_ses-RatR4-01CA1-stim_ecephys.nwb	sub-RatR4/sub-RatR4_ses-RatR4-02base1_ecephys.nwb	sub-RatR4/sub-RatR4_ses-RatR4-03DG-stim_ecephys.nwb	sub-RatR4/sub-RatR4_ses-RatR4-04base2_ecephys.nwb	sub-RatR4/sub-RatR4_ses-RatR4-05ANT-stim_ecephys.nwb	sub-RatR4/sub-RatR4_ses-RatR4-06base3_ecephys.nwb	sub-RatR4/sub-RatR4_ses-RatR4-07CA3-stim_ecephys.nwb	sub-RatR5/sub-RatR5_ses-RatR5-00base0_ecephys.nwb	sub-RatR5/sub-RatR5_ses-RatR5-01CA1-stim_ecephys.nwb	sub-RatR5/sub-RatR5_ses-RatR5-02base1_ecephys.nwb	sub-RatR5/sub-RatR5_ses-RatR5-03ANT-stim_ecephys.nwb	sub-RatR5/sub-RatR5_ses-RatR5-04base2_ecephys.nwb	sub-RatR5/sub-RatR5_ses-RatR5-05DG-stim_ecephys.nwb	sub-RatR5/sub-RatR5_ses-RatR5-06base3_ecephys.nwb	sub-RatR5/sub-RatR5_ses-RatR5-07CA3-stim_ecephys.nwb	sub-RatR6/sub-RatR6_ses-RatR6-00base0_ecephys.nwb	sub-RatR6/sub-RatR6_ses-RatR6-01ANT-stim_ecephys.nwb	sub-RatR6/sub-RatR6_ses-RatR6-02base1_ecephys.nwb	sub-RatR6/sub-RatR6_ses-RatR6-03DG-stim_ecephys.nwb	sub-RatR6/sub-RatR6_ses-RatR6-04base2_ecephys.nwb	sub-RatR6/sub-RatR6_ses-RatR6-05CA1-stim_ecephys.nwb	sub-RatR6/sub-RatR6_ses-RatR6-06base3_ecephys.nwb	sub-RatR6/sub-RatR6_ses-RatR6-07CA3-stim_ecephys.nwb	sub-RatR7/sub-RatR7_ses-RatR7-00base0_ecephys.nwb	sub-RatR7/sub-RatR7_ses-RatR7-01DG-stim_ecephys.nwb	sub-RatR7/sub-RatR7_ses-RatR7-02base1_ecephys.nwb	sub-RatR7/sub-RatR7_ses-RatR7-03ANT-stim_ecephys.nwb	sub-RatR7/sub-RatR7_ses-RatR7-04base2_ecephys.nwb	sub-RatR7/sub-RatR7_ses-RatR7-05CA1-stim_ecephys.nwb	sub-RatR7/sub-RatR7_ses-RatR7-06base3_ecephys.nwb	sub-RatR7/sub-RatR7_ses-RatR7-07CA3-stim_ecephys.nwb
2025-05-05	0	73898840	69242754	50314043	35378471	3354266	69630658	0	0	0	54257376	68251283	0	0	0	0	0	0	0	0	0	0	56692272	56078666	0	0	0	0	0	0	0	0	0	56674371	64163888	0	0	0	0	0	0	0	0	0	52207270	0	0	0	0	0	0	80525824	0	0	0	0
2025-07-21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3649866	0	0	0	0	0	64678360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-07-28	0	0	0	0	0	0	0	38566519	0	0	0	68251283	0	0	0	0	0	87941650	0	0	0	0	0	0	20651431	0	0	0	0	0	0	0	0	56674371	52428800	0	0	0	48994031	2985651	0	0	0	0	0	0	0	0	52428800	0	0	0	0	0	0	0
2025-08-04	0	0	69242754	0	35378471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42121706	0	0
2025-08-11	58502670	73898840	69242754	0	0	0	86832516	90995319	0	47867433	54257376	68251283	117638089	66199731	81512577	134605230	0	87941650	75558046	48443472	69798610	55231528	56692272	56078666	73080231	71679797	85809761	0	239335953	64678360	72073470	57624245	43205555	56674371	64163888	139335314	139993300	76399564	48994031	55414451	88363379	50737374	74408595	0	0	58953889	60254065	88131777	69364917	0	0	80525824	75246352	0	85582346	0
2025-08-25	0	52428800	0	0	0	0	0	0	0	0	0	0	0	0	0	52428800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-09-01	52428800	0	0	0	0	0	0	52428800	0	0	0	0	0	0	81512577	0	0	0	75558046	0	0	0	0	0	0	19250997	33380961	0	0	0	0	0	0	0	0	0	0	0	0	0	35934579	0	0	0	0	0	60254065	0	69364917	74687644	48974479	28097024	0	0	0	0
2025-09-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25087462
2025-09-22	0	0	0	4127004	4782084	667404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-06	1805340	50253730	5273758	12068170	4061496	5461812	5829570	1395319	10139090	4127004	4127004	4454544	4671378	970931	8778072	2099630	8385024	2827300	4127004	9409020	4520052	0	12184316	3203732	4127004	2661994	8385024	8843580	2261851	5178072	5892354	1789290	4127004	7088546	983088	0	5208454	4319128	968431	9257167	8254008	9982880	1090195	813459	9318510	5020093	964465	5423581	9588433	11115236	14409786	5935844	656776	0	6425046	9748090
2025-10-13	5932344	5256336	7403132	752443	10099538	5527320	5764062	10979138	877033	0	1813952	6280770	4671378	9224939	9484985	5307835	1136872	4127004	5342650	4954476	6499948	6288768	9400312	4127004	1093031	5458001	9714785	4087199	0	1971120	5237274	9345177	4192512	1480771	0	5289061	1081450	6286568	4127004	937651	9671511	9151198	6503918	0	4389036	5085601	964465	2593154	6730346	4192512	948879	6132368	8910784	262032	4127004	1534386
2025-10-20	0	4258020	0	0	562471	4127004	4520052	0	4127004	4258020	5033980	0	4127004	4127004	4651068	4323528	0	5606162	0	4127004	5280722	5180656	4127004	1601866	1093031	5458001	0	0	4192512	4127004	0	0	0	1480771	0	1162057	0	2159564	5095435	0	0	0	4192512	0	4929474	5413141	0	0	5788969	4454544	0	1677824	0	9239530	0	4127004
2025-10-27	0	1194840	69242754	51066486	4689475	4258020	0	97172722	4258020	47867433	54257376	68251283	117638089	87165749	4454544	88297616	24422632	0	76773692	5978472	0	56088656	0	57680532	170002076	85953373	143232290	0	228947592	4258020	5237274	894645	43205555	113348742	129310864	75022226	5470486	84915604	53186543	0	0	50737374	89664791	51808659	4192512	0	4127004	69569496	79411906	4127004	54508918	5804828	41815688	854506	5966490	25087462
