date	bytes_sent	number_of_requests	number_of_downloads	number_of_views
2026-05-13	582768	4	2	1
2026-05-14	971280	6	3	2
2026-05-16	388512	3	1	1
2026-05-22	388512	3	1	1
2026-06-03	296656	2	1	1
2026-06-10	296656	2	1	1
2026-06-13	296656	2	1	1
2026-06-27	194256	1	1	0
2026-07-05	194256	1	0	1
2026-07-15	388512	3	1	1
2026-07-18	388512	3	1	1
2026-07-30	388512	3	1	1
2026-08-17	388512	3	1	1
2026-08-19	685168	5	2	2
2026-08-21	296656	2	1	1
