region	bytes_sent
US/California	4630606889091
NL/North Holland	1734390318823
AWS/us-east-1	1513900815534
US/New Mexico	654129116367
VPN	208898918083
GitHub	109521125114
CN/Shanghai	71620266648
US/New York	57798949835
GB/England	34266363728
HK/Hong Kong	33631281022
AWS/us-east-2	33306926814
CA/British Columbia	12657454628
US/Michigan	8304256558
GCP/us-east1	8304256558
GCP/us-west3	8304256558
US/Maryland	7717035081
PT/Lisbon	6628655504
GB/Scotland	6458621057
IT/Lazio	3234398257
US/Pennsylvania	3104431173
CA/Quebec	2799433299
US/Georgia	2640901615
IN/Maharashtra	2418298772
VN/Ho Chi Minh	1534490502
US/Massachusetts	1173912232
VN/Kiên Giang Province	1052589183
DE/North Rhine-Westphalia	638461522
AWS/ap-southeast-1	331886364
US/Indiana	53844036
US/Rhode Island	49396347
HU/Budapest	18183736
