region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
VPN	517388207424	3170	965	136
CHN	173680836535	20109	1	40
AWS/us-east-1	138411312975	17043	347	180
GitHub	5841958412	101691	1012	854
USA/MA	330183391270	5372	44	87
USA	293791948741	6880	150	11
CAN/QC	34684217319	394	19	73
AWS/us-west-2	209484992	595	48	38
USA/CA	264508120349	1761	232	117
IDN/SN	578009936	3	3	0
KOR/31	109372639190	36	36	0
AWS/ap-southeast-1	878069232	115	115	0
USA/VA	130551039305	346	46	3
USA/MT	129066795249	36	36	0
USA/DC	163137360	87	44	5
MEX/CMX	451120292	869	154	68
COL/ANT	7009356	2	2	0
MNE/05	917112	1	1	0
SAU/02	18735288	3	3	0
IDN/BT	1179144	1	1	0
COL/HUI	851604	1	1	0
HKG	2030748	2	2	0
USA/NY	143866786741	154	56	2
COL/DC	129074525194	39	37	2
CHE/ZH	129066795251	38	36	1
ZAF/GP	8516040	2	2	0
PHL/07	2227272	2	2	0
VNM/SG	105729912	10	10	0
BRA/SP	28626996	6	6	0
VNM/35	851604	1	1	0
NLD	52951541486	2486	10	12
IRL	34522716	2	2	0
SAU/01	1179144	1	1	0
USA/IL	549638348	60	24	2
CAN/BC	2489304	1	1	0
MEX/VER	4389036	1	1	0
VNM/21	1048128	1	1	0
NOR/50	774107470	154	0	14
USA/MD	110446612	200	22	11
KOR/11	163573476	4	4	0
KOR/26	17224195383	14	14	0
USA/OH	1441176	1	1	0
MYS/10	1048128	1	1	0
VNM/HN	59546772	14	14	0
IRQ/BG	2096256	2	2	0
MAR/07	1441176	1	1	0
BRA/PR	3078876	2	2	0
BGD/C	12970584	3	3	0
BRA/MG	8909088	4	4	0
AWS/us-east-2	14331547315	6008	3	15
PRT/13	1310160	1	1	0
USA/OK	4520052	1	1	0
PHL/00	6943848	2	2	0
VNM	2554812	3	3	0
IND/RJ	7205880	1	1	0
SGP	10939836	3	3	0
BRA/BA	15394380	4	4	0
SYC	15918444	5	5	0
GIN/C	1048128	1	1	0
TUR/06	851604	1	1	0
USA/TN	8188500	1	1	0
IRQ/SU	9498660	1	1	0
MEX/MEX	38518704	5	5	0
DZA/16	11398392	1	1	0
TUR/33	2685828	1	1	0
CIV/AB	2096256	1	1	0
BRA/RS	1179144	1	1	0
ECU/P	78245224	3	3	0
IDN/AC	7926468	1	1	0
BGD	9826200	7	7	0
NGA/EN	5699196	1	1	0
ARG	2423796	1	1	0
ARG/C	3602940	3	3	0
ARG/S	1965240	1	1	0
ARG/B	3340908	2	2	0
JPN	18597396	26	2	1
CAN/ON	8779090232	17	5	1
JPN/13	2895765774	29	5	1
USA/RI	58475060	13	0	1
ITA/45	3296235398	3	3	0
GBR/ENG	38387688	3	3	0
GCP/us-central1	1818555636	1	1	0
CAN	2873499930	1	1	0
PAK	17425128	3	3	0
MYS/14	4192512	1	1	0
IND/MP	1375668	1	1	0
PAN/8	28364964	3	3	0
SEN/DK	3471924	2	2	0
IND/DL	11856948	1	1	0
SLE/W	1113636	1	1	0
CHN/BJ	2858224	12	2	1
BRA/DF	1113636	1	1	0
USA/MO	5645147	9	0	1
FRA/IDF	47101652	41	9	3
DEU/HE	6973164	14	2	1
PHL/40	917112	1	1	0
IND/CH	1768716	1	1	0
ZAF/KZN	2358288	2	2	0
IND	5895720	2	2	0
GTM	1113636	1	1	0
URY/MA	1048128	1	1	0
IDN/JT	7009356	2	2	0
UZB/TK	1703208	1	1	0
BRA/RJ	7140372	3	3	0
QAT/DA	9891708	2	2	0
VNM/51	12053472	1	1	0
PSE/RBH	8974596	1	1	0
BRA/RN	917112	1	1	0
ETH/GA	1113636	1	1	0
BFA	1113636	1	1	0
USA/SC	1113636	1	1	0
MEX	1113636	1	1	0
PAK/SD	917112	1	1	0
PAK/IS	6812832	2	2	0
COG/BZV	7533420	1	1	0
USA/MI	15394380	2	2	0
IND/MH	8188500	1	1	0
USA/TX	35898384	1	1	0
BRA/PB	1834224	1	1	0
COL/ATL	3864972	1	1	0
IDN/JK	1703208	1	1	0
ESP/AN	1048128	1	1	0
PER/ARE	9695184	1	1	0
CYP/02	1113636	1	1	0
PAK/PB	4651068	2	2	0
MEX/COA	1703208	1	1	0
EGY/GZ	1244652	1	1	0
POL/32	1179144	1	1	0
ALB/04	5699196	1	1	0
USA/NJ	13756680	1	1	0
TUR/16	5437164	1	1	0
DZA/30	2030748	1	1	0
ITA/21	1768716	1	1	0
USA/CT	7205880	1	1	0
IDN	917112	1	1	0
UKR/30	13887696	2	2	0
COL/TOL	1310160	1	1	0
COL/VAC	1441176	1	1	0
IDN/JI	917112	1	1	0
IDN/KI	1179144	1	1	0
