date	bytes_sent
2024-06-27	7347556168
2024-06-28	168350772
2024-06-29	32382327
2024-07-05	66294096
2024-07-08	12446520
2024-07-09	5465654211
2024-07-10	269878457
2024-07-11	10415772
2024-07-14	208216139
2024-07-24	358380775
2024-07-25	54961571
2024-07-26	723767876
2024-07-28	369989184
2024-07-29	69765710
2024-08-10	290769508
2024-08-20	12315504
2024-08-26	102371035
2024-08-27	274810655
2024-08-28	170712623
2024-08-29	443945709
2024-08-30	233621458
2024-09-03	300461613
2024-09-04	2312744170
2024-09-05	96381455
2024-09-06	675560835
2024-09-07	856379659
2024-09-08	230556164
2024-09-09	794659797
2024-09-10	1404629720
2024-09-11	784824319
2024-09-20	153332500
2024-09-29	160824648
2024-09-30	78740616
2024-10-02	9564168
2024-10-03	9695184
2024-10-04	103576468
2024-10-05	34129668
2024-10-06	39894372
2024-10-09	259753602
2024-10-12	209993663
2024-10-22	434027456
2024-10-28	39014720
2024-11-12	52754067
2024-11-13	1964163281
2024-11-14	29151060
2024-11-16	27054804
2024-11-20	77558168
2024-11-23	17556144
2024-11-24	11856948
2024-11-27	8188500
2024-11-28	29937156
2024-11-29	126758698
2024-12-02	1249128210
2024-12-03	498336767
2025-01-15	48776972
2025-02-13	90620559
2025-02-16	6720837309
2025-03-03	181358080
2025-03-13	12744016
2025-03-14	35920597
2025-07-26	171166892
2025-07-28	699956355
2025-07-29	241179188
2025-07-30	802391793
2025-07-31	408293095
2025-08-01	646770983
2025-08-02	247516864
2025-08-03	390073376
2025-08-04	602256909
2025-08-05	131731266
2025-08-06	321271785
2025-08-07	178592703
2025-08-08	293362579
2025-08-09	104857600
2025-08-10	451699676
2025-08-11	380017658
2025-08-12	226810453
2025-08-13	404873460
2025-08-14	304483006
2025-08-15	955391426
2025-08-16	396231796
2025-08-17	27429558
2025-08-18	201094375
2025-08-19	385612829
2025-08-20	104857600
2025-08-21	121979812
2025-08-22	215178547
2025-08-24	72587782
2025-08-26	67919199
2025-08-27	360859983
2025-08-28	316016905
2025-08-29	349492154
2025-08-30	194739726
2025-08-31	138119467
2025-09-01	314572800
2025-09-02	387887029
2025-09-03	311097133
2025-09-04	223881615
2025-09-05	581778277
2025-09-06	323546632
2025-09-07	184027711
2025-09-08	399632372
2025-09-09	247751234
2025-09-10	214328571
2025-09-11	135068324
2025-09-12	234534691
2025-09-13	69456812
2025-10-07	95974942
2025-10-08	435619
2025-10-12	87397991
2025-10-16	174682507
2025-10-26	121906918
2025-10-29	124194705
2025-11-04	197438498
2025-11-05	216514376
2025-11-06	233805018
2025-11-07	289905659
2025-11-08	228246910
2025-11-09	339676124
2025-11-10	223304558
2025-11-11	222572880
2025-11-12	189609132
2025-11-13	209536341
2025-11-14	92965934
2025-11-15	67822235
2025-11-16	139118944
2025-11-17	82802249
2025-11-18	75320600
2025-11-19	101011972
2025-11-20	86812982
2025-11-21	110379402
2025-11-22	100244576
2025-11-23	71101392
2025-11-24	88579023
2025-11-25	76149875
2025-11-26	93851065
2025-11-27	78433961
2025-11-28	115738229
2025-11-29	114284957
2025-11-30	83317118
2025-12-01	110042094
2025-12-02	120552210
2025-12-03	99112214
2025-12-04	70978808
2025-12-05	77871500
2025-12-06	110078556
2025-12-07	122802817
2025-12-08	98946137
2025-12-09	211757024
2025-12-10	204312311
2025-12-12	47185920
2025-12-13	231325944
2025-12-14	25518512
2025-12-15	86897208
2025-12-16	485277624
2025-12-17	6804485981
2025-12-18	6929154477
2025-12-19	251249766
2025-12-20	99614720
2025-12-21	404341098
2025-12-22	115343360
2025-12-23	62914560
2025-12-24	213380402
2025-12-25	139113049
2025-12-26	20971520
2025-12-27	68157440
2025-12-28	94371840
2025-12-29	114390098
2025-12-30	125829120
2025-12-31	75811428
2026-01-02	81118766
2026-01-03	10485760
2026-01-04	91382640
2026-01-05	231298179
2026-01-06	190747913
2026-01-07	166699975
2026-01-08	571252816
2026-01-09	553276045
2026-01-10	347268012
2026-01-11	320779899
2026-01-12	73400320
2026-01-16	2161825538
2026-01-17	4995295202
2026-01-18	4855127257
2026-01-19	1440519346
2026-01-22	20971520
2026-01-23	983801421
2026-01-24	651346287
2026-01-26	452360116
2026-01-27	714943226
2026-01-28	463628049
2026-01-29	662938051
2026-01-30	511696315
2026-01-31	360072485
2026-02-01	99614720
2026-02-02	78643200
2026-02-03	204472320
2026-02-04	290518435
2026-02-05	176727268
2026-02-10	46437834
2026-02-12	40659870
2026-02-17	27800838
2026-02-20	204800
2026-02-24	312368
2026-02-26	354524
