week_start	sub-747815/sub-747815_ecephys.nwb	sub-747816/sub-747816_ecephys.nwb	sub-747824/sub-747824_ecephys.nwb	sub-747825/sub-747825_ecephys.nwb	sub-747829/sub-747829_ecephys.nwb	sub-751594/sub-751594_ecephys.nwb	sub-751596/sub-751596_ecephys.nwb	sub-753020/sub-753020_ecephys.nwb	sub-754603/sub-754603_ecephys.nwb	sub-754604/sub-754604_ecephys.nwb	sub-754605/sub-754605_ecephys.nwb	sub-755828/sub-755828_ecephys.nwb	sub-755830/sub-755830_ecephys.nwb	sub-757088/sub-757088_ecephys.nwb
2025-04-07	0	0	0	10895734616	0	0	0	0	0	0	0	0	0	0
2025-04-14	0	0	0	10895734616	0	0	0	0	0	0	0	0	0	0
2025-05-05	18199508740	17632625113	17950471971	0	17624059652	16608928753	14634262431	17355423965	16123214712	17544195054	17117468176	17401703819	17540793845	16428913247
2025-07-14	0	0	17950471971	0	0	0	0	0	0	0	0	0	0	0
2025-07-21	18453095784	18004942321	18304320503	28556053808	17904351460	16914013249	14787668827	17594421067	16293540092	17746682274	17419061832	17729511427	17870802045	16764114499
2025-07-28	0	0	17950471971	0	17624059652	16608928753	14634262431	17355423965	0	0	17117468176	17401703819	0	0
2025-08-04	18199508740	0	0	10895734616	0	0	0	0	0	0	0	0	0	16428913247
2025-08-11	0	0	0	0	0	0	0	0	16123214712	0	0	0	17540793845	0
2025-08-18	0	17632625113	0	0	0	0	0	0	0	0	0	0	0	0
2025-09-01	0	0	0	10895734616	0	0	0	0	16123214712	0	0	0	0	0
2025-09-08	0	0	0	0	0	0	0	0	0	17544195054	0	0	0	0
2026-02-09	41971744	42965413	42278975	42811284	45287456	16637485310	29595835	52810738	29495572	29934858	30486288	43214363	23015157	32938630012
2026-02-23	0	0	0	3386465320	0	0	0	0	0	0	0	0	0	115002392729
2026-03-02	0	0	0	153689415404	0	0	0	0	0	0	0	0	0	131431305976
2026-03-30	161991256	121690359	117207249	243438564	132390444	79970475	164604426	69520923	79643136	87577302	88773036	125974641	58891731	120353673
2026-04-06	38368804	39296965	39396623	38880804	41946548	25477681	26189419	22998953	24254932	27052506	26948856	39938963	19477725	37191867
2026-05-04	0	0	0	10915241664	0	0	0	0	0	0	0	0	0	0
2026-05-11	0	0	0	43582938464	0	0	0	0	0	0	0	0	0	0
2026-05-18	7184287904	38903917	42409991	209494037284	45483980	28687573	10810081697	26601893	875691444	30131382	30617304	39873455	23146173	37322883
2026-05-25	0	0	0	21791469232	0	0	0	0	0	0	0	0	0	0
2026-06-15	3573117733	649561092	641526975	68009601117	2160113557	632571427	2292374086	625573939	1506515469	631395925	636136173	643422607	626690659	1816815101
2026-06-22	366289904	8043418	4828042	98449864680	5871872	7520510	7081146	4824830	5285000	6157684	7300524	7606954	9327346	4637270
2026-06-29	5991272	2646041	2250251	5188624	5409528	2613865	3792435	2248645	2386500	2902658	2569380	5449678	2741357	5485086
2026-07-06	1944562353	149495346	1788470338	98210839869	108634596	111846116	112518656	107200160	968159984	1575279936	114967527	106220328	111332588	107341856
