region	bytes_sent
GitHub	14419568048
US/Georgia	935734680
GB/England	672715784
US/California	649059748
PT/Lisbon	297231442
AWS/us-east-1	240103400
NL/North Holland	167058036
US/Nevada	102902404
AWS/us-east-2	77552636
IN/Maharashtra	73726408
VN/Kiên Giang Province	37034612
VN/Ho Chi Minh	37034612
GCP/us-east1	31620324
VPN	17871280
US/New York	5257568
US/Pennsylvania	4141384
AWS/us-west-2	3559368
US/Oregon	3200672
US/Massachusetts	2797724
US/Virginia	1724356
US/Maryland	1542672
GCP/us-central1	1371264
AWS/ap-southeast-1	514224
US/Rhode Island	514224
HU/Budapest	220832
HK/Hong Kong	193144
US/New Mexico	171408
CH/Bern	171408
US/Washington	171408
AWS/ap-northeast-2	171408
CH/Geneva	171408
US/Iowa	171408
US/Indiana	171408
US/Illinois	171408
MQ/Martinique	171408
JP/Aichi	171408
HK/Kwai Tsing	165552
US/Texas	110368
GCP/us-west1	110368
US/New Hampshire	55208
CN/Shanghai	55184
JP/Osaka	27592
