week_start	Neurophysiology
2021-08-09	6022768
2021-08-16	2813748
2021-08-23	873076
2021-08-30	193228
2021-09-06	193228
2021-09-13	193228
2021-09-20	386456
2021-09-27	193228
2021-10-04	414048
2021-10-11	193228
2021-10-18	364636
2021-10-25	193228
2021-11-01	321576677
2021-11-08	24320286
2021-11-15	193228
2021-11-22	193228
2021-11-29	248436
2021-12-06	193228
2021-12-13	193228
2021-12-20	193228
2021-12-27	193228
2022-01-03	193228
2022-01-10	193228
2022-01-17	193228
2022-01-24	248436
2022-01-31	717704
2022-02-07	1332092
2022-02-14	4931660
2022-02-21	441664
2022-02-28	220832
2022-03-07	607288
2022-03-14	883328
2022-03-21	392240
2022-03-28	220832
2022-04-04	248436
2022-04-11	210687204
2022-04-18	95530304
2022-04-25	43438732
2022-05-02	55499156
2022-05-09	9775096
2022-05-16	608956
2022-05-23	524476
2022-05-30	24583912
2022-06-06	29585940
2022-06-13	33777012
2022-06-20	29558336
2022-06-27	38740996
2022-07-04	64068536
2022-07-11	581284384
2022-07-18	182688592
2022-07-25	110244296
2022-08-01	1275132960
2022-08-08	1200935712
2022-08-15	651031996
2022-08-22	352132368
2022-08-29	639717412
2022-09-05	564838488
2022-09-12	59557896
2022-09-19	225294204
2022-09-26	267571532
2022-10-03	161455420
2022-10-10	421356912
2022-10-17	93355020
2022-10-24	50561328
2022-10-31	55308692
2022-11-07	140139364
2022-11-14	47243428
2022-11-21	204560472
2022-11-28	136076444
2022-12-05	118150840
2022-12-12	56393868
2022-12-19	47544472
2022-12-26	47426848
2023-01-02	48013740
2023-01-09	48563032
2023-01-16	62410600
2023-01-23	73843544
2023-01-30	94500528
2023-02-06	81427400
2023-02-13	58183308
2023-02-20	61706304
2023-02-27	62084716
2023-03-06	64826948
2023-03-13	58814116
2023-03-20	78602096
2023-03-27	118019612
2023-04-03	56626996
2023-04-10	55130300
2023-04-17	62510260
2023-04-24	75224980
2023-05-01	33234708
2023-05-08	76582896
2023-05-15	46355312
2023-05-22	29537524
2023-05-29	53637424
2023-06-05	19602412
2023-06-12	45997636
2023-06-19	42697096
2023-06-26	117813448
2023-07-03	16688080
2023-07-10	107465036
2023-07-17	191810804
2023-07-24	213054108
2023-07-31	13514696
2023-08-07	72828996
2023-08-14	30124928
2023-08-21	27031536
2023-08-28	124602304
2023-09-04	12886156
2023-09-11	37566020
2023-09-18	64869856
2023-09-25	356990228
2023-10-02	32457364
2023-10-09	10024596
2023-10-16	13053656
2023-10-23	189128516
2023-10-30	48419640
2023-11-06	10024916
2023-11-13	47747032
2023-11-20	11275828
2023-11-27	22849812
2023-12-04	31132460
2023-12-11	80401236
2023-12-18	218008428
2023-12-25	30104560
2024-01-01	154461248
