region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
USA/PA	542315489	59766	3	42
USA/NH	73466199281	272034	5928	5356
VPN	890335134932	4767	536	187
USA/MA	1083684737562	16427	66	117
AWS/ap-southeast-1	755896812	114	114	0
GH-actions	44215473963	267199	1111	1114
USA/VT	3313158869	11942	273	171
USA	98221525720	18826	54	16
AWS/us-east-1	419661097458	51596	210	301
CHN	512783192091	62557	0	61
USA/CA	397722622831	678	60	5
USA/NJ	276169460	123586	0	80
HKG	20219345438	2412	0	3
USA/MD	340690697817	147	67	15
USA/NY	57907475748	30616	120	27
CAN/QC	109243857697	902	7	65
AWS/us-east-2	13285529202	7421	4	18
KOR/30	417600170297	109	56	43
NOR/50	795824695	161	0	9
ITA	790505382	2388	53	52
USA/WA	71248204921	5796	18	1
ITA/45	3589558615	708	0	45
MEX/CMX	518591264	2404	106	61
CHE/VD	33844222	154	10	10
GCP/us-east1	13222338894	64750	104	104
GCP/us-east4	23505586750	115159	99	52
GCP/us-central1	109181542652	80920	54	107
NLD	263060572222	12264	18	28
GBR/ENG	375164724	117	11	20
USA/IL	947678931	110	32	2
VNM/SG	4651068	5	5	0
USA/VA	2285179896	151	10	3
GBR	27644376	1	1	0
KOR/28	7074864	1	1	0
GEO/TB	5633688	1	1	0
PAK	1113636	1	1	0
IND/GJ	917112	1	1	0
MEX/GUA	4454544	1	1	0
TUN/11	1899732	1	1	0
VNM/HN	851604	1	1	0
VNM/21	1048128	1	1	0
COL/DC	2161764	1	1	0
BGD	4061496	4	4	0
CZE/10	1048128	1	1	0
RUS	2096256	1	1	0
ARG/B	7336896	6	6	0
MYS/07	1048128	1	1	0
BRA/PE	1375668	1	1	0
VEN/A	1506684	1	1	0
DEU/NW	1441176	1	1	0
IND/CG	917112	1	1	0
USA/RI	1948587677	13	1	1
JPN/13	8934755461	14	2	1
NAM/KH	1113636	1	1	0
DEU/ST	1506684	1	1	0
USA/OH	4913100	1	1	0
IND	851604	1	1	0
BFA/03	1375668	1	1	0
BRA/SP	118925692	4	4	0
NGA/FC	1113636	1	1	0
FRA/IDF	8725328	15	4	3
IRN/23	3922478302	2	2	0
SGP	6592231	22	5	4
IRN	146377279	25	1	1
KOR/11	23844912	1	1	0
DEU/BY	11725932	2	2	0
GBR/SCT	2526918328	1	1	0
USA/AZ	35287715	50	0	1
KOR/47	8926713923	1	1	0
ARG/C	1375668	1	1	0
IND/PB	917112	1	1	0
FRA/HDF	1441176	1	1	0
JOR/AM	851604	1	1	0
IDN/BT	917112	1	1	0
EGY/C	1113636	1	1	0
NGA/LA	1113636	1	1	0
MAR/04	1375668	1	1	0
MAR/06	1179144	1	1	0
ARM/ER	2161764	1	1	0
DZA/25	1113636	1	1	0
MMR/06	1113636	1	1	0
ZAF/LP	917112	1	1	0
KAZ/19	1113636	1	1	0
PAK/PB	3013368	1	1	0
ARE	1113636	1	1	0
ARE/DU	1048128	1	1	0
COL/ANT	1179144	1	1	0
URY/MO	1113636	1	1	0
VNM/HP	1048128	1	1	0
VNM/34	786096	1	1	0
MEX/VER	1441176	1	1	0
IND/MP	851604	1	1	0
MYS/12	6943848	1	1	0
HUN/BA	43662183	35	3	1
BRA/PR	8057484	1	1	0
BRA/CE	1375668	1	1	0
IRQ/AR	1113636	1	1	0
PAK/BA	1113636	1	1	0
BRA/AM	1375668	1	1	0
SYR	1113636	1	1	0
PHL/01	917112	1	1	0
POL/30	2030748	1	1	0
TWN/TPE	8974596	1	1	0
