region	bytes_sent
KR/Seoul	417624015209
AWS/us-east-1	398005223154
US/California	397595450236
GCP/us-central1	96796129920
US/Washington	71196126061
CN/Shanghai	44303254003
VPN	34636679047
GitHub	24863964514
HK/Hong Kong	20219345438
AWS/us-east-2	13114924393
CA/Quebec	4465557804
US/New York	2354402274
US/Rhode Island	1948587677
US/Maryland	520754376
US/New Jersey	276169460
US/Pennsylvania	266583752
GB/England	196387220
AWS/ap-southeast-1	82998636
HU/Budapest	43662183
US/Massachusetts	33630243
DE/Bavaria	21224592
