week_start	sub-1/sub-1_ecephys+image.nwb	sub-10/sub-10_ecephys+image.nwb	sub-11/sub-11_ecephys+image.nwb	sub-12/sub-12_ecephys+image.nwb	sub-13/sub-13_ecephys+image.nwb	sub-14/sub-14_ecephys+image.nwb	sub-15/sub-15_ecephys+image.nwb	sub-16/sub-16_ecephys+image.nwb	sub-17/sub-17_ecephys+image.nwb	sub-18/sub-18_ecephys+image.nwb	sub-19/sub-19_ecephys+image.nwb	sub-2/sub-2_ecephys+image.nwb	sub-20/sub-20_ecephys+image.nwb	sub-21/sub-21_ecephys+image.nwb	sub-22/sub-22_ecephys+image.nwb	sub-3/sub-3_ecephys+image.nwb	sub-4/sub-4_ecephys+image.nwb	sub-5/sub-5_ecephys+image.nwb	sub-7/sub-7_ecephys+image.nwb	sub-8/sub-8_ecephys+image.nwb	sub-9/sub-9_ecephys+image.nwb
2025-11-10	49178168	38330856	38003528	25565372	36105984	23452740	29633652	51331460	32213085	33090650	47258196	35398160	37867124	41084592	36523860	41200532	33160512	35139216	30911332	37886064	37768512
2025-11-17	90938396	120533656	116157598	24820656	328803410	52667688	190504900	24612765	133582658	20322044	17382060	18249516	265667639	305757358	11678376	19692996	237150150	282933616	420705812	205167046	26155644
2025-11-24	25178656	18219900	11421435	21086700	13886008	18343116	14582836	31397680	15808281	16653596	18897720	21812476	26017052	31114612	12862008	15072068	16984524	19094244	25801708	22627188	22740252
2025-12-01	30529350	19820508	12586424	28940784	32739548	26924664	28478544	23761161	23231538	20518568	27190308	18668092	17745792	19728984	19487292	24016524	30221628	26819700	30845824	25570560	30352644
2025-12-08	15024916	10899056	19478919	24362100	22467556	84206916	15942480	11904213	22510950	26368798	14289720	187901931	23534624	19808944	11149824	15399608	273979086	22609236	15638244	13826676	17757156
2025-12-15	95175454	235624952	124477114	33615980	26765556	34162860	390819976	19213192	248378422	317513726	96212004	234703087	269973915	23870440	317376150	517413072	253152054	297293332	227595456	233016922	191516559
2025-12-22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132588800	0	0	0
2025-12-29	0	0	0	251503905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-01-05	22275342	21613952	29931889	26516988	11698716	17676972	32204488	23892177	36536613	24580064	19534848	36537324	174108360	26581796	21967620	26128464	39925788	25299552	23667836	139049346	41161464
2026-01-12	0	0	0	0	0	202896168	0	0	0	0	0	456045918	709575157	0	0	0	222794922	423749708	0	0	0
2026-01-19	16618070	16950520	14070065	9343516	585820024	6245388	17457176	6167426	20262825	11065398	15931908	16153260	14625536	13572920	15538860	6162980	13433628	10817796	12596984	9306624	402510417
2026-01-26	21860021	74546568	99877371	165240652	204260668	18845052	109624176	65638693	79663316	21717730	49850940	20411280	15846060	191038576	103896499	215484224	6891804	22889220	131983444	26932764	23740824
2026-02-02	47837863	14633012	20082646	19580016	13101600	10699932	11880984	10621970	6106146	76477894	10097208	0	16477012	6379804	9372132	15762516	11018808	13302612	20485836	9175608	4716576
2026-02-09	12535612	14436488	10452970	9957216	12577536	6179880	3561468	10884002	14491170	15257910	10097208	8829128	13667044	7506204	15342336	12325960	9568656	5179620	15376212	4983096	8450532
2026-02-16	79727641	120443216	17847798	8009928	9101824	14295296	20770260	15628495	23258503	10652332	1638400	5318912	5085496	1126400	8385024	0	5114112	921600	9667292	4258020	1843200
2026-02-23	13451413	10374992	9353489	8516040	7637220	11890140	15410404	12400360	11353737	9453170	9241116	16218768	14953076	10348576	10883304	10289984	6891804	6166728	13925312	17757156	14355228
2026-03-02	0	0	5291993	0	0	0	0	4492135	989571	0	0	0	5151004	0	4127004	0	0	0	1020236	0	0
2026-03-09	0	0	0	0	0	0	0	0	0	0	3340908	0	0	0	0	0	921600	0	0	0	0
2026-03-16	2818155	17486948	17710203	9040104	12026256	26247456	13306136	20382662	6506145	7205880	5769192	20988088	22027940	18078520	5651640	8949684	18674268	23264316	9049828	21046020	11014320
2026-03-23	0	8905300	2340345	917112	52681196	0	5314160	5147215	116288546	141445460	1445664	210676103	65614888	1650464	10031700	0	59747784	328906768	5240640	197690158	921600
2026-03-30	63096185	101895876	103061265	0	292801226	101448084	0	0	0	0	0	0	0	0	0	0	0	0	0	191986474	140982963
2026-04-06	0	0	0	0	0	0	174038356	0	0	0	0	0	0	0	140982963	0	0	0	197321036	0	0
