week_start	Microscopy
2024-07-15	47153
2024-07-22	161050
2024-07-29	297551
2024-08-05	134779
2024-08-12	141712
2024-08-19	337545
2024-08-26	272205
2024-09-02	281401
2024-09-09	275903
2024-09-16	312591
2024-09-23	243650
2024-09-30	254845
2024-10-07	230380
2024-10-14	254413
2024-10-21	263373
2024-10-28	435844
2024-11-04	462160
2024-11-11	20055
2024-11-18	2335
2024-12-09	15501
2025-01-06	3281
2025-03-31	4430
2025-05-05	2215
2025-05-12	4430
2025-05-19	4430
2025-06-16	2215
2025-06-23	4347
2025-07-14	2215
2025-07-21	2167
2025-09-15	1049
2025-09-29	932
2026-01-05	15289
2026-01-12	6765
2026-03-09	2143
2026-03-30	2047
