region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
BG/Ruse	20105828	4	4	0
BG/Shumen	1179144	1	1	0
BG/Silistra	7205880	1	1	0
BG/Sliven	5639244	7	6	1
BG/Smolyan	1521316	1	1	0
BG/Sofia	3024848	3	3	0
BG/Sofia-Capital	2204435239508	279	272	7
BG/Stara Zagora	19261533	6	6	0
BG/Targovishte	3072229	3	3	0
BG/Varna	57394797	21	21	0
BG/Veliko Tarnovo	19407657	6	6	0
BG/Vratsa	6223260	1	1	0
BG/Yambol	13936440	1	1	0
BH/Manama	334478505	79	79	0
BH/Muharraq	63965856	10	9	1
BH/Northern	72093231	18	18	0
BH/Southern Governorate	57507395	15	15	0
BI/Bujumbura Mairie	1441176	1	1	0
BJ/Atlantique	13263357	9	9	0
BJ/Littoral	42021784	30	30	0
BM/Hamilton city	1700874	1	1	0
BN/Belait	917112	1	1	0
BN/Brunei-Muara District	90165318	53	53	0
BO/Beni Department	46012903	10	10	0
BO/Chuquisaca Department	18221372	5	5	0
BO/Cochabamba	380162372	103	103	0
BO/La Paz Department	761978757	254	253	1
BO/Oruro	49862896	16	16	0
BO/Pando	1179144	1	1	0
BO/Potosí Department	69296733	16	16	0
BO/Santa Cruz Department	375787171	122	122	0
BO/Tarija Department	49119428	21	21	0
BR/Acre	92736690	21	21	0
BR/Alagoas	813447093	286	283	3
BR/Amapá	69907424	29	29	0
BR/Amazonas	513620797	129	127	2
BR/Bahia	3341459055	1695	1344	46
BR/Ceará	1922775985	617	615	2
BR/Espírito Santo	11453180757	367	367	0
BR/Federal District	1355541212	478	476	2
BR/Goiás	35774961354	29321	1495	21
BR/Maranhão	953966391	331	327	4
BR/Mato Grosso	8608782448	392	259	3
BR/Mato Grosso do Sul	531861544	225	223	2
BR/Minas Gerais	106133505056	14925	3914	621
BR/Paraíba	8252241894	255	253	2
BR/Paraná	8211019938	1502	1497	5
BR/Pará	35354153806	389	376	6
BR/Pernambuco	94764986811	841	728	5
