week_start	Neurophysiology	Microscopy	Video	Miscellaneous
2024-11-18	5392655833422	2001707086201	84687695938	342624596758
2024-11-25	5220455810069	244407143966	142465367188	832518616008
2024-12-02	6727536249437	2552879914494	46583558029	2755148791119
2024-12-09	31432720162074	4518400823907	782964780	161708391652
2024-12-16	8012060619498	10869976969075	0	20889388216
2024-12-23	2606752040499	252973907787	119093544	10470239444
2024-12-30	3877652357937	546276789658	3407703651	3261098353
2025-01-06	4955067899118	481689740804	203952405980	20546071664
2025-01-13	2819293806553	209745110534	0	414506672681
2025-01-20	1572116616944	77244191813	2419293133	58501675924
2025-01-27	3327132324526	514660835503	1949754301	803925388740
2025-02-03	6204049467201	285046083446	1910672298	308637908839
2025-02-10	14687031914637	3470126845741	221032548200	6003652845602
2025-02-17	24814138109633	2211610489358	92699790656	6105570055137
2025-02-24	4643741819736	78314614283	3331355853	887267902208
2025-03-03	11926284763174	2671071063682	2072565936	1162713612110
2025-03-10	10614018047092	17061947773626	0	319877380681
2025-03-17	11457962310214	897792322024	5889082812	285102170781
2025-03-24	2369549187155	26525623433	21442388712	502483388921
2025-03-31	7664975375717	219616784703	4601956002	105345071463
2025-04-07	13694078703378	163041513412	5135264827	209715724083
2025-04-14	10673263248852	184929367474	133767599207	94877844905
2025-04-21	7095549485849	31488292012	5530854234	96543279656
2025-04-28	9832373746434	16343456941	44036364205	495726735303
2025-05-05	14163226612319	867078846	1041552762440	5190907808300
2025-05-12	15569028467983	9858681741	167509228896	537659273878
2025-05-19	7500157804711	86463918875	50085584239	200990758340
2025-05-26	5883904914735	9777927579	10789671516	275094618033
2025-06-02	5794782783013	1818009476	36716576962	1864993731974
2025-06-09	6961735429237	99682688394	5279223900	35543884001523
2025-06-16	8511186335203	10469424699	154526149352	1160796451897
2025-06-23	8713475901928	1880416263	87322164	1406099333285
2025-06-30	9087471496244	251510997754	693989041273	451468936791
2025-07-07	8896346546945	49806069959	91790335	614938671089
2025-07-14	14590575439930	18029882056	5943249537	293524419056
2025-07-21	30873259168025	1283647093606	1797239184419	11104993906877
2025-07-28	159823565482088	3528882524388	6994267772318	153395482463238
2025-08-04	214840749123395	2400128898651	4784049843267	114679702701484
2025-08-11	177594619396446	4387547349285	5317220843466	120031619071777
2025-08-18	64467201070122	1129556978683	2328298363776	48163273547244
2025-08-25	61237507925439	11245386641056	3279390149955	65352564471889
2025-09-01	92628277285534	29524900004572	3942449822919	63206548544807
2025-09-08	70463785427782	67732773814787	2749314870756	48908388199476
2025-09-15	19543691775777	556413550815	73793422918	4399393036176
2025-09-22	9380427782558	489582927345	426382635687	1934188230393
2025-09-29	19918006082515	108990884389314	19080706379	7741056019487
2025-10-06	13865342653498	115529177214355	10991383041	8158981747169
2025-10-13	12253370809068	47080389872955	36995893390	8457247560081
2025-10-20	23495236706707	52275876849716	80467781347	6934927411636
2025-10-27	10245992539933	13687206894	55239562010	461590662866
2025-11-03	21156659940596	26628208269	78820628699	308800865369
2025-11-10	26695386821594	26691433181	18893261490	149938959043
2025-11-17	17273030881266	33851285241	3652707498	362578348649
2025-11-24	12446615120636	54923074598	17535885262	84728200448
2025-12-01	16346433691783	1083629112908	32085073671	643813049685
2025-12-08	23128431003877	296836555377	595134916294	40324887865052
2025-12-15	199543978727222	12524731491834	30636272878913	27017112008258
2025-12-22	290625888721818	818098831776	1686505139512	20656917192778
2025-12-29	174525988347218	983737621724	2100216491948	63063886636493
2026-01-05	45455220179516	85962645768681	2079248267852	23726381149708
2026-01-12	62307888523230	506597450827979	11031408156729	45639468027030
2026-01-19	58344559126053	559326454020084	4158555645232	53917021025298
2026-01-26	157835886899410	41793689835085	8602766076791	133868929688817
2026-02-02	100170757455921	7499126813515	4099584564491	45765763591071
2026-02-09	42019582315627	7814380069319	1399410844781	2660239181696
2026-02-16	58514517956329	8048172864933	2109947997531	9350568672409
2026-02-23	30389861309568	6055497890126	397189886563	11301954691061
2026-03-02	30684128245642	15215453022052	440811223440	2431315462941
2026-03-09	14209556590643	1453796513350	470438007473	1469771174570
2026-03-16	16183709490425	2601309553888	499715025182	1642427158926
2026-03-23	14080508582253	2932959099950	182906705261	484535765718
2026-03-30	12024875566055	6941217519660	129761060755	138670033439
2026-04-06	19644742558692	5326450894844	78893945978	441876934169
2026-04-13	45935597696616	6532759332420	300695504963	3330857769216
2026-04-20	40848472382351	27090136952055	101366220048	2539949871008
2026-04-27	20187687101224	32164197003661	134400595643	3765781721008
2026-05-04	21315945911447	71593526740510	59579022742	4395716327911
2026-05-11	67561693750298	24110632427036	1542426227394	23123384881950
2026-05-18	25468668182631	73960950309803	223541363726	4548803573743
2026-05-25	28032864508563	20669902657826	504689745921	72377688032
