region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
USA	1162970023415	19878	5	3
USA/MA	3365775303550	60704	4	22
USA/NY	580914967772	35276	36	16
USA/NV	4329994236162	275119	4	8
NLD	4977723270406	132314	2	15
HKG	654857664875	78066	0	1
CHN	1517082000895	99695	1	6
AWS/us-east-1	2311033776426	276517	12	47
AWS/us-east-2	131418040371	265844	1	34
USA/VT	809264677	2931	43	30
VPN	2674403505027	1732	57	27
USA/NH	7083113520	31464	456	412
USA/VA	13734740424	1491	11	10
USA/MD	1085203831	809	15	10
CAN/QC	1184739674444	330	0	11
GBR/ENG	292670860	28	2	4
GH-actions	2554525660	253146	82	224
FRA/PAC	8849248639	8	8	0
GCP/us-east1	6859369178	1266	0	3
NOR/50	1880451887	374	0	4
USA/CA	1982235661821	868	24	15
USA/GA	1281045433	248	0	4
AWS/ap-southeast-1	117796100	18	18	0
GCP/us-east4	373225835	62	0	1
MEX/CMX	150407341	394	18	17
DEU/NW	32832232	237	3	3
CHE/VD	279566648	85	6	6
FRA/IDF	73395304	311	9	7
VNM/HN	796368	1	1	0
USA/NJ	1134936441	153	0	4
USA/IL	37760704	154	3	2
USA/DC	1428011040	327	0	8
AWS/us-west-2	139054374048	492	2	3
USA/PA	1662539688	538	6	2
IND	42173853	1	1	0
JPN/22	111639108	1	1	0
CHE/ZH	27139300	25	3	2
HUN/BU	13827188	8	1	1
IND/WB	16060088	1	1	0
BGD/C	10950060	2	2	0
DEU/HE	10684604	1	1	0
SGP	7679656	44	4	3
JPN/13	61647809	89	5	1
FRA	20766203669	1	1	0
DEU/BY	86538656	2	2	0
USA/RI	698925935	136	0	1
COL/DC	929096	1	1	0
EGY/C	1061824	1	1	0
